sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
astronomy/test/58,astronomy,STEM,মার্কিন যুক্তরাষ্ট্র থেকে উত্তরে কানাডায় যাওয়ার সময় আপনি দেখবেন ধ্রুবতারা (পোলারিস)  _________ ।,উজ্জ্বল হয়ে যাচ্ছে,ম্লান হয়ে যাচ্ছে,আকাশে উঁচুতে উঠে যাচ্ছে,আকাশে নীচে নেমে যাচ্ছে,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
astronomy/test/107,astronomy,STEM,চাঁদে কোনটির ওজন সবচেয়ে বেশি হবে?,এক কেজি পালক,পৃথিবীতে পরিমাপ করা পাঁচ পাউন্ড ইট,পাঁচ কেজি পালক,এক কেজি ইট,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/10,business_ethics,Business,স্নাকেনবার্গ এবং টমলিনসন (2014)-এর মতানুসারে সংস্থাগত স্বচ্ছতার গুণমান মূল্যায়নের জন্য কোন তিনটি মানদণ্ড ব্যবহার করা যেতে পারে?,"প্রস্থ, স্পষ্টতা, নির্ভুলতা","প্রকাশ, বিস্তারিত তথ্য, নির্ভুলতা","প্রকাশ, স্পষ্টতা, নির্ভুলতা","প্রকাশ, স্পষ্টতা, দক্ষতা",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/14,business_ethics,Business,ডোনাল্ডসন এবং প্রেস্টন (1995)-এর মতানুসারে স্টেকহোল্ডার তত্ত্বের কী কী তিনটি ভিন্ন ধরন আছে?,"মান-নির্ণায়ক, বর্ণনামূলক এবং অর্থনৈতিক","মান-নির্ণায়ক, নৈতিক এবং উপায়মূলক","রাজনৈতিক, বর্ণনামূলক এবং উপায়মূলক","মান-নির্ণায়ক, বর্ণনামূলক এবং উপায়মূলক",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True
business_ethics/test/25,business_ethics,Business,"_______ হল এমন একটি পরিভাষা যা বিশেষ করে স্থানীয় সম্প্রদায় এবং নাগরিক সমাজের মধ্যে, সমাজের দ্বারা একটি সংস্থার কাজকর্মের অনুমোদন এবং গ্রহণযোগ্যতা বর্ণনা করতে ব্যবহার করা হয়।",জ্ঞানদীপ্ত নিজ স্বার্থ,পরিচালনা করার জন্য সামাজিক লাইসেন্স,সম্প্রদায়ের অনুমোদন,সরবরাহ শৃঙ্খলের দায়িত্ব,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True
business_ethics/test/27,business_ethics,Business,"_________, যেমন _______ এবং _______ হল এমন প্রক্রিয়া যার মাধ্যমে প্রতিষ্ঠানগুলি পরিবেশগত লক্ষ্য, নীতি এবং দায়িত্বগুলিকে কার্যে পরিণত করে এবং নিয়মিত অডিট ও রিপোর্ট করা হয় নিশ্চিত করে, যা আইনি মান্যতার ছাপিয়ে যায়।","পরিবেশগত পরিচালন ব্যবস্থা, SA8000, EMAS","সামাজি দায়বদ্ধতার মানদণ্ড, ISO14001, SA8000","পরিবেশগত পরিচালন ব্যবস্থা, ISO14001, EMAS","সামাজিক দায়বদ্ধতার মানদণ্ড, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True
business_ethics/test/44,business_ethics,Business,"সিদ্ধান্ত, কাজ এবং আচরণের নৈতিক প্রকৃতিকে ঢেকে দেওয়ার বা প্রকাশ করার জন্য ________ হল ভাষার ব্যবহার।",এথিকাল স্প্লাইসিং,মরাল ফ্রেমিং,এথিকাল উইন্ডো ড্রেসিং,মরাল স্প্লাইসিং,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True
business_ethics/test/52,business_ethics,Business,"একটি পণ্য কেনার ব্যাপারে একটি অবহিত, যুক্তিযুক্ত সিদ্ধান্ত নিতে অক্ষম হওয়ার অবস্থাকে কী বলা হয়?",উপভোক্তা অন্তর্ভুক্তি,উপভোক্তা দক্ষতা,উপভোক্তা বর্জন,উপভোক্তা দুর্বলতা,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/54,business_ethics,Business,_______ এবং _______ উভয়ই হল ______-ভিত্তিক তত্ত্বের উদাহরণ যা ঠিক এবং ভুলের মৌলিক সর্বজনীন মূলনীতির উপর ভিত্তি করে।,"কর্তব্যের নৈতিকতা, অধিকার এবং ন্যায়বিচারের নৈতিকতা, মূলনীতি","উপযোগিতাবাদ, অহংবোধ, মূলনীতি","কর্তব্যের নৈতিকতা, উপযোগিতাবাদ, পরিণতিবাদী","অহংবোধ, অধিকার এবং ন্যায়বিচারের নৈতিকতা, পরিণতিবাদী",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
business_ethics/test/57,business_ethics,Business,_________ -এর মতো মার্কিন যুক্তরাষ্ট্রের ________ হল নৈতিক ব্যবসায়িক অনুশীলন চালিত করার একটি প্রধান কারণ।,"আইন, সারবেনস-অক্সলে আইন","অভ্যন্তরীণ কোম্পানি নীতি, অনৈতিক সংস্থাগত অনুশীলন আইন","অভ্যন্তরীণ কোম্পানি নীতি, সারবেনস-অক্সলে আইন","আইন, অনৈতিক সংস্থাগত অনুশীলন আইন",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
