sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
astronomy/test/58,astronomy,STEM,"Wenn Sie von den Vereinigten Staaten nach Norden in Richtung Kanada reisen, sehen Sie, wie der Polarstern (Polaris) _______ aussieht:",heller,dunkler,höher am Himmel,tiefer am Himmel,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
astronomy/test/107,astronomy,STEM,Was würde auf dem Mond am meisten wiegen?,Ein Kilogramm Federn,"Fünf Pfund Ziegelsteine, gemessen auf der Erde",Fünf Kilogramm Federn,Ein Kilogramm Ziegelsteine,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/10,business_ethics,Business,"Welches sind laut Schnackenberg und Tomlinson (2014) die drei Kriterien, die zur Bewertung der Qualität der Unternehmenstransparenz herangezogen werden können?","Breite, Klarheit, Genauigkeit","Offenlegung, Details, Genauigkeit","Offenlegung, Klarheit, Genauigkeit","Offenlegung, Klarheit, Effizienz",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/14,business_ethics,Business,Welche drei verschiedenen Arten von Stakeholder-Theorien gibt es nach Donaldson und Preston (1995)?,"Normativ, deskriptiv und wirtschaftlich","Normativ, moralisch und instrumentell","Politisch, beschreibend und instrumentell","Normativ, deskriptiv und instrumentell",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True
business_ethics/test/25,business_ethics,Business,"_______ ist der Begriff, der die fortlaufende Zustimmung und Akzeptanz der Aktivitäten eines Unternehmens durch die Gesellschaft beschreibt, insbesondere durch lokale Gemeinschaften und Zivilgesellschaften.",Aufgeklärtes Selbstinteresse,Soziale Lizenz zum Handeln,Genehmigung der Gemeinschaft,Lieferketten-Verantwortung,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True
business_ethics/test/27,business_ethics,Business,"_________, wie z. B. _______ und _______ sind Prozesse, mit denen Organisationen Umweltziele, -politik und -verantwortung umsetzen und eine regelmäßige Prüfung und Berichterstattung sicherstellen, die über die Einhaltung gesetzlicher Vorschriften hinausgehen.","Umweltmanagementsysteme, SA8000, EMAS","Normen zur sozialen Verantwortung, ISO14001, SA8000","Umweltmanagementsysteme, ISO14001, EMAS","Normen zur sozialen Verantwortung, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True
business_ethics/test/44,business_ethics,Business,"________ ist die Verwendung von Sprache, um die ethische Natur von Entscheidungen, Handlungen und Verhaltensweisen zu verschleiern oder zu entlarven.",Ethisches Spleißen,Moralisches Framing,Ethische Augenwischerei,Moralisches Spleißen,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True
business_ethics/test/52,business_ethics,Business,"Der Zustand, in dem man nicht in der Lage ist, eine informierte, begründete Entscheidung über den Kauf eines Produkts zu treffen, ist bekannt als?",Einbeziehung der Verbraucher,Verbraucherkompetenz,Ausschluss der Verbraucher,Anfälligkeit der Verbraucher,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/54,business_ethics,Business,"_______ und _______ sind beides Beispiele für _______ -basierte Theorien, die auf grundlegenden universellen Prinzipien von Recht und Unrecht beruhen.","Ethik der Pflicht, Ethik der Rechte und Gerechtigkeit, Prinzip","Utilitarismus, Egoismus, Prinzip","Pflichtethik, Utilitarismus, Konsequentialismus","Egoismus, Ethik der Rechte und Gerechtigkeit, Konsequentialismus",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
business_ethics/test/57,business_ethics,Business,_________ wie die ________ in den Vereinigten Staaten ist ein Hauptfaktor für die Förderung ethischer Geschäftspraktiken.,"Gesetzgebung, Sarbanes-Oxley Act","Interne Unternehmensrichtlinien, Gesetz gegen unethische Geschäftspraktiken","Interne Unternehmensrichtlinien, Sarbanes-Oxley Act","Gesetzgebung, Gesetz gegen unlautere Geschäftspraktiken",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
business_ethics/test/65,business_ethics,Business,"Die Ersetzung von Lieferketten durch _______ erhöht die Bedeutung der Produkt- _______ ebenso wie eine grundlegende Neugestaltung aller Aktivitäten eines Unternehmens, die _______ produzieren.","Versorgungskreisläufe, Rückgewinnung, Abfall","Versorgungskreisläufe, Neugestaltung, Gewinn","globale Produktionsnetzwerke, Rückgewinnung, Abfall","globale Produktionsnetzwerke, Umgestaltung, Gewinn",A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/72,business_ethics,Business,"Es gibt zwei Hauptprobleme im Zusammenhang mit _____. _______ ist ein zentrales Thema, da aufgrund der Informationspolitik des Unternehmens argumentiert werden kann, dass die Mitarbeiter ein Recht darauf haben zu erfahren, ob sie entlassen werden. _______ ist ein zweites Problem, insbesondere das ________ Paket, das die Mitarbeiter bei einer Entlassung erhalten.","Verkleinerung, Beteiligung, Vergütung, Entschädigungs-","Vergrößerung, Einbindung, Autonomie, Entschädigungs-","Verkleinerung, Autonomie, Vergütung, Leistungs-","Vergrößerung, Unabhängigkeit, Beteiligung, Leistungs-",A,"['none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/74,business_ethics,Business,"Unter ethischer ________ können objektive moralische Prinzipien rational bestimmt werden, während die Moral unter ________ sowohl kontextabhängig als auch subjektiv ist.","Normativität, Relativismus","Absolutismus, Relativismus","Relativismus, Absolutismus","Absolutismus, Normativität",B,"['cultural', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
business_ethics/test/75,business_ethics,Business,"Zu den wichtigsten Unterschieden zwischen dem islamischen Finanzwesen und dem konventionellen Finanzwesen gehören das Verbot, _______ zu erheben und zu zahlen, das Verbot von ______ und ______ Transaktionen, das Verbot von sündhaften Investitionen und die Anforderung, dass alle Finanzprodukte durch __________ abgesichert sein müssen.","Zinsen, sicheren, spekulativen, immaterielle Vermögenswerte","Zinsen, ungewissen, gesicherten, immaterielle Vermögenswerte","Zinsen, ungewissen, spekulativen, Sachwerte","Zinsen, sicheren, gesicherten, Sachwerte",C,"['cultural', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'Yes']","['-', '-', '-', '-']","['Middle Eastern Culture', 'Middle Eastern Culture', 'Other']",[],[],CS,True
business_ethics/test/83,business_ethics,Business,"Die/Das ______ des Arbeitsplatzes beinhaltet die Befähigung der Mitarbeiter, z. B. durch „Aufgabenbereicherung“, bei dem den Mitarbeitern ein größerer Entscheidungsspielraum bei der Gestaltung ihrer Arbeit eingeräumt wird, oder durch „Aufgabenerweiterung“, bei dem den Mitarbeitern ein größeres Spektrum an Aufgaben übertragen wird.",Wiederbelebung,Wiederaufblühen,Revitalisierung,Rehumanisierung,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/85,business_ethics,Business,"Der Anstieg der unternehmensgeführten, privaten Regulierung kann auf folgende Gründe zurückgeführt werden: Förderung eines _______ Ansatzes seitens der Industrie, der _________ und der _______ Erreichung von Zielen.","schnelleren, Kosteneffizienz, langsameren","schnelleren, erhöhte Kosten, langsameren","proaktiven, Kosteneffizienz, schnelleren","proaktiven, erhöhte Kosten, schnelleren",C,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/86,business_ethics,Business,"Die ________ Perspektive auf die Nachhaltigkeit resultiert aus Wachstumsmodellen, die die Tragfähigkeit des Planeten analysierten und insgesamt zu dem Schluss kamen, dass die endliche Kapazität der Erde und_______, ________ und _______ der heutigen und vergangenen Generationen die Lebensqualität künftiger Generationen beeinträchtigen könnte. Im Gegensatz dazu steht die Umweltperspektive, die sich auf die Notwendigkeit konzentriert, die natürliche Umwelt zu erhalten und zu bewahren.","Wirtschaftlich, Überbeanspruchung von Ressourcen, Überbevölkerung, Überverschmutzung,","Wirtschaftlich, Unternutzung der Ressourcen, Unterbevölkerung, Nicht-Nachhaltigkeit","Umwelt, Übernutzung von Ressourcen, Überbevölkerung, Übermäßige Verschmutzung","Umwelt, Übernutzung von Ressourcen, Unterbevölkerung, Nicht-Nachhaltigkeit",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/98,business_ethics,Business,"________ sind ein Instrument für das Ethikmanagement in Unternehmen, das in den letzten Jahrzehnten immer mehr an Bedeutung gewonnen hat. Sie decken in der Regel Bereiche wie Compliance, Korruption und Umweltfragen ab. Sie entwickeln sich jedoch ständig weiter, so ist beispielsweise die Verantwortung für __________ in den letzten Jahren gewachsen.","Jahresberichte, die finanzielle Leistung des Unternehmens","Jahresberichte, das Internet – soziale Medien und Netzwerke","Ethikkodizes, die finanzielle Leistung des Unternehmens","Ethikkodizes, das Internet – soziale Medien und Networking",D,"['none', 'none', 'cultural', 'none']","['No', 'No', 'Yes', 'No']","['-', '-', '-', '-']",['Western Culture'],[],[],CA,True
college_biology/test/80,college_biology,STEM,"Krebszellen, die in Nährlösung gezüchtet werden, ähneln normalen Zellen, die in Nährlösung gezüchtet werden,",da sie sich unendlich oft teilen,als sie keine Kontakthemmung aufweisen,"insofern, als sie eine Oberfläche zum Anhaften benötigen, um zu wachsen","insofern, als sie sich mit der gleichen Zelldichte vermehren",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
college_biology/test/138,college_biology,STEM,"Die von Charles Darwin vorgeschlagenen Bedingungen für die natürliche Auslese umfassen in Bezug auf eine bestimmte Population alle folgenden Punkte, MIT AUSNAHME",der Vererbung von „tauglichen“ und „untauglichen“ Genen,des unterschiedlichen Überlebens und des Fortpflanzungserfolgs,des Wettbewerbs um der begrenzten Ressourcen,der Überproduktion von Nachkommen,A,"['cultural', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",['North America'],[],CS,True
college_chemistry/test/20,college_chemistry,STEM,Welches der Folgenden ist ein n-Typ-Halbleiter?,Silizium,Diamant,Siliciumcarbid,Arsen-dotiertes Silizium,D,"['regional', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CA,True
college_chemistry/test/22,college_chemistry,STEM,"Bei 25 °C beträgt die maximale Menge an PbI2, die in 1,00 l reinem Wasser gelöst werden kann, 1,0 mmol. Unter der Annahme einer vollständigen Dissoziation beträgt das Löslichkeitsprodukt K_sp für Bleijodid bei 25 °C","1,0 × 10^−3","1,0 × 10^−6","1,0 × 10^−9","4,0 × 10^−9",D,"['none', 'regional', 'none', 'regional']","['No', 'Yes', 'No', 'No']","['-', '-', '-', '-']",[],['South America'],['United Kingdom (UK)'],CS,True
college_mathematics/test/6,college_mathematics,STEM,"Eine 9 m lange Leiter lehnt auf ebenem Boden an einer senkrechten Wand. Während das untere Ende der Leiter mit einer konstanten Geschwindigkeit von 2 Metern pro Sekunde von der Wand wegbewegt wird, gleitet das obere Ende an der Wand entlang nach unten. Wie schnell, in Metern pro Sekunde gleitet das obere Ende der Leiter nach unten, wenn sich das obere Ende 3 Meter über dem Boden befindet?",12*sqrt(2),6*sqrt(2),4*sqrt(2),1/(2*sqrt(2)),C,"['regional', 'none', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CS,True
college_mathematics/test/48,college_mathematics,STEM,"Welche der folgenden sind gültige Konvergenzintervalle für eine Potenzreihe?
(I) [−1, 3)
(II) (−∞, 0]
(III) [2, 2] ∪ [3, 3]
(IV) (−∞,∞)",Nur (II),Nur (IV ),(I) und (IV ),(II) und (III),C,"['none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",[],[],[],CA,True
college_medicine/test/124,college_medicine,Medical,Die schnellste Methode zur Resynthese von ATP während des Trainings ist:,Glykolyse.,der Phosphokreatinabbau.,der Tricarbonsäurezyklus (Krebs-Zyklus).,Glykogenolyse.,B,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
college_medicine/test/143,college_medicine,Medical,"Die Weltsystem-Theorie unterteilt die Welt als Ganzes in drei Unterkategorien: Kernländer, Peripherie-Länder und Semi-Peripherie-Länder. Welche der folgenden Antworten beschreibt Länder der Semi-Periphere am besten?",Starke Zentralregierung.,"Eine Wirtschaft, die sich um eine natürliche Ressource zentralisiert.",Eine diversifizierte und entwickelte Wirtschaft.,Kleiner Anteil von Menschen mit hohem Privatvermögen.,C,"['none', 'regional', 'cultural', 'none', 'none', 'regional']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']","['Western Culture', 'Western Culture', 'Western Culture']","['North America', 'North America']","['United States of America (USA)', 'United States of America (USA)']",CS,True
electrical_engineering/test/22,electrical_engineering,STEM,Beim Betrieb mit frequenzvariabler Stromversorgung benötigt der AC-Motor eine variable Spannung zum,Schutz der Isolierung.,Vermeidung von Sättigungseffekten.,Verbesserung der Leistungsfähigkeit des Wechselrichters.,Schutz des Thyristors vor dV/dt.,B,"['none', 'regional', 'none', 'dialect']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",['Western Culture'],['North America'],[],CS,True
electrical_engineering/test/73,electrical_engineering,STEM,Die Verlustleistung in einem idealen Induktor ist,Maximal,Minimal,Null,Ein endlicher Wert,C,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
electrical_engineering/test/78,electrical_engineering,STEM,Die für den Kühlkörper verwendeten Materialien sollten folgende Eigenschaften aufweisen,hohe Wärmeleitfähigkeit.,große Oberfläche.,hoher Schmelzpunkt.,Alle davon.,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
electrical_engineering/test/108,electrical_engineering,STEM,Die Beleuchtungsstärke an einem Punkt 5 Meter unterhalb einer Lampe beträgt 6 Lux. Die Lichtstärke der Lampe beträgt,30.0,140.0,150.0,200.0,C,"['dialect', 'none', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CS,True
elementary_mathematics/test/8,elementary_mathematics,STEM,"Ermittle die Differenz von 142,76 – 16,5.","159,26","2,224","14,111","126,26",D,"['none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",[],[],[],CA,True
elementary_mathematics/test/18,elementary_mathematics,STEM,Eine bestimmte Karte verwendet einen Maßstab von 1 Zoll gleich 25 Meilen. Wie viele Meilen werden durch 5 Zoll auf dieser Karte dargestellt?,5,25,50,125,D,"['regional', 'none', 'regional', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True
