sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
astronomy/test/58,astronomy,STEM,"Al viajar hacia el norte desde los Estados Unidos a Canadá, verás que la Estrella Polar (Polaris) se ve _________.",más brillante,más tenue,más alta en el firmamento,más abaja en el firmamento,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
astronomy/test/107,astronomy,STEM,¿Qué pesaría más en la luna?,Un kilogramo de plumas,Cinco libras de ladrillos medidos en la Tierra,Cinco kilogramos de plumas,Un kilogramo de ladrillos,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/10,business_ethics,Business," ¿Cuáles son, según Schnackenberg y Tomlinson (2014), los tres criterios que pueden utilizarse para evaluar la calidad de la transparencia corporativa?","Amplitud, claridad, precisión","Divulgación, detalle, precisión","Divulgación, claridad, precisión","Divulgación, claridad, eficiencia",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/14,business_ethics,Business,¿Cuáles son los tres tipos diferentes de teoría de las partes interesadas según Donaldson y Preston (1995)?,"Normativa, descriptiva y económica","Normativa, moral y fundamental","Política, descriptiva y fundamental","Normativa, descriptiva y fundamental",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True
business_ethics/test/25,business_ethics,Business,"_______ es el término utilizado para describir la aprobación y aceptación continua de las actividades de una empresa por parte de la sociedad, especialmente entre las comunidades locales y las sociedades civiles.",Interés propio ilustrado,Licencia social para operar,Aprobación comunitaria,Responsabilidad de la cadena de suministro,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True
business_ethics/test/27,business_ethics,Business,"Los/las _________, como _______ y _______ son procesos mediante los cuales las organizaciones implementan objetivos, políticas y responsabilidades ambientales y garantizan auditorías e informes periódicos, que van más allá del cumplimiento legal.","Sistemas de gestión ambiental, SA8000, EMAS","Normas de responsabilidad social, ISO14001, SA8000","Sistemas de gestión ambiental, ISO14001, EMAS","Normas de responsabilidad social, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True
business_ethics/test/44,business_ethics,Business,"________ es el uso del lenguaje para enmascarar o exponer la naturaleza ética de las decisiones, acciones y comportamientos.",Empalme ético,Encuadre moral,Engaño ético,Empalme moral,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True
business_ethics/test/52,business_ethics,Business,¿Como se conoce el estado de incapacidad para tomar una decisión informada y razonada sobre la compra de un producto?,Inclusión del consumidor,Capacidad del consumidor,Exclusión del consumidor,Vulnerabilidad del consumidor,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/54,business_ethics,Business,La _______ y _______ son ejemplos de teorías basadas en _______ que se basan en principios universales básicos del bien y del mal.,"Ética del deber, ética de los derechos y la justicia, principios","Utilitarismo, egoísmo, principio","Ética del deber, utilitarismo, consecuencialista","Egoísmo, ética de los derechos y la justicia, consecuencialista",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
business_ethics/test/57,business_ethics,Business,La _________ como la ________ en los Estados Unidos es un factor clave para impulsar prácticas comerciales éticas.,"Legislación, Ley Sarbanes-Oxley","Política interna de la empresa, ley de prácticas corporativas poco éticas","Política interna de la empresa, Ley Sarbanes-Oxley","Legislación, ley de prácticas corporativas poco éticas",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
business_ethics/test/65,business_ethics,Business,"Reemplazar las cadenas de suministro con _______ aumenta la importancia del producto _______, así como un rediseño fundamental de cada actividad que realiza una empresa y que produce _______.","Bucles de suministro, recuperación, residuos","Bucles de suministro, rediseño, beneficio","Redes globales de producción, Recuperación, Residuos","Redes globales de producción, Rediseño, Beneficio",A,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/72,business_ethics,Business,"Hay dos problemas principales asociados con el tamaño _____. _______ es una cuestión clave ya que, debido a la política de información de la corporación, se puede argumentar que los empleados tienen derecho a saber si están siendo despedidos. _______ es un segundo tema, particularmente el paquete ________ que reciben los empleados cuando son despedidos.","Abajo, Implicación, Remuneración, Compensación","Arriba, Implicación, Autonomía, Compensación","Abajo, Autonomía, Remuneración, Beneficio","Arriba, Independencia, Implicación, Beneficio",A,"['none', 'none', 'none', 'none', 'none', 'none']","['No', 'No', 'No', 'No', 'No', 'No']","['-', '-', '-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/74,business_ethics,Business,"Bajo el ________ ético, los principios morales objetivos pueden ser determinados racionalmente, mientras que bajo el/la ________, la moralidad es tanto dependiente del contexto como subjetiva.","Normatividad, relativismo","Absolutismo, relativismo","Relativismo, absolutismo","Absolutismo, normatividad",B,"['cultural', 'none', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
business_ethics/test/75,business_ethics,Business,"Algunas de las diferencias clave entre las finanzas islámicas y las finanzas convencionales incluyen: la prohibición de cobrar y pagar _______, la prohibición de transacciones ______ y ______, la prohibición de inversiones pecaminosas y el requisito de que todos los productos financieros estén respaldados por __________.","Intereses, incuestionables, especulativas, activos intangibles","Intereses, inciertas, garantizadas, activos intangibles","Intereses, inciertas, especulativas, activos intangibles","Intereses, incuestionables, garantizadas, activos intangibles",C,"['cultural', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'Yes']","['-', '-', '-', '-']","['Middle Eastern Culture', 'Middle Eastern Culture', 'Other']",[],[],CS,True
