sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated
astronomy/test/58,astronomy,STEM,Tí a bá ń rìnrìn-àjò lọ ọ̀gangan àríwá láti Orílẹ̀-èdè Amẹ́ríkà lọ sí Kánádà wàá rí Ìràwọ̀ Àríwá (Pólárísì) tó ń_________.,Mọ́lẹ̀ sí,Bàìbàì,Ga jù nínú òfurufú,Wálẹ̀ jù nínú òfurufú,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
astronomy/test/107,astronomy,STEM,Kí ni ohun tó wúwo jù lóríi òsùpá lóye tìrẹ?,Kílo àwọn ìyẹ́,Pọ́nùn máárùn òkúta bí a tí se òdiwọ̀n rẹ̀ lórí ayé,Kílò máárùún àwọn ìyẹ́,Kílò òkúta kan,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/10,business_ethics,Business,"Gẹ́gẹ́ bí Schnackenberg àti Tomlinson (2014) ti wí, kí ni àwọn kókó nǹkan tí a lè lò láti fi ṣe àgbẹ́yẹ̀wò ìdárató àrídénú ti ilé iṣẹ́?","Fífẹ̀, Híhàn kedere, Pípéye","Fífọhùn, Àlàyé lẹ́kùnrẹ́rẹ́, Pípéye","Fífọhùn, Híhàn kedere, Pípéye","Fífọhùn, Híhàn kedere, Ìmúnádókó",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/14,business_ethics,Business,Kí ni irùfẹ́ àwọn oríṣi mẹ́ta ti tíọ́rì alájọṣe gẹ̀gẹ́ bí Donaldson àti Preston (1995) ti wí?,"Ìhùwà, Àpèjúwe àti Ètò ìṣúná","Ìhùwà, Ìwa rere àti Irinṣẹ́","Òṣèlú, Àpèjúwe, àti Irinṣẹ́   ","Ìhùwà, Àpèjúwe àti Irinṣẹ́,",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True
business_ethics/test/25,business_ethics,Business,"_______ ni ọ̀rọ̀ tí a fi ńṣe àpèjúwe gbígba àṣẹ tó ńlọ lọ́wọ́ àti ìtẹ́wọ́gbà àwọn ìlàkàkà ilé iṣẹ́ fún ìlú, ní pàtàkì láàrin àwọn àwùjọ ìbílẹ̀ àti àjọ ẹgbẹ́jọdá. ",Ìlóye ìfẹ́ inú ara ẹni  ,Ìwé àṣẹ ìlú láti ṣiṣẹ́ ,Gbigba àṣẹ agbègbè  ,Ojúṣe okùn ìpèsè ,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True
business_ethics/test/27,business_ethics,Business,"_________, gẹ́gẹ́ bíi _________ àti _________ jẹ́ àwọn ọ̀nà tí àwọn ilé iṣẹ́ ńgbà láti ṣe àmúṣiṣẹ́ àwọn ìlépa àyíká, àwọn ìlànà àti ojúṣe láti ríi dájú wípé yíyẹ ìwé owó wò àti íjábọ̀ ńwáyé déédé, tí ó tayọ ìfaramọ́ òfin.","Etò Ìṣàkóso àyíká, SA8000, EMAS","Àwọn gbèndéke ìṣèṣirò ìlú, ISO14001, SA8000","Etò Ìṣàkóso àyíká, ISO14001, EMAS","Àwọn gbèndéke ìṣèṣirò ìlú, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True
business_ethics/test/44,business_ethics,Business,"________ ni lílo èdè láti ṣe ìbojú tàbí tú àṣírí irúfẹ́ àwọn iwà rere àti ìpinnu, àwọn ìgbésẹ̀ àti ìhùwà. ",Àtúntò ìhùwà,Ìyàtọ̀ ní ìwà ,Ṣiṣe ìtọ́jú ìhùwà,Àtúntò ìwà,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True
business_ethics/test/52,business_ethics,Business,"Ipò tí a kò lè ṣe ìpinnú tó ní àlàyé, tí a ti ronú lé nípa ọjà rírà ni a mọ̀ gẹ́gẹ́ bíi?",Ṣíṣe àfikún aṣàmúlò,Kíkajúẹ̀ aṣàmúlò,Yíyọ aṣàmúlò kúrò,Àílókun aṣàmúlò,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True
business_ethics/test/54,business_ethics,Business,_______ àti _______ jìjọ jẹ́ àpẹẹrẹ _______ àwọn tíọ́rì tó dá lórí àwọn ìlànà àgbáyé fún tire àti ibi.,"Ìwà iṣẹ́, ìwá ẹ̀tọ́ àti ìdájọ́, Ìlànà","Ìhùwàsí, Ìgbéraga, Ìlànà","Ìwà iṣẹ́, Ìhùwàsí, Àbájádé,","Ìgbéraga, Ìwà ẹ̀tọ́ àti ìdájọ́, Àbájáde",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True
business_ethics/test/57,business_ethics,Business,_________ gẹ́gẹ́ bí _________ ní Amẹ́ríkà ti jẹ́ kókó okùnfà ní wíwakọ̀ àwọn akitiyan ìwà ti okòwò.,"Òfin ṣíṣe, Òfin Sarbanes-Oxley ","Ìlànà abẹ́nú ti ilé iṣẹ́, Àwọn ìwà àìdára ti ilé iṣẹ́ ","Ìlànà abẹ́nú ti ilé iṣẹ́, Òfin Sarbanes-Oxley ","Òfin ṣíṣe, Àwọn ìwà àìdára ti ilé iṣẹ́ ",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True
