question_id,question,options,answer,answer_index,cot_content,category,src,gpt4o_rawtext,gpt4o
70,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.","['Safe practices, Fear, Jealousy, Trivial'
 'Unsafe practices, Distress, Joy, Trivial'
 'Safe practices, Wants, Jealousy, Trivial'
 'Safe practices, Distress, Fear, Trivial'
 'Unsafe practices, Wants, Jealousy, Serious'
 'Safe practices, Distress, Jealousy, Serious'
 'Safe practices, Wants, Fear, Serious'
 'Unsafe practices, Wants, Fear, Trivial'
 'Unsafe practices, Distress, Fear, Serious']",I,8,,business,ori_mmlu-business_ethics,"First,🙂I🙂need🙂to🙂identify🙂the🙂correct🙂phrases🙂that🙂fit🙂the🙂context🙂of🙂advertising🙂regulations.🙂Typically,🙂advertising🙂regulations🙂aim🙂to🙂prevent🙂harmful🙂or🙂misleading🙂content.
The🙂first🙂blank🙂should🙂be🙂related🙂to🙂practices🙂that🙂are🙂not🙂safe,🙂so🙂""Unsafe🙂practices""🙂is🙂a🙂likely🙂fit.
Next,🙂advertisements🙂should🙂not🙂cause🙂unnecessary🙂emotional🙂responses,🙂such🙂as🙂""Distress""🙂or🙂""Fear.""
Finally,🙂advertisements🙂should🙂not🙂cause🙂offence,🙂and🙂the🙂level🙂of🙂offence🙂is🙂often🙂considered🙂""Serious.""
Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'i'}.",i
71,"Managers are entrusted to run the company in the best interest of ________. Specifically, they have a duty to act for the benefit of the company, as well as a duty of ________ and of _______.","['Shareholders, Diligence, Self-interest'
 'Shareholders, Self-interest, Care and Skill'
 'Stakeholders, Care and skill, Self-interest'
 'Stakeholders, Diligence, Care and Skill'
 'Customers, Care and Skill, Diligence'
 'Shareholders, Care and Skill, Diligence'
 'Shareholders, Self-interest, Diligence'
 'Employees, Care and Skill, Diligence'
 'Stakeholders, Self-interest, Diligence'
 'Stakeholder, Care and Skill, Diligence']",F,5,,business,ori_mmlu-business_ethics,"First,🙂I🙂need🙂to🙂identify🙂who🙂managers🙂are🙂primarily🙂entrusted🙂to🙂serve.🙂In🙂a🙂corporate🙂context,🙂managers🙂are🙂typically🙂entrusted🙂to🙂run🙂the🙂company🙂in🙂the🙂best🙂interest🙂of🙂the🙂shareholders.
Next,🙂I🙂need🙂to🙂determine🙂the🙂duties🙂managers🙂have.🙂They🙂have🙂a🙂duty🙂of🙂care🙂and🙂skill,🙂which🙂means🙂they🙂must🙂act🙂with🙂the🙂necessary🙂competence🙂and🙂diligence🙂in🙂their🙂roles.
Finally,🙂I🙂need🙂to🙂find🙂the🙂option🙂that🙂matches🙂these🙂criteria.🙂The🙂correct🙂choice🙂is🙂the🙂one🙂that🙂mentions🙂shareholders,🙂care🙂and🙂skill,🙂and🙂diligence.
Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'f'}.",f
72,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.","['Down, Autonomy, Remuneration, Benefit'
 'Down, Involvement, Independence, Benefit'
 'Up, Independence, Involvement, Benefit'
 'Down, Privacy, Autonomy, Benefit'
 'Up, Involvement, Autonomy, Compensation'
 'Down, Independence, Autonomy, Compensation'
 'Up, Involvement, Remuneration, Severance'
 'Up, Privacy, Remuneration, Severance'
 'Up, Autonomy, Remuneration, Compensation'
 'Down, Involvement, Remuneration, Compensation']",J,9,,business,ori_mmlu-business_ethics,"First,🙂I🙂need🙂to🙂identify🙂the🙂context🙂of🙂the🙂sentence.🙂The🙂sentence🙂is🙂discussing🙂issues🙂related🙂to🙂sizing,🙂which🙂typically🙂refers🙂to🙂""down""🙂sizing🙂in🙂a🙂corporate🙂context.
Next,🙂I🙂need🙂to🙂fill🙂in🙂the🙂blanks🙂with🙂the🙂appropriate🙂words.🙂The🙂first🙂blank🙂is🙂likely🙂""Down""🙂since🙂it🙂is🙂related🙂to🙂corporate🙂downsizing.
The🙂second🙂blank🙂is🙂related🙂to🙂employees'🙂right🙂to🙂know🙂about🙂redundancy,🙂which🙂is🙂best🙂described🙂by🙂""Involvement""🙂as🙂it🙂implies🙂communication🙂and🙂participation.
The🙂third🙂blank🙂is🙂about🙂a🙂second🙂issue,🙂specifically🙂the🙂package🙂employees🙂receive,🙂which🙂is🙂best🙂described🙂by🙂""Remuneration""🙂and🙂""Compensation"".
Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'j'}.",j
73,_______ locate morality beyond the sphere of rationality in an emotional 'moral impulse' towards others.,"['Ethical egoism' 'Ethics of duty' 'Postmodern ethics'
 'Consequentialist ethics' 'Utilitarian ethics' 'Deontological ethics'
 'Virtue ethics' 'Ethics of care' 'Ethics of rights' 'Relativist ethics']",C,2,,business,ori_mmlu-business_ethics,"First,🙂I🙂need🙂to🙂understand🙂the🙂concept🙂of🙂locating🙂morality🙂beyond🙂rationality.🙂This🙂suggests🙂a🙂focus🙂on🙂emotions🙂and🙂relationships🙂rather🙂than🙂strict🙂rules🙂or🙂outcomes.
Next,🙂I🙂consider🙂the🙂options.🙂Ethics🙂of🙂care🙂is🙂known🙂for🙂emphasizing🙂emotional🙂connections🙂and🙂relationships🙂in🙂moral🙂decision-making,🙂which🙂aligns🙂with🙂the🙂idea🙂of🙂a🙂'moral🙂impulse'🙂towards🙂others.
Finally,🙂I🙂compare🙂this🙂with🙂other🙂options.🙂Most🙂other🙂ethical🙂theories🙂like🙂utilitarianism,🙂deontology,🙂and🙂consequentialism🙂focus🙂on🙂rational🙂principles🙂or🙂outcomes,🙂not🙂emotional🙂impulses.
Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'h'}.",h
74," Some of key differences between Islamic finance and conventional finance include - prohibition of charging and paying _______, prohibition on ______ and ______ transactions, prohibition of sinful investment and requirement for all financial products to be backed by __________.","['Interest, Certain, Assured, Both tangible and intangible assets'
 'Interest, Uncertain, Assured, Both tangible and intangible assets'
 'Interest, Uncertain, Speculative, Intangible assets'
 'Interest, Certain, Assured, Tangible assets'
 'Interest, Uncertain, Assured, Intangible assets'
 'Profit, Uncertain, Speculative, Tangible assets'
 'Interest, Uncertain, Speculative, Tangible assets'
 'Interest, Certain, Speculative, Intangible assets'
 'Profit, Certain, Assured, Tangible assets'
 'Interest, Certain, Speculative, Both tangible and intangible assets']",G,6,,business,ori_mmlu-business_ethics,"First,🙂I🙂need🙂to🙂identify🙂the🙂key🙂principles🙂of🙂Islamic🙂finance.🙂One🙂of🙂the🙂main🙂principles🙂is🙂the🙂prohibition🙂of🙂charging🙂and🙂paying🙂interest,🙂known🙂as🙂riba.🙂This🙂eliminates🙂options🙂f)🙂and🙂i)🙂since🙂they🙂mention🙂profit🙂instead🙂of🙂interest.

Next,🙂Islamic🙂finance🙂prohibits🙂transactions🙂that🙂are🙂uncertain🙂or🙂speculative,🙂known🙂as🙂gharar🙂and🙂maysir,🙂respectively.🙂This🙂eliminates🙂options🙂a),🙂d),🙂e),🙂and🙂h)🙂since🙂they🙂mention🙂certain🙂or🙂assured🙂transactions.

Finally,🙂Islamic🙂finance🙂requires🙂all🙂financial🙂products🙂to🙂be🙂backed🙂by🙂tangible🙂assets.🙂This🙂eliminates🙂options🙂c),🙂e),🙂and🙂j)🙂since🙂they🙂mention🙂intangible🙂assets.

Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'g'}.",g
75, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"['Organizational size, industry type, and geographical location.'
 'Organizational size, industry type, and age of company.'
 'Organizational size, industry type, and customer base.'
 'Organizational size, industry type, and annual revenue.'
 'Organizational size, industry type, and business strategy.'
 'None of the above.' 'Organizational size, industry type, and gender.'
 'Organizational size, industry type, and number of branches.'
 'Psychographics, purchaser, and behavioural criteria.'
 'Organizational size, industry type, and number of employees.']",A,0,,business,ori_mmlu-marketing,"First,🙂I🙂need🙂to🙂identify🙂the🙂common🙂segmentation🙂criteria🙂used🙂for🙂organizations.🙂Typically,🙂these🙂criteria🙂include🙂organizational🙂size,🙂industry🙂type,🙂and🙂geographical🙂location.
Next,🙂I🙂will🙂review🙂the🙂choices🙂to🙂find🙂the🙂option🙂that🙂matches🙂these🙂criteria.🙂Option🙂a)🙂includes🙂organizational🙂size,🙂industry🙂type,🙂and🙂geographical🙂location,🙂which🙂aligns🙂with🙂the🙂common🙂segmentation🙂criteria.
Finally,🙂I🙂will🙂confirm🙂that🙂none🙂of🙂the🙂other🙂options🙂match🙂all🙂three🙂criteria.🙂Options🙂b),🙂c),🙂d),🙂e),🙂g),🙂h),🙂and🙂j)🙂do🙂not🙂include🙂geographical🙂location,🙂and🙂option🙂i)🙂is🙂not🙂relevant🙂to🙂organizational🙂characteristics.
Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'a'}.",a
76," Pine and Gilmore (1999) derive four distinct realms of experience, based on two dimensions. What are these dimensions?","['Customer participation and environmental acquisition.'
 'Environmental acquisition and environmental relationship.'
 'Customer retention and environmental relationship.'
 'Customer participation and environmental relationship.'
 'Customer acquisition and customer retention.'
 'Customer participation and customer relationship.'
 'Customer acquisition and environmental participation.'
 'Environmental participation and customer relationship.'
 'Customer retention and customer relationship.'
 'Customer acquisition and environmental relationship.']",D,3,,business,ori_mmlu-marketing,"First,🙂I🙂need🙂to🙂identify🙂the🙂two🙂dimensions🙂that🙂Pine🙂and🙂Gilmore🙂(1999)🙂use🙂to🙂derive🙂the🙂four🙂realms🙂of🙂experience.🙂These🙂dimensions🙂are🙂commonly🙂known🙂as🙂""customer🙂participation""🙂and🙂""environmental🙂relationship.""

Next,🙂I🙂will🙂look🙂at🙂the🙂choices🙂provided🙂to🙂find🙂the🙂option🙂that🙂matches🙂these🙂two🙂dimensions.

The🙂correct🙂choice🙂that🙂includes🙂both🙂""customer🙂participation""🙂and🙂""environmental🙂relationship""🙂is🙂option🙂d.

Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'd'}.",d
77," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?","['Non-probability.' 'Cross-sectional.' 'Qualitative.' 'Ethnographic.'
 'Longitudinal.' 'Experimental.' 'Probability.' 'Observational.'
 'Case Study.' 'Quantitative.']",J,9,,business,ori_mmlu-marketing,"First,🙂I🙂need🙂to🙂identify🙂the🙂type🙂of🙂research🙂method🙂that🙂involves🙂predetermined,🙂standardized🙂questions🙂and🙂is🙂designed🙂to🙂gather🙂responses🙂from🙂many🙂respondents.
This🙂description🙂fits🙂with🙂methods🙂that🙂are🙂structured🙂and🙂often🙂involve🙂numerical🙂data🙂collection,🙂which🙂is🙂characteristic🙂of🙂quantitative🙂research.
Quantitative🙂research🙂methods🙂use🙂structured🙂tools🙂such🙂as🙂surveys🙂or🙂questionnaires🙂to🙂collect🙂data🙂from🙂a🙂large🙂number🙂of🙂participants.
Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'j'}.",j
78,"Where the price is set low relative to the competition to gain market share, this strategy is known as:","['Captive product pricing.' 'High-low pricing.' 'Price skimming.'
 'Value added pricing.' 'Penetration pricing.' 'Premium pricing.'
 'Cost-plus pricing.' 'Economy pricing.' 'Psychological pricing.'
 'Competitive pricing.']",E,4,,business,ori_mmlu-marketing,"First,🙂I🙂need🙂to🙂understand🙂the🙂definition🙂of🙂each🙂pricing🙂strategy🙂to🙂identify🙂which🙂one🙂involves🙂setting🙂a🙂low🙂price🙂to🙂gain🙂market🙂share.
Captive🙂product🙂pricing🙂involves🙂setting🙂a🙂low🙂price🙂for🙂the🙂main🙂product🙂and🙂higher🙂prices🙂for🙂the🙂complementary🙂products.
High-low🙂pricing🙂is🙂a🙂strategy🙂where🙂prices🙂are🙂temporarily🙂reduced🙂to🙂encourage🙂purchases.
Price🙂skimming🙂involves🙂setting🙂a🙂high🙂price🙂initially🙂and🙂then🙂lowering🙂it🙂over🙂time.
Value🙂added🙂pricing🙂focuses🙂on🙂adding🙂features🙂or🙂services🙂to🙂justify🙂a🙂higher🙂price.
Penetration🙂pricing🙂is🙂the🙂strategy🙂of🙂setting🙂a🙂low🙂price🙂to🙂enter🙂a🙂market🙂and🙂gain🙂market🙂share.
Premium🙂pricing🙂involves🙂setting🙂a🙂high🙂price🙂to🙂reflect🙂the🙂perceived🙂value🙂of🙂a🙂product.
Cost-plus🙂pricing🙂is🙂setting🙂a🙂price🙂by🙂adding🙂a🙂markup🙂to🙂the🙂cost🙂of🙂the🙂product.
Economy🙂pricing🙂is🙂a🙂no-frills🙂low🙂price🙂strategy🙂often🙂used🙂by🙂generic🙂brands.
Psychological🙂pricing🙂involves🙂setting🙂prices🙂that🙂have🙂a🙂psychological🙂impact,🙂like🙂$9.99🙂instead🙂of🙂$10.
Competitive🙂pricing🙂is🙂setting🙂a🙂price🙂based🙂on🙂what🙂the🙂competition🙂is🙂charging.
After🙂analyzing🙂the🙂definitions,🙂the🙂strategy🙂that🙂involves🙂setting🙂a🙂low🙂price🙂to🙂gain🙂market🙂share🙂is🙂penetration🙂pricing.
Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'e'}.",e
79,"Once a train pulls out of a station, or an aeroplane takes off or a film starts, those seats are lost and can never be sold. This is referred to as:","['Immeasurability.' 'Impalpability.' 'Variability.' 'Non-storability.'
 'Indivisibility.' 'Perishability.' 'Non-recoverability.'
 'Inseparability.' 'Heterogeneity.' 'Intangibility.']",F,5,,business,ori_mmlu-marketing,"First,🙂I🙂need🙂to🙂understand🙂the🙂concept🙂being🙂described.🙂The🙂situation🙂describes🙂a🙂service🙂or🙂product🙂that🙂cannot🙂be🙂stored🙂for🙂future🙂use🙂or🙂sale.🙂Once🙂the🙂opportunity🙂to🙂sell🙂the🙂seat🙂is🙂gone,🙂it🙂cannot🙂be🙂recovered.

Next,🙂I🙂consider🙂the🙂options🙂provided.🙂The🙂term🙂that🙂best🙂describes🙂this🙂characteristic🙂is🙂related🙂to🙂the🙂idea🙂that🙂the🙂service🙂cannot🙂be🙂stored🙂or🙂saved🙂for🙂later🙂use.

Finally,🙂the🙂correct🙂term🙂for🙂this🙂concept🙂is🙂""Perishability,""🙂which🙂refers🙂to🙂the🙂fact🙂that🙂services🙂cannot🙂be🙂stored🙂for🙂later🙂sale🙂or🙂use.🙂Once🙂the🙂time🙂has🙂passed,🙂the🙂opportunity🙂is🙂lost.

Therefore,🙂the🙂correct🙂answer🙂is🙂{'sol':🙂'f'}.",f
