sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,عند السفر شمالًا من الولايات المتحدة إلى كندا، سترى نجم الشمال (بولاريس) _________.,أكثر سطوعًا,باهت,أعلى في السماء,أكثر انخفاضًا في السماء,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"أولاً،🙂عند🙂السفر🙂شمالًا،🙂نجم🙂الشمال🙂(بولاريس)🙂يصبح🙂أعلى🙂في🙂السماء.🙂هذا🙂لأن🙂بولاريس🙂يقع🙂تقريبًا🙂في🙂موقع🙂القطب🙂الشمالي،🙂لذا🙂كلما🙂اقتربت🙂من🙂القطب،🙂كلما🙂ارتفع🙂في🙂السماء. 

ثانيًا،🙂إذا🙂كنت🙂تسافر🙂شمالًا،🙂فإن🙂زاوية🙂رؤية🙂بولاريس🙂ستزداد،🙂مما🙂يجعله🙂يبدو🙂أعلى🙂في🙂السماء. 

ثالثًا،🙂لذا،🙂الإجابة🙂الصحيحة🙂هي🙂""أعلى🙂في🙂السماء"". 

وبالتالي🙂فإن🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'c'}.",c
astronomy/test/107,astronomy,STEM,ما الذي سيكون وزنه أكبر على القمر؟,كيلوغرام من الريش,خمسة أرطال من الطوب كما يقاس على الأرض,خمسة كيلوغرامات من الريش,كيلوغرام من الطوب,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"أولاً،🙂أحتاج🙂إلى🙂فهم🙂كيف🙂يؤثر🙂الجاذبية🙂على🙂الأوزان🙂على🙂الأرض🙂وعلى🙂القمر.🙂الجاذبية🙂على🙂القمر🙂أقل🙂بـ 1/6🙂مقارنةً🙂بالأرض،🙂لذا فإن الوزن على القمر سيكون أقل.

ثانيًا،🙂سأقوم🙂بحساب🙂الأوزان🙂لكل🙂خيار🙂كما🙂سيتم قياسها🙂على🙂القمر:
- كيلوغرام من الريش: وزنه على القمر سيكون 1 كيلوغرام * (1/6) = 0.167 كيلوغرام.
- خمسة أرطال من الطوب: 5 أرطال = 2.27 كيلوغرام، وزنه على القمر سيكون 2.27 * (1/6) = 0.378 كيلوغرام.
- خمسة كيلوغرامات من الريش: وزنه على القمر سيكون 5 كيلوغرامات * (1/6) = 0.833 كيلوغرام.
- كيلوغرام من الطوب: وزنه على القمر سيكون 1 كيلوغرام * (1/6) = 0.167 كيلوغرام.

ثالثًا،🙂الآن،🙂سأقارن🙂الأوزان🙂التي حسبتها:
- كيلوغرام من الريش: 0.167 كيلوغرام.
- خمسة أرطال من الطوب: 0.378 كيلوغرام.
- خمسة كيلوغرامات من الريش: 0.833 كيلوغرام.
- كيلوغرام من الطوب: 0.167 كيلوغرام.

بذلك،🙂أكبر🙂وزنٍ🙂على🙂القمر🙂هو🙂خمسة🙂كيلوغرامات🙂من🙂الريش.🙂لذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'c'}.",c
business_ethics/test/10,business_ethics,Business, ما هي المعايير الثلاثة التي يمكن استخدامها لتقييم جودة شفافية الشركات، وفقًا لشناكينبرج وتوملينسون (2014)؟,اتساع، وضوح، دقة,الإفصاح والتفاصيل والدقة,الإفصاح، الوضوح، الدقة,الإفصاح والوضوح والكفاءة,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"أولاً،🙂أحتاج🙂إلى🙂تحديد🙂المعايير🙂التي🙂تتعلق🙂بجودة🙂شفافية🙂الشركات🙂وفقًا🙂لشناكينبرج🙂وتوملينسون.🙂المعايير🙂التي🙂تتناولها🙂الأبحاث🙂تتعلق🙂بمدى🙂وضوح🙂المعلومات🙂المقدمة🙂من🙂قبل🙂الشركات.

ثانيًا،🙂من🙂المعروف🙂أن🙂المعايير🙂الأساسية🙂لتقييم🙂الشفافية🙂تشمل🙂الإفصاح،🙂الوضوح،🙂والدقة.🙂الإفصاح🙂يعني🙂مدى🙂توافر🙂المعلومات،🙂بينما🙂الوضوح🙂يشير🙂إلى🙂سهولة🙂فهم🙂المعلومات،🙂أما🙂الدقة🙂فهي🙂تتعلق🙂بمدى🙂صحة🙂المعلومات🙂المقدمة.

ثالثًا،🙂عند🙂مقارنة🙂الخيارات،🙂الخيار🙂(c)🙂الإفصاح،🙂الوضوح،🙂الدقة🙂يتوافق🙂مع🙂المعايير🙂المعروفة🙂لتقييم🙂جودة🙂شفافية🙂الشركات.

لذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'c'}.",c
business_ethics/test/14,business_ethics,Business,ما الأنواع الثلاثة المُختلفة لنظرية أصحاب المصلحة المعنيين وفقًا لدونالدسون وبريستون (1995)؟,المعياري، الوصفي، الاقتصادي,المعياري، الأخلاقي، الفعال,السياسي، الوصفي، الفعال,المعياري، الوصفي، الفعال,D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"أولاً،🙂أحتاج🙂إلى🙂تحديد🙂الأنواع🙂الثلاثة🙂المختلفة🙂لنظرية🙂أصحاب🙂المصلحة🙂المعنيين🙂وفقًا🙂لدونالدسون🙂وبريستون.🙂وفقًا🙂لأبحاثهم،🙂الأنواع🙂هي🙂المعياري،🙂الوصفي،🙂والفعال.

ثانيًا،🙂المعياري🙂يتعلق🙂بما🙂يجب🙂أن🙂يكون،🙂بينما🙂الوصفي🙂يتعلق🙂بما🙂هو🙂عليه،🙂والفعال🙂يركز🙂على🙂كيفية🙂تحقيق🙂الأهداف🙂بشكلٍ🙂فعال.

ثالثًا،🙂بناءً🙂على🙂هذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol':🙂'a'}.",a
business_ethics/test/25,business_ethics,Business,_______ هو المصطلح المُستخدم لوصف الموافقة والقبول المستمرين لأنشطة الشركة من قِبَل المجتمع، خاصةً بين المجتمعات المحلية والمجتمعات المدنية.,المصلحة الشخصية المستنيرة,الترخيص الاجتماعي للعمل,موافقة المجتمع,مسؤولية سلسلة التوريد,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"أولاً،🙂أحتاج🙂إلى🙂فهم🙂المصطلحات🙂المعطاة🙂في🙂الخيارات.🙂المصطلح🙂الذي🙂يصف🙂الموافقة🙂والقبول🙂المستمرين🙂لأنشطة🙂الشركة🙂من🙂قبل🙂المجتمع🙂يبدو🙂أنه🙂يرتبط🙂بفكرة🙂الترخيص🙂الاجتماعي. 

ثانيًا،🙂الترخيص🙂الاجتماعي🙂للعمل🙂يعني🙂أن🙂الشركة🙂تحصل🙂على🙂قبول🙂من🙂المجتمع🙂المحيط🙂بها،🙂وهو🙂ما🙂يحتاجه🙂أي🙂عمل🙂لضمان🙂استمراريته🙂ونجاحه. 

ثالثًا،🙂بينما🙂تبدو🙂الخيارات🙂الأخرى🙂مرتبطةً🙂بمواضيع🙂أخرى،🙂إلا🙂أن🙂الترخيص🙂الاجتماعي🙂هو🙂الأكثر🙂ملاءمةً🙂للسياق🙂المعطى. 

لذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'b'}.",b
business_ethics/test/27,business_ethics,Business,_________، مثل _______ و_______ هي عمليات تستخدمها المؤسسات لتنفيذ الأهداف والسياسات والمسؤوليات البيئية وضمان التدقيق والإبلاغ المنتظمين، وهو ما يتجاوز الامتثال القانوني.,أنظمة الإدارة البيئية، SA8000، خطة الإدارة البيئية والتدقيق,معايير المساءلة الاجتماعية، ISO14001، SA8000,أنظمة الإدارة البيئية، ISO14001، خطة الإدارة البيئية والتدقيق,معايير المساءلة الاجتماعية، خطة الإدارة البيئية والتدقيق، SA8000,C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"أولاً،🙂أحتاج🙂إلى🙂تحليل🙂الخيارات🙂المقدمة.🙂العبارة تتحدث🙂عن🙂العمليات🙂التي🙂تستخدمها🙂المؤسسات🙂لتنفيذ🙂الأهداف🙂والسياسات🙂والمسؤوليات🙂البيئية.🙂من🙂المعروف🙂أن🙂ISO14001🙂هو🙂معيارٌ🙂لأنظمة🙂الإدارة🙂البيئية،🙂بينما🙂SA8000🙂يتعلق🙂بالمساءلة🙂الاجتماعية.

ثانيًا،🙂أحتاج🙂إلى🙂تحديد🙂ما🙂إذا🙂كانت🙂الخيارات🙂الأخرى🙂تتناسب🙂مع🙂الموضوع.🙂خطة🙂الإدارة🙂البيئية🙂والتدقيق🙂هي🙂عملياتٌ🙂تستخدمها🙂المؤسسات🙂لضمان🙂الامتثال🙂للمعايير🙂البيئية.

ثالثًا،🙂عند🙂مقارنة🙂الخيارات،🙂يبدو🙂أن🙂الخيار🙂(c)🙂هو🙂الأكثر🙂ملاءمة،🙂لأنه🙂يتضمن🙂أنظمة🙂الإدارة🙂البيئية،🙂ISO14001،🙂وخطة🙂الإدارة🙂البيئية🙂والتدقيق،🙂وهي🙂جميعها🙂مرتبطةٌ🙂بالأهداف🙂والسياسات🙂البيئية.

لذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'c'}.",c
business_ethics/test/44,business_ethics,Business,________ هو استخدام لغة لإخفاء الطبيعة الأخلاقية للقرارات والإجراءات والسلوكيات أو لكشفها.,الربط الأخلاقي,التأطير الأخلاقي,تحريف الحقائق الأخلاقية,الربط الأخلاقي,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"أولاً،🙂أحتاج🙂إلى🙂تحليل🙂الخيارات🙂المقدمة.🙂الخيار🙂(a)🙂""الربط الأخلاقي""🙂يبدو🙂أنه🙂يتعلق🙂بربط🙂الأخلاق🙂بمفاهيم🙂أخرى،🙂بينما🙂الخيار🙂(b)🙂""التأطير الأخلاقي""🙂يمكن🙂أن🙂يشير🙂إلى🙂كيفية🙂تقديم🙂المعلومات🙂بشكلٍ🙂يؤثر🙂على🙂فهمنا🙂للأخلاق.🙂الخيار🙂(c)🙂""تحريف الحقائق الأخلاقية""🙂يبدو🙂أنه🙂يتعلق🙂بإخفاء🙂أو🙂تغيير🙂الحقائق🙂الأخلاقية.🙂أما الخيار🙂(d)🙂""الربط الأخلاقي""🙂مكرر. 

ثانياً،🙂من🙂خلال🙂تحليل🙂المعاني،🙂يبدو🙂أن🙂""التأطير الأخلاقي""🙂هو🙂الأكثر🙂ملاءمةً🙂لإخفاء🙂الطبيعة🙂الأخلاقية🙂للأفعال. 

ثالثاً،🙂لذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'b'}.",b
business_ethics/test/52,business_ethics,Business,تُعرف حالة عدم القدرة على اتخاذ قرار مستنير ومعلل بشأن شراء المنتج باسم؟,إدماج المستهلك,كفاءة المستهلك,استبعاد المستهلك,ضعف المستهلك,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"أولاً،🙂أحتاج🙂إلى🙂فهم🙂المصطلحات🙂المعطاة🙂في🙂الخيارات.🙂""إدماج المستهلك""🙂يشير🙂إلى🙂مشاركة🙂المستهلكين🙂في🙂عملية🙂الشراء،🙂بينما🙂""كفاءة المستهلك""🙂تتعلق🙂بمدى🙂استفادة🙂المستهلكين🙂من🙂القرارات🙂الشرائية.🙂أما🙂""استبعاد المستهلك""🙂فهو🙂يعني🙂عدم🙂قدرة🙂المستهلكين🙂على🙂الوصول🙂إلى🙂المنتجات.🙂وأخيرًا،🙂""ضعف المستهلك""🙂يشير🙂إلى🙂حالة🙂عدم🙂القدرة🙂على🙂اتخاذ🙂قرارات🙂مستنيرة. 

ثانيًا،🙂عند🙂النظر🙂إلى🙂السؤال،🙂فإنه🙂يتحدث🙂عن🙂حالة🙂عدم🙂القدرة🙂على🙂اتخاذ🙂قرار🙂مستنير،🙂وهذا🙂يتناسب🙂مع🙂""ضعف المستهلك"". 

ثالثًا،🙂لذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'd'}.",d
business_ethics/test/54,business_ethics,Business,_______ و_______ مثالان على النظريات القائمة على _______ والتي تستند إلى المبادئ العالمية الأساسية القائمة على الصواب والخطأ.,أخلاقيات الواجب، أخلاقيات الحقوق والعدالة، المبدأ,النفعية، الأنانية، المبدأ,أخلاقيات الواجب، النفعية، التبعية,الأنانية، أخلاقيات الحقوق والعدالة، التبعية,A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"أولاً،🙂أحتاج🙂إلى🙂تحليل🙂الخيارات🙂المتاحة.🙂الخيار🙂(a) يتحدث🙂عن🙂أخلاقيات🙂الواجب🙂وأخلاقيات🙂الحقوق🙂والعدالة،🙂وهما🙂نظريتان🙂تستندان🙂إلى🙂مبادئ🙂عالمية🙂أساسية.🙂الخيار🙂(b) يتحدث🙂عن🙂النفعية🙂والأنانية،🙂وهما🙂نظريتان🙂تختلفان🙂في🙂الأساسيات.🙂الخيار🙂(c) يتضمن🙂أخلاقيات🙂الواجب🙂والنفعية،🙂لكن🙂النفعية🙂لا🙂تعتبر🙂نظريةً🙂قائمةً🙂على🙂المبادئ🙂العالمية.🙂الخيار🙂(d) يتحدث🙂عن🙂الأنانية🙂وأخلاقيات🙂الحقوق🙂والعدالة،🙂لكن🙂الأنانية🙂لا🙂تعتبر🙂نظريةً🙂قائمةً🙂على🙂المبادئ🙂العالمية. 

ثانيًا،🙂أخلاقيات🙂الواجب🙂وأخلاقيات🙂الحقوق🙂والعدالة🙂تعتبران🙂نظريتين🙂قائمتين🙂على🙂المبادئ🙂العالمية🙂الأساسية.🙂لذا،🙂الخيار🙂(a) هو🙂الأكثر🙂ملاءمةً.

أخيرًا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'a'}.",a
business_ethics/test/57,business_ethics,Business,_________ مثل _________ في الولايات المتحدة عامل رئيسي لتوجيه الممارسات التجارية الأخلاقية.,التشريع، قانون ساربانيس-أوكسلي,السياسة الداخلية للشركة، قانون الممارسات غير الأخلاقية للشركات,السياسة الداخلية للشركة، قانون ساربانيس-أوكسلي,التشريع، قانون الممارسات غير الأخلاقية للشركات,A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"أولاً،🙂أحتاج🙂إلى🙂تحليل🙂الخيارات🙂المتاحة.🙂الخيار🙂(a)🙂يتحدث🙂عن🙂التشريع🙂وقانون🙂ساربانيس-أوكسلي،🙂وهذا🙂صحيح🙂لأن🙂قانون🙂ساربانيس-أوكسلي🙂يهدف🙂إلى🙂تعزيز🙂الممارسات🙂التجارية🙂الأخلاقية.🙂الخيار🙂(b)🙂يتحدث🙂عن🙂السياسة🙂الداخلية🙂للشركة🙂وقانون🙂الممارسات🙂غير🙂الأخلاقية،🙂لكن🙂هذا🙂لا🙂يبدو🙂صحيحًا.🙂الخيار🙂(c)🙂يتحدث🙂عن🙂السياسة🙂الداخلية🙂للشركة🙂وقانون🙂ساربانيس-أوكسلي،🙂وهذا🙂أيضًا🙂صحيح.🙂الخيار🙂(d)🙂يتحدث🙂عن🙂التشريع🙂وقانون🙂الممارسات🙂غير🙂الأخلاقية،🙂وهذا🙂ليس🙂صحيحًا. 

ثانيًا،🙂أحتاج🙂إلى🙂تحديد🙂أي🙂من🙂الخيارات🙂الأكثر🙂دقة.🙂قانون🙂ساربانيس-أوكسلي🙂هو🙂تشريع🙂يهدف🙂إلى🙂تحسين🙂الممارسات🙂الأخلاقية،🙂لذا🙂فإن🙂الخيارين🙂(a)🙂و(c)🙂يبدوان🙂صحيحين. 

ثالثًا،🙂عند🙂مقارنة🙂الخيارين،🙂الخيار🙂(a)🙂يبدو🙂أكثر🙂دقةً🙂لأنه🙂يركز🙂على🙂التشريع🙂كعاملٍ🙂رئيسي. 

لذا،🙂الإجابة🙂الصحيحة🙂هي🙂{'sol': 'a'}.",a
