sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,"Wenn Sie von den Vereinigten Staaten nach Norden in Richtung Kanada reisen, sehen Sie, wie der Polarstern (Polaris) _______ aussieht:",heller,dunkler,höher am Himmel,tiefer am Himmel,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"ZUERST MUSS ICH VERSTEHEN, WO DER POLARSTERN AM HIMMEL POSITIONIERT IST. DER POLARSTERN BEFINDET SICH NAHE DEM NORDPOL, WAS BEDEUTET, DASS SEINEN WINKEL ÜBER DEM HORIZONT ZUNÄCHST HÖHER WIRD, WENN MAN NACH NORDEN REIST. 

DANN MUSS ICH DIE OPTIONEN ANALYSIEREN. WENN MAN NACH KANADA REIST, WIRD DER POLARSTERN HÖHER AM HIMMEL ERSCHEINEN, DA MAN SICH NÄHER AN SEINEN WINKEL ZUM NORDPOL BEFINDET.

DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'C'}.",c
astronomy/test/107,astronomy,STEM,Was würde auf dem Mond am meisten wiegen?,Ein Kilogramm Federn,"Fünf Pfund Ziegelsteine, gemessen auf der Erde",Fünf Kilogramm Federn,Ein Kilogramm Ziegelsteine,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"ZUERST MUSS ICH DAS KONZEPT DES GEWICHTS UND DER SCHWERKRAFT VERSTEHEN. DAS GEWICHT EINER SUBSTANZ HÄNGT VON DER SCHWERKRAFT DES ORTES AB, AN DEM SIE GEMESSEN WIRD. AUF DEM MOND IST DIE SCHWERKRAFT ETWA 1/6 DER SCHWERKRAFT DER ERDE.

ZWEITENS MUSS ICH DAS GEWICHT DER VERSCHIEDENEN OPTIONEN AUF DEM MOND BERECHNEN. EIN KILOGRAMM FEDERN WÜRDE AUF DEM MOND ETWA 1 KG * (1/6) = 0,167 KG WIEGEN. FÜNF PFUND ZIEGELSTEINE WIEGEN AUF DER ERDE ETWA 2,27 KG, WAS AUF DEM MOND ETWA 2,27 KG * (1/6) = 0,378 KG WÄRE. FÜNF KILOGRAMM FEDERN WÜRDEN AUF DEM MOND ETWA 5 KG * (1/6) = 0,833 KG WIEGEN. EIN KILOGRAMM ZIEGELSTEINE WÜRDE AUF DEM MOND ETWA 1 KG * (1/6) = 0,167 KG WIEGEN.

DIESE WERTE VERGLEICHEN: 
A) 0,167 KG (FEDERN) 
B) 0,378 KG (ZIEGELSTEINE) 
C) 0,833 KG (FEDERN) 
D) 0,167 KG (ZIEGELSTEINE)

DIE OPTION MIT DEM HÖCHSTEN GEWICHT AUF DEM MOND IST ALSO C) FÜNF KILOGRAMM FEDERN.

DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'C'}.",c
business_ethics/test/10,business_ethics,Business,"Welches sind laut Schnackenberg und Tomlinson (2014) die drei Kriterien, die zur Bewertung der Qualität der Unternehmenstransparenz herangezogen werden können?","Breite, Klarheit, Genauigkeit","Offenlegung, Details, Genauigkeit","Offenlegung, Klarheit, Genauigkeit","Offenlegung, Klarheit, Effizienz",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"ZUERST MUSS ICH DIE QUELLE ÜBERPRÜFEN, UM DIE KRIETERIEN ZU BESTÄTIGEN, DIE ZUR BEWERTUNG DER QUALITÄT DER UNTERNEHMENSTRANS-PARENZ HERANGEZOGEN WERDEN. NACH DEN INFORMATIONEN VON SCHNACKENBERG UND TOMLINSON (2014) SIND DIE WICHTIGSTEN KRIETERIEN FÜR DIE UNTERNEHMENSTRANS-PARENZ OFFENLEGUNG, KLARHEIT UND GENAUIGKEIT.

DANN KANN ICH DIE ANTWORTEN ANALYSIEREN: 
A) BREITE, KLARHEIT, GENAUIGKEIT - BREITE IST NICHT EINES DER KRIETERIEN.
B) OFFENLEGUNG, DETAILS, GENAUIGKEIT - DETAILS WERDEN NICHT GENANNT.
C) OFFENLEGUNG, KLARHEIT, GENAUIGKEIT - DAS PASST ZU DEN KRIETERIEN.
D) OFFENLEGUNG, KLARHEIT, EFFIZIENZ - EFFIZIENZ IST NICHT EINES DER KRIETERIEN.

DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'C'}.",c
business_ethics/test/14,business_ethics,Business,Welche drei verschiedenen Arten von Stakeholder-Theorien gibt es nach Donaldson und Preston (1995)?,"Normativ, deskriptiv und wirtschaftlich","Normativ, moralisch und instrumentell","Politisch, beschreibend und instrumentell","Normativ, deskriptiv und instrumentell",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"ZUERST MUSS ICH DIE DREI ARTEN VON STAKEHOLDER-THEORIEN NACH DONALDSON UND PRESTON (1995) IDENTIFIZIEREN. DIESE THEORIEN SIND: 

1. NORMATIV: BEZIEHT SICH DARAUF, WIE STAKEHOLDER IN DER UNTERNEHMENSFÜHRUNG BEHANDELT WERDEN SOLLTEN.
2. DESKRIPTIV: BEZIEHT SICH DARAUF, WIE UNTERNEHMEN TATSÄCHLICH MIT STAKEHOLDERN INTERAGIEREN.
3. INSTRUMENTELL: BEZIEHT SICH DARAUF, WIE STAKEHOLDER-INTERAKTIONEN ZUM ERREICHEN VON UNTERNEHMENSZIELEN BEITRAGEN KÖNNEN.

DIESE DREI KATEGORIEN SIND IN DER OPTION D) NORMATIV, DESKRIPTIV UND INSTRUMENTELL ZUSAMMENGEFASST. 

DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'D'}.",d
business_ethics/test/25,business_ethics,Business,"_______ ist der Begriff, der die fortlaufende Zustimmung und Akzeptanz der Aktivitäten eines Unternehmens durch die Gesellschaft beschreibt, insbesondere durch lokale Gemeinschaften und Zivilgesellschaften.",Aufgeklärtes Selbstinteresse,Soziale Lizenz zum Handeln,Genehmigung der Gemeinschaft,Lieferketten-Verantwortung,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"ZUERST MUSS ICH DEN BEGRIFF ANALYSIEREN, DER DIE ZUSTIMMUNG UND AKZEPTANZ DER AKTIVITÄTEN EINER UNTERNEHMEN DURCH DIE GESELLSCHAFT BESCHREIBT. DIESER BEGRIFF BEZIEHT SICH AUF DIE INTERAKTION ZWISCHEN UNTERNEHMEN UND DEREN SOZIALEN UMWELT, INSBESONDERE DEN LOKALEN GEMEINSCHAFTEN.

DANN BETRACHTE ICH DIE OPTIONEN: 
A) AUFGEKLÄRTES SELBSTINTERESSE BEZIEHT SICH AUF DAS INTERESSE EINER PERSON ODER EINER ORGANISATION, DAS SICH AUF LANGFRISTIGE VORTEILE KONZENTRIERT.
B) SOZIALE LIZENZ ZUM HANDLEN BEZIEHT SICH DIREKT AUF DIE ZUSTIMMUNG DER GEMEINSCHAFT ZU DEN AKTIVITÄTEN EINER UNTERNEHMEN.
C) GENEHMIGUNG DER GEMEINSCHAFT KÖNNTE ÄHNLICH SEIN, IST ABER NICHT DER GEBRÄUCHLICHE BEGRIFF.
D) LIEFERKETTEN-VERANTWORTUNG BEZIEHT SICH AUF DIE VERANTWORTUNG VON UNTERNEHMEN FÜR IHRE LIEFERKETTEN UND NICHT DIREKT AUF DIE ZUSTIMMUNG DER GEMEINSCHAFT.

DAHER IST DIE RICHTIGE ANTWORT B) SOZIALE LIZENZ ZUM HANDLEN, DA DIES DER BEGRIFF IST, DER DIE FORTLAUFENDE ZUSTIMMUNG UND AKZEPTANZ DER AKTIVITÄTEN EINER UNTERNEHMEN DURCH DIE GESELLSCHAFT BESCHREIBT. 

{'sol': 'B'}",b
business_ethics/test/27,business_ethics,Business,"_________, wie z. B. _______ und _______ sind Prozesse, mit denen Organisationen Umweltziele, -politik und -verantwortung umsetzen und eine regelmäßige Prüfung und Berichterstattung sicherstellen, die über die Einhaltung gesetzlicher Vorschriften hinausgehen.","Umweltmanagementsysteme, SA8000, EMAS","Normen zur sozialen Verantwortung, ISO14001, SA8000","Umweltmanagementsysteme, ISO14001, EMAS","Normen zur sozialen Verantwortung, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"ZUERST MUSS ICH DIE BEGRIFFE UND KATEGORIEN ANALYSIEREN. UM WELCHE ART VON PROZESSEN GEHT ES HIER? ES WIRD VON UMWELTZIELE, -POLITIK UND -VERANTWORTUNG GESPROCHEN, WAS DARAUF HINDEUTET, DASS ES SICH UM UMWELTMANAGEMENTSYSTEME HANDELT.

DANN MUSS ICH DIE OPTIONEN ÜBERPRÜFEN. OPTION C NENNT ""UMWELTMANAGEMENTSYSTEME"", ""ISO14001"" UND ""EMAS"", WAS ALLES ZU DEN UMWELTPROZESSEN PASST. DIE ANDEREN OPTIONEN ENTHALTEN TEILWEISE BEGRIFFE, DIE NICHT DIREKT MIT UMWELTVERANTWORTUNG ZUSAMMENHÄNGEN.

SCHLIESSLICH BESTÄTIGE ICH, DASS OPTION C DIE RICHTIGE ANTWORT IST, DA SIE ALLE DREI ELEMENTE ENTHÄLT, DIE FÜR UMWELTVERANTWORTUNG RELEVANT SIND. DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'C'}.",c
business_ethics/test/44,business_ethics,Business,"________ ist die Verwendung von Sprache, um die ethische Natur von Entscheidungen, Handlungen und Verhaltensweisen zu verschleiern oder zu entlarven.",Ethisches Spleißen,Moralisches Framing,Ethische Augenwischerei,Moralisches Spleißen,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"ZUERST MUSS ICH DIE BEDEUTUNG DER BEGRIFFE ANALYSIEREN. ""ETHISCHES SPLEIßEN"" UND ""MORALISCHES SPLEIßEN"" BEZIEHEN SICH NICHT DIREKT AUF DIE VERSCHLEIERUNG ODER ENTLARVUNG DER ETHISCHEN NATUR VON ENTSCHEIDUNGEN. ""MORALISCHES FRAMING"" KÖNNTE IN DIESE RICHTUNG GEHEN, ABER ES BEZIEHT SICH MEISTENS AUF DIE ART UND WEISE, WIE INFORMATIONEN PRÄSENTIERT WERDEN, NICHT UNBEDINGT AUF DIE VERSCHLEIERUNG. ""ETHISCHE AUGENWISCHEREI"" BEZIEHT SICH DIREKT AUF DAS VERSUCHEN, ETHISCHE FRAGEN ZU VERWIRREN ODER ZU VERDECKEN.

DIE RICHTIGE ANTWORT IST ALSO ""ETHISCHE AUGENWISCHEREI"", DA ES AM BESTEN ZU DER BESCHREIBUNG PASST, DIE DIE VERSCHLEIERUNG ODER ENTLARVUNG DER ETHISCHEN NATUR VON ENTSCHEIDUNGEN BEZEICHNET.

DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'C'}.",c
business_ethics/test/52,business_ethics,Business,"Der Zustand, in dem man nicht in der Lage ist, eine informierte, begründete Entscheidung über den Kauf eines Produkts zu treffen, ist bekannt als?",Einbeziehung der Verbraucher,Verbraucherkompetenz,Ausschluss der Verbraucher,Anfälligkeit der Verbraucher,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"ZUERST MUSS ICH DIE BEDEUTUNG DER BEGRIFFE ANALYSIEREN. ""EINBEZIEHUNG DER VERBRAUCHER"" BEZIEHT SICH DARAUF, WIE VERBRAUCHER IN ENTSCHEIDUNGSPROZESSE EINBEZOGEN WERDEN. ""VERBRAUCHERKOMPETENZ"" BEDEUTET, DASS VERBRAUCHER IN DER LAGE SIND, INFORMIERTE ENTSCHEIDUNGEN ZU TREFFEN. ""AUSSCHLUSS DER VERBRAUCHER"" KÖNNTE DARAUF HINDEUTEN, DASS VERBRAUCHER VON ENTSCHEIDUNGEN AUSGESCHLOSSEN WERDEN. ""ANFÄLLIGKEIT DER VERBRAUCHER"" BEZIEHT SICH DARAUF, DASS VERBRAUCHER LEICHT ZU MANIPULIEREN SIND UND MÖGLICHERWEISE NICHT IN DER LAGE SIND, INFORMIERTE ENTSCHEIDUNGEN ZU TREFFEN.

DIE FRAGE BEZIEHT SICH AUF DEN ZUSTAND, IN DEM MAN NICHT IN DER LAGE IST, INFORMIERTE ENTSCHEIDUNGEN ZU TREFFEN. DAS PASST AM BESTEN ZU ""ANFÄLLIGKEIT DER VERBRAUCHER"", DA ES DARAUF HINDEUTET, DASS VERBRAUCHER MÖGLICHERWEISE NICHT DIE NOTWENDIGEN INFORMATIONEN HABEN, UM GUTE ENTSCHEIDUNGEN ZU TREFFEN.

DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'D'}.",d
business_ethics/test/54,business_ethics,Business,"_______ und _______ sind beides Beispiele für _______ -basierte Theorien, die auf grundlegenden universellen Prinzipien von Recht und Unrecht beruhen.","Ethik der Pflicht, Ethik der Rechte und Gerechtigkeit, Prinzip","Utilitarismus, Egoismus, Prinzip","Pflichtethik, Utilitarismus, Konsequentialismus","Egoismus, Ethik der Rechte und Gerechtigkeit, Konsequentialismus",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"ZUERST MUSS ICH DIE BEGRIFFE UND THEORIEN ANALYSIEREN. DIE ETHIK DER PFLICHT UND DIE ETHIK DER RECHTE UND GERECHTIGKEIT SIND BEISPIELE FÜR DEONTOLOGISCHE THEORIEN, DIE AUF GRUNDLAGEN VON RECHT UND UNRECHT BASIEREN. UTILITARISMUS UND EGOISMUS SIND DAGEGEN KONSEQUENTIALISTISCHE THEORIEN, DIE DIE FOLGEN VON HANDLUNGEN BETRACHTEN.

DANN MUSS ICH DIE OPTIONEN ÜBERPRÜFEN:
A) ETHIK DER PFLICHT, ETHIK DER RECHTE UND GERECHTIGKEIT, PRINZIP - DAS PASST ZU DEONTOLOGISCHEN THEORIEN.
B) UTILITARISMUS, EGOISMUS, PRINZIP - DAS PASST ZU KONSEQUENTIALISTISCHEN THEORIEN.
C) PFLICHTETHIK, UTILITARISMUS, KONSEQUENTIALISMUS - DAS MISCHT DEONTOLOGIE UND KONSEQUENTIALISMUS.
D) EGOISMUS, ETHIK DER RECHTE UND GERECHTIGKEIT, KONSEQUENTIALISMUS - DAS MISCHT WIEDER DEONTOLOGIE UND KONSEQUENTIALISMUS.

DIE RICHTIGE ANTWORT MUSS ZWEI DEONTOLOGISCHE THEORIEN ENTHALTEN, WAS OPTION A) BESTÄTIGT.

DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'A'}.",a
business_ethics/test/57,business_ethics,Business,_________ wie die ________ in den Vereinigten Staaten ist ein Hauptfaktor für die Förderung ethischer Geschäftspraktiken.,"Gesetzgebung, Sarbanes-Oxley Act","Interne Unternehmensrichtlinien, Gesetz gegen unethische Geschäftspraktiken","Interne Unternehmensrichtlinien, Sarbanes-Oxley Act","Gesetzgebung, Gesetz gegen unlautere Geschäftspraktiken",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"ZUERST MUSS ICH DIE BEDEUTUNG DER BEGRIFFE IN DEN OPTIONEN ANALYSIEREN. DER SARBANES-OXLEY ACT IST EIN WICHTIGES GESETZ IN DEN VEREINIGTEN STAATEN, DAS DIE TRANSPARENZ UND ETHIK IN UNTERNEHMEN FÖRDERN SOLL. INTERNE UNTERNEHMENSRICHTLINIEN SIND REGELN, DIE EIN UNTERNEHMEN FÜR SEINE MITARBEITER FESTLEGT, UM ETHISCHES VERHALTEN ZU FÖRDERN.

DANN MUSS ICH DIE KOMBINATIONEN IN DEN OPTIONEN BEWERTEN. OPTION A VERBINDET DIE BEGRIFFE ""GESETZGEBUNG"" UND ""SARBANES-OXLEY ACT"", WAS SINNVOLL IST, DA DER SARBANES-OXLEY ACT EIN TEIL DER GESETZGEBUNG IST, DIE ETHISCHE PRAKTIKEN FÖRDERT. OPTION B SPRICHT VON ""INTERNEN UNTERNEHMENSRICHTLINIEN"" UND EINEM ""GESETZ GEGEN UNETHISCHE GESCHÄFTSPRAKTIKEN"", WAS WENIGER KONKRET IST. OPTION C VERBINDET ""INTERNEN UNTERNEHMENSRICHTLINIEN"" MIT DEM ""SARBANES-OXLEY ACT"", WAS EINE GUTE KOMBINATION IST, ABER NICHT SO STARK WIE OPTION A. OPTION D SPRICHT VON ""GESETZGEBUNG"" UND EINEM ""GESETZ GEGEN UNLAUTERE GESCHÄFTSPRAKTIKEN"", WAS WENIGER RELEVANT IST.

SCHLIESSLICH IST DIE BESTE ANTWORT OPTION A, DA DER SARBANES-OXLEY ACT EIN WICHTIGER TEIL DER GESETZGEBUNG IST, DER ETHISCHE GESCHÄFTSPRAKTIKEN FÖRDERT. DAHER IST DIE RICHTIGE ANTWORT {'SOL': 'A'}.",a
