sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,"Wenn Sie von den Vereinigten Staaten nach Norden in Richtung Kanada reisen, sehen Sie, wie der Polarstern (Polaris) _______ aussieht:",heller,dunkler,höher am Himmel,tiefer am Himmel,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Zuerst🙂muss🙂ich🙂verstehen,🙂wo🙂sich🙂der🙂Polarstern🙂im🙂Himmel🙂befindet.🙂Der🙂Polarstern🙂liegt🙂nahe🙂dem🙂nördlichen🙂Himmelspol,🙂was🙂bedeutet,🙂dass🙂er🙂in🙂nördlichen🙂Breiten🙂höher🙂am🙂Himmel🙂steht.🙂Wenn🙂man🙂von🙂den🙂Vereinigten🙂Staaten🙂nach🙂Kanada🙂reist,🙂bewegt🙂man🙂sich🙂in🙂Richtung🙂höherer🙂Breiten. 

Zweitens🙂ist🙂es🙂wichtig,🙂zu🙂beachten,🙂dass🙂der🙂Polarstern🙂in🙂nördlichen🙂Breiten🙂tatsächlich🙂höher🙂am🙂Himmel🙂erscheint.🙂Das🙂bedeutet,🙂dass🙂er🙂nicht🙂dunkler🙂oder🙂heller🙂erscheint,🙂sondern🙂einfach🙂in🙂der🙂Höhe🙂variiert. 

Drittens🙂kann🙂ich🙂jetzt🙂die🙂Antwort🙂auswählen.🙂Da🙂der🙂Polarstern🙂bei🙂der🙂Reise🙂nach🙂Kanada🙂höher🙂am🙂Himmel🙂erscheint,🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'c'}.",c
astronomy/test/107,astronomy,STEM,Was würde auf dem Mond am meisten wiegen?,Ein Kilogramm Federn,"Fünf Pfund Ziegelsteine, gemessen auf der Erde",Fünf Kilogramm Federn,Ein Kilogramm Ziegelsteine,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Zuerst🙂muss🙂ich🙂die🙂Gewichte🙂der🙂Objekte🙂auf🙂dem🙂Mond🙂berücksichtigen.🙂Auf🙂dem🙂Mond🙂wiegt🙂alles🙂ungefähr🙂ein🙂sechstel🙂dessen,🙂was🙂es🙂auf🙂der🙂Erde🙂wiegt.🙂Das🙂bedeutet,🙂dass🙂ich🙂die🙂Gewichte🙂der🙂Objekte🙂auf🙂der🙂Erde🙂durch🙂6🙂teilen🙂muss,🙂um🙂die🙂Gewichte🙂auf🙂dem🙂Mond🙂zu🙂erhalten.

a)🙂Ein🙂Kilogramm🙂Federn🙂wiegt🙂auf🙂dem🙂Mond🙂ungefähr🙂1/6🙂Kilogramm.  
b)🙂Fünf🙂Pfund🙂Ziegelsteine🙂sind🙂ungefähr🙂2,27🙂Kilogramm,🙂was🙂auf🙂dem🙂Mond🙂ungefähr🙂2,27/6🙂=🙂0,38🙂Kilogramm🙂wiegt.  
c)🙂Fünf🙂Kilogramm🙂Federn🙂wiegen🙂auf🙂dem🙂Mond🙂ungefähr🙂5/6🙂Kilogramm.  
d)🙂Ein🙂Kilogramm🙂Ziegelsteine🙂wiegt🙂auf🙂dem🙂Mond🙂ungefähr🙂1/6🙂Kilogramm.  

Jetzt🙂vergleiche🙂ich🙂die🙂Gewichte🙂auf🙂dem🙂Mond:  
- a) 0,17 kg  
- b) 0,38 kg  
- c) 0,83 kg  
- d) 0,17 kg  

Das🙂schwerste🙂Objekt🙂auf🙂dem🙂Mond🙂ist🙂also🙂c)🙂Fünf🙂Kilogramm🙂Federn,🙂da🙂es🙂das🙂höchste🙂Gewicht🙂von🙂0,83🙂Kilogramm🙂hat.🙂Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'c'}.",c
business_ethics/test/10,business_ethics,Business,"Welches sind laut Schnackenberg und Tomlinson (2014) die drei Kriterien, die zur Bewertung der Qualität der Unternehmenstransparenz herangezogen werden können?","Breite, Klarheit, Genauigkeit","Offenlegung, Details, Genauigkeit","Offenlegung, Klarheit, Genauigkeit","Offenlegung, Klarheit, Effizienz",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Zuerst🙂muss🙂ich🙂die🙂Kriterien🙂überprüfen,🙂die🙂Schnackenberg🙂und🙂Tomlinson🙂(2014)🙂nennen.🙂Ich🙂weiß,🙂dass🙂Unternehmenstransparenz🙂in🙂der🙂Regel🙂auf🙂Offenlegung,🙂Klarheit🙂und🙂Genauigkeit🙂abzielt.🙂Das🙂bedeutet,🙂dass🙂die🙂Informationen🙂offen🙂gelegt🙂werden🙂sollten,🙂klar🙂und🙂verständlich🙂präsentiert🙂werden🙂müssen,🙂und🙂dass🙂sie🙂genau🙂und🙂verlässlich🙂sein🙂sollten. 

Nun🙂vergleiche🙂ich🙂die🙂Antwortmöglichkeiten: 
a) Breite, Klarheit, Genauigkeit - Breite ist nicht relevant.
b) Offenlegung, Details, Genauigkeit - Details sind nicht das Hauptkriterium.
c) Offenlegung, Klarheit, Genauigkeit - Diese Kriterien passen gut.
d) Offenlegung, Klarheit, Effizienz - Effizienz ist nicht relevant.

Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'c'}.",c
business_ethics/test/14,business_ethics,Business,Welche drei verschiedenen Arten von Stakeholder-Theorien gibt es nach Donaldson und Preston (1995)?,"Normativ, deskriptiv und wirtschaftlich","Normativ, moralisch und instrumentell","Politisch, beschreibend und instrumentell","Normativ, deskriptiv und instrumentell",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"Zuerst🙂muss🙂ich🙂die🙂drei🙂Arten🙂von🙂Stakeholder-Theorien🙂nach🙂Donaldson🙂und🙂Preston🙂(1995)🙂identifizieren.🙂Die🙂erste🙂Art🙂ist🙂die🙂normative🙂Theorie,🙂die🙂sich🙂mit🙂den🙂Werten🙂und🙂Prinzipien🙂beschäftigt,🙂die🙂das🙂Verhalten🙂von🙂Unternehmen🙂leiten.🙂Die🙂zweite🙂Art🙂ist🙂die🙂deskriptive🙂Theorie,🙂die🙂beschreibt,🙂wie🙂Unternehmen🙂tatsächlich🙂mit🙂Stakeholdern🙂interagieren.🙂Die🙂dritte🙂Art🙂ist🙂die🙂instrumentelle🙂Theorie,🙂die🙂darstellt,🙂wie🙂Unternehmen🙂Stakeholder-Interessen🙂nutzen🙂können,🙂um🙂ihre🙂Ziele🙂zu🙂erreichen.

Zusammengefasst🙂sind🙂die🙂drei🙂Arten🙂von🙂Stakeholder-Theorien:🙂normativ,🙂deskriptiv🙂und🙂instrumentell.🙂Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'd'}.",d
business_ethics/test/25,business_ethics,Business,"_______ ist der Begriff, der die fortlaufende Zustimmung und Akzeptanz der Aktivitäten eines Unternehmens durch die Gesellschaft beschreibt, insbesondere durch lokale Gemeinschaften und Zivilgesellschaften.",Aufgeklärtes Selbstinteresse,Soziale Lizenz zum Handeln,Genehmigung der Gemeinschaft,Lieferketten-Verantwortung,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"Zuerst🙂muss🙂ich🙂den🙂Begriff🙂analysieren,🙂der🙂die🙂fortlaufende🙂Zustimmung🙂und🙂Akzeptanz🙂der🙂Aktivitäten🙂eines🙂Unternehmens🙂durch🙂die🙂Gesellschaft🙂beschreibt.🙂Das🙂bezieht🙂sich🙂insbesondere🙂auf🙂lokale🙂Gemeinschaften🙂und🙂Zivilgesellschaften. 

Der🙂Begriff🙂„soziale🙂Lizenz🙂zum🙂Handeln“🙂bezieht🙂sich🙂genau🙂auf🙂diese🙂Akzeptanz,🙂die🙂Unternehmen🙂von🙂der🙂Gesellschaft🙂erhalten,🙂um🙂ihre🙂Aktivitäten🙂auszuführen. 

Die🙂anderen🙂Optionen🙂wie🙂„aufgeklärtes🙂Selbstinteresse“,🙂„Genehmigung🙂der🙂Gemeinschaft“🙂und🙂„Lieferketten-Verantwortung“🙂sind🙂nicht🙂so🙂spezifisch🙂für🙂die🙂fortlaufende🙂Zustimmung🙂und🙂Akzeptanz. 

Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'b'}.",b
business_ethics/test/27,business_ethics,Business,"_________, wie z. B. _______ und _______ sind Prozesse, mit denen Organisationen Umweltziele, -politik und -verantwortung umsetzen und eine regelmäßige Prüfung und Berichterstattung sicherstellen, die über die Einhaltung gesetzlicher Vorschriften hinausgehen.","Umweltmanagementsysteme, SA8000, EMAS","Normen zur sozialen Verantwortung, ISO14001, SA8000","Umweltmanagementsysteme, ISO14001, EMAS","Normen zur sozialen Verantwortung, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"Zuerst🙂muss🙂ich🙂die🙂richtigen🙂Begriffe🙂für🙂die🙂Lücken🙂finden.🙂Die🙂Frage🙂bezieht🙂sich🙂auf🙂Prozesse,🙂die🙂Organisationen🙂bei🙂der🙂Umsetzung🙂von🙂Umweltzielen🙂unterstützen.🙂Umweltmanagementsysteme🙂sind🙂ein🙂wichtiger🙂Aspekt🙂in🙂diesem🙂Zusammenhang. 

Als🙂nächstes🙂muss🙂ich🙂die🙂Optionen🙂überprüfen.🙂Option🙂c)🙂nennt🙂""Umweltmanagementsysteme"",🙂""ISO14001""🙂und🙂""EMAS"",🙂was🙂alles🙂mit🙂Umweltmanagement🙂zu🙂tun🙂hat.🙂ISO14001🙂ist🙂eine🙂internationale🙂Norm🙂für🙂Umweltmanagementsysteme,🙂und🙂EMAS🙂ist🙂ein🙂europäisches🙂System🙂für🙂das🙂Management🙂und🙂die🙂Berichterstattung🙂über🙂Umweltauswirkungen.

Schließlich🙂stelle🙂ich🙂fest,🙂dass🙂Option🙂c)🙂die🙂korrekten🙂Begriffe🙂enthält,🙂die🙂in🙂den🙂Lücken🙂eingesetzt🙂werden🙂können.🙂Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'c'}.",c
business_ethics/test/44,business_ethics,Business,"________ ist die Verwendung von Sprache, um die ethische Natur von Entscheidungen, Handlungen und Verhaltensweisen zu verschleiern oder zu entlarven.",Ethisches Spleißen,Moralisches Framing,Ethische Augenwischerei,Moralisches Spleißen,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"Zuerst🙂muss🙂ich🙂die🙂Bedeutung🙂der🙂Begriffe🙂überprüfen.🙂„Ethisches🙂Spleißen“🙂und🙂„Moralisches🙂Spleißen“🙂scheinen🙂nicht🙂die🙂richtigen🙂Begriffe🙂zu🙂sein,🙂da🙂sie🙂nicht🙂direkt🙂mit🙂der🙂Verschleierung🙂oder🙂Entlarvung🙂von🙂ethischen🙂Entscheidungen🙂verbunden🙂sind. 

Dann🙂betrachte🙂ich🙂„Moralisches🙂Framing“.🙂Das🙂bezieht🙂sich🙂auf🙂die🙂Art,🙂wie🙂Informationen🙂präsentiert🙂werden,🙂um🙂eine🙂bestimmte🙂moralische🙂Perspektive🙂zu🙂fördern,🙂aber🙂es🙂geht🙂nicht🙂direkt🙂um🙂Verschleierung. 

Schließlich🙂bleibt🙂„Ethische🙂Augenwischerei“.🙂Das🙂bezieht🙂sich🙂darauf,🙂wie🙂Sprache🙂verwendet🙂wird,🙂um🙂ethische🙂Fragen🙂zu🙂verzerren🙂oder🙂zu🙂verwirren,🙂was🙂genau🙂das🙂beschreibt,🙂was🙂in🙂der🙂Frage🙂gesucht🙂wird. 

Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'c'}.",c
business_ethics/test/52,business_ethics,Business,"Der Zustand, in dem man nicht in der Lage ist, eine informierte, begründete Entscheidung über den Kauf eines Produkts zu treffen, ist bekannt als?",Einbeziehung der Verbraucher,Verbraucherkompetenz,Ausschluss der Verbraucher,Anfälligkeit der Verbraucher,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Zuerst🙂muss🙂ich🙂die🙂Bedeutung🙂der🙂Begriffe🙂überprüfen.🙂„Einbeziehung🙂der🙂Verbraucher“🙂bezieht🙂sich🙂auf🙂die🙂Aktivitäten,🙂die🙂Verbraucher🙂in🙂Entscheidungsprozesse🙂einbeziehen.🙂„Verbraucherkompetenz“🙂bedeutet,🙂dass🙂Verbraucher🙂in🙂der🙂Lage🙂sind,🙂informierte🙂Entscheidungen🙂zu🙂treffen.🙂„Ausschluss🙂der🙂Verbraucher“🙂klingt🙂nach🙂einer🙂Situation,🙂in🙂der🙂Verbraucher🙂nicht🙂einbezogen🙂sind,🙂aber🙂nicht🙂unbedingt🙂auf🙂Entscheidungsunfähigkeit🙂hinweist.🙂„Anfälligkeit🙂der🙂Verbraucher“🙂bezieht🙂sich🙂auf🙂die🙂Verwundbarkeit🙂von🙂Verbrauchern,🙂was🙂zu🙂schlechten🙂Entscheidungen🙂führen🙂kann.

Jetzt🙂muss🙂ich🙂die🙂Frage🙂beantworten.🙂Der Zustand,🙂in🙂dem🙂man🙂nicht🙂in🙂der🙂Lage🙂ist,🙂eine🙂informierte,🙂begründete🙂Entscheidung🙂zu🙂treffen,🙂passt🙂am🙂besten🙂zu🙂„Anfälligkeit🙂der🙂Verbraucher“.🙂Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'd'}.",d
business_ethics/test/54,business_ethics,Business,"_______ und _______ sind beides Beispiele für _______ -basierte Theorien, die auf grundlegenden universellen Prinzipien von Recht und Unrecht beruhen.","Ethik der Pflicht, Ethik der Rechte und Gerechtigkeit, Prinzip","Utilitarismus, Egoismus, Prinzip","Pflichtethik, Utilitarismus, Konsequentialismus","Egoismus, Ethik der Rechte und Gerechtigkeit, Konsequentialismus",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"Zuerst🙂muss🙂ich🙂die🙂gegebenen🙂Antwortmöglichkeiten🙂analysieren.🙂Die🙂Frage🙂bezieht🙂sich🙂auf🙂Theorien,🙂die🙂auf🙂universellen🙂Prinzipien🙂von🙂Recht🙂und🙂Unrecht🙂basieren.🙂Ich🙂muss🙂herausfinden,🙂welche🙂Kombination🙂von🙂Theorien🙂diese🙂Bedingungen🙂erfüllt.

In🙂Option🙂a)🙂sind🙂„Ethik🙂der🙂Pflicht“🙂und🙂„Ethik🙂der🙂Rechte🙂und🙂Gerechtigkeit“🙂beides🙂deontologische🙂Theorien,🙂die🙂auf🙂Prinzipien🙂von🙂Recht🙂und🙂Unrecht🙂basieren.🙂Das🙂passt🙂gut🙂zu🙂der🙂Frage.

In🙂Option🙂b)🙂sind🙂„Utilitarismus“🙂und🙂„Egoismus“🙂beides🙂konsequentialistische🙂Theorien,🙂die🙂nicht🙂auf🙂universellen🙂Prinzipien🙂von🙂Recht🙂und🙂Unrecht🙂basieren.🙂Das🙂passt🙂nicht.

In🙂Option🙂c)🙂sind🙂„Pflichtethik“🙂und🙂„Utilitarismus“🙂nicht🙂kompatibel,🙂da🙂Utilitarismus🙂eine🙂konsequentialistische🙂Theorie🙂ist.🙂Das🙂passt🙂nicht.

In🙂Option🙂d)🙂sind🙂„Egoismus“🙂und🙂„Ethik🙂der🙂Rechte“🙂nicht🙂kompatibel,🙂da🙂Egoismus🙂nicht🙂auf🙂universellen🙂Prinzipien🙂beruht.🙂Das🙂passt🙂nicht.

Daher🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'a'}.",a
business_ethics/test/57,business_ethics,Business,_________ wie die ________ in den Vereinigten Staaten ist ein Hauptfaktor für die Förderung ethischer Geschäftspraktiken.,"Gesetzgebung, Sarbanes-Oxley Act","Interne Unternehmensrichtlinien, Gesetz gegen unethische Geschäftspraktiken","Interne Unternehmensrichtlinien, Sarbanes-Oxley Act","Gesetzgebung, Gesetz gegen unlautere Geschäftspraktiken",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Zuerst🙂muss🙂ich🙂die🙂Bedeutung🙂der🙂beiden🙂Lücken🙂analysieren.🙂Die🙂erste🙂Lücke🙂bezieht🙂sich🙂auf🙂etwas,🙂das🙂mit🙂Gesetzgebung🙂oder🙂Regelungen🙂zu🙂tun🙂hat,🙂während🙂die🙂zweite🙂Lücke🙂eine🙂spezifische🙂Regelung🙂oder🙂Gesetz🙂benennen🙂soll. 

Für🙂die🙂erste🙂Lücke🙂scheinen🙂„Gesetzgebung“🙂und🙂„Interne🙂Unternehmensrichtlinien“🙂möglich,🙂aber🙂„Gesetzgebung“🙂passt🙂besser,🙂da🙂es🙂sich🙂um🙂eine🙂allgemeine🙂Regelung🙂handelt.🙂Für🙂die🙂zweite🙂Lücke🙂ist🙂„Sarbanes-Oxley Act“🙂eine🙂spezifische🙂Gesetzgebung,🙂die🙂in🙂den🙂Vereinigten🙂Staaten🙂verabschiedet🙂wurde,🙂um🙂ethische🙂Geschäftspraktiken🙂zu🙂fördern.

Daher🙂ist🙂die🙂beste🙂Kombination🙂„Gesetzgebung“🙂und🙂„Sarbanes-Oxley Act“.🙂Somit🙂ist🙂die🙂richtige🙂Antwort🙂{'sol':🙂'c'}.",c
