sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,"Lorsque vous voyagez vers le nord depuis les États-Unis vers le Canada, vous pouvez voir l’étoile polaire (Polaris) devenir _________.",plus brillante,moins brillante,plus haute dans le ciel,plus basse dans le ciel,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Pour répondre à cette question, je vais réfléchir étape par étape.

1. **Comprendre la position de Polaris** : L'étoile polaire, ou Polaris, est située presque directement au-dessus du pôle Nord. Sa position dans le ciel change en fonction de la latitude de l'observateur.

2. **Analyser le voyage vers le nord** : Lorsque vous voyagez vers le nord, vous vous rapprochez du pôle Nord. En conséquence, Polaris apparaîtra plus haute dans le ciel à mesure que vous vous déplacez vers le nord.

3. **Conclusion** : Étant donné que vous vous déplacez vers le nord et que Polaris est une étoile qui indique le nord, elle deviendra effectivement plus haute dans le ciel.

Ainsi, la bonne réponse est {'sol': 'c'}.",c
astronomy/test/107,astronomy,STEM,Qu'est-ce qui pèserait le plus lourd sur la Lune ?,Un kilo de plumes,Cinq livres de briques mesurées sur Terre,Cinq kilos de plumes,Un kilo de briques,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Pour déterminer ce qui pèserait le plus lourd sur la Lune, je vais examiner chaque option en tenant compte que le poids est influencé par la gravité, qui est environ 1/6 de celle de la Terre sur la Lune.

1. **Un kilo de plumes** : Sur la Lune, cela pèsera toujours 1 kg, car",
business_ethics/test/10,business_ethics,Business," Quels sont, selon Schnackenberg et Tomlinson (2014), les trois critères permettant d’évaluer la qualité de la transparence des entreprises ?","Ampleur, clarté, précision","Divulgation, détails, exactitude","Divulgation, clarté, exactitude","Divulgation, clarté, efficacité",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Pour répondre à cette question, je vais d'abord examiner les critères mentionnés par Schnackenberg et Tomlinson (2014) concernant la transparence des entreprises.

1. **Critère de divulgation** : Cela fait référence à la quantité et à la qualité des informations que l'entreprise choisit de partager avec ses parties prenantes. Une bonne transparence nécessite une divulgation adéquate.

2. **Critère de clarté** : Cela concerne la manière dont les informations sont présentées. Les informations doivent être compréhensibles et accessibles pour que les parties prenantes puissent les interpréter correctement.

3. **Critère d'exactitude** : Cela implique que les informations fournies doivent être correctes et fiables. L'exactitude est essentielle pour établir la confiance entre l'entreprise et ses parties prenantes.

En examinant les choix proposés, le choix qui inclut ces trois critères est :

c) Divulgation, clarté, exactitude.

Ainsi, la bonne réponse est {'sol': 'c'}.",c
business_ethics/test/14,business_ethics,Business,"Selon Donaldson et Preston (1995), quels sont les trois différents types de théorie des parties prenantes ?","Normatif, descriptif et économique","Normatif, moral et instrumental","Politique, descriptif et instrumental","Normatif, descriptif et instrumental",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"Pour répondre à cette question, je vais d'abord examiner les types de théories des parties prenantes selon Donaldson et Preston (1995).

1. **Théorie normative** : Cette théorie se concentre sur ce que les entreprises devraient faire en matière de responsabilité envers les parties prenantes. Elle aborde les valeurs éthiques et les normes qui devraient guider le comportement des entreprises.

2. **Théorie descriptive** : Cette théorie décrit comment les entreprises interagissent réellement avec leurs parties prenantes. Elle se concentre sur les faits et les comportements observables dans les relations entre les entreprises et leurs parties prenantes.

3. **Théorie instrumentale** : Cette théorie examine comment les relations avec les parties prenantes peuvent être utilisées pour atteindre des objectifs stratégiques. Elle se concentre sur les moyens par lesquels la gestion des parties prenantes peut contribuer à la performance de l'entreprise.

En résumé, les trois types de théorie des parties prenantes selon Donaldson et Preston sont normatif, descriptif et instrumental.

Ainsi, la bonne réponse est {'sol': 'd'}.",d
business_ethics/test/25,business_ethics,Business,"Le _______ est le terme employé pour décrire l'autorisation et l'acceptation continues des activités d'une entreprise par la société, spécialement parmi les communautés locales et la société civile.",Défense éclairée de ses propres intérêts,Licence sociale d’exploitation,Approbation de la communauté,Responsabilité de la chaîne d'approvisionnement,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"Pour répondre à cette question, je vais analyser chaque option :

1. **Défense éclairée de ses propres intérêts** : Ce terme ne correspond pas à l'idée d'acceptation par la société ou les communautés locales. Il s'agit plutôt d'une stratégie de communication ou de lobbying.

2. **Licence sociale d’exploitation** : Ce terme fait référence à l'acceptation et à l'autorisation implicite d'une entreprise par la communauté locale pour mener ses activités. Cela correspond bien à la définition donnée dans la question.

3. **Approbation de la communauté** : Bien que cela semble pertinent, ce terme est moins spécifique que ""licence sociale d’exploitation"" et ne capture pas l'idée d'une acceptation continue.

4. **Responsabilité de la chaîne d'approvisionnement** : Ce terme se réfère à la gestion des impacts sociaux et environnementaux dans la chaîne d'approvisionnement, mais ne décrit pas l'acceptation par la société.

En conclusion, la réponse qui correspond le mieux à la définition donnée est ""licence sociale d’exploitation"". 

Ainsi, la bonne réponse est {'sol': 'b'}.",b
business_ethics/test/27,business_ethics,Business,"Les _________, comme _______ et _______, sont des processus par lesquels les organisations mettent en œuvre des objectifs, des politiques et des responsabilités environnementales et garantissent des audits et rapports réguliers qui vont au-delà de la conformité juridique.","Systèmes de gestion de l’environnement, SA8000, EMAS","Normes en matière de responsabilité sociale, ISO14001, SA8000","Systèmes de gestion de l’environnement, ISO14001, EMAS","Normes en matière de responsabilité sociale, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"Pour répondre à cette question, je vais analyser chaque option en fonction des termes et concepts mentionnés.

1. **Analyse des choix** :
   - a) ""Systèmes de gestion de l’environnement, SA8000, EMAS"" : SA8000 est une norme de responsabilité sociale, pas spécifiquement environnementale.
   - b) ""Normes en matière de responsabilité sociale, ISO14001, SA8000"" : ISO14001 est une norme de gestion environnementale, mais SA8000 est également une norme de responsabilité sociale.
   - c) ""Systèmes de gestion de l’environnement, ISO14001, EMAS"" : ISO14001 et EMAS sont tous deux des systèmes de gestion environnementale.
   - d) ""Normes en matière de responsabilité sociale, EMAS, SA8000"" : EMAS est un système de gestion environnementale, pas une norme de responsabilité sociale.

2. **Identification des termes appropriés** :
   - Les ""systèmes de gestion de l’environnement"" sont des processus qui incluent ISO14001 et EMAS, qui sont tous deux des normes environnementales.
   - SA8000 est une norme de responsabilité sociale, mais ne s'applique pas directement à la gestion environnementale.

3. **Conclusion** :
   - La réponse qui correspond le mieux à la description donnée dans la question est la c) ""Syst",
business_ethics/test/44,business_ethics,Business,"Le ________ est l'utilisation d'un langage pour masquer ou exposer la nature éthique des décisions, actions et comportements.",Épissage éthique,Cadrage moral,Embellissement de la vitrine éthique,Épissage moral,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"Pour répondre à cette question, je vais analyser chaque option :

1. **Épissage éthique** : Ce terme ne semble pas correspondre à l'idée de masquer ou exposer des décisions éthiques. Il est plus souvent utilisé dans un contexte différent, comme en biologie ou en communication.

2. **Cadrage moral** : Ce terme fait référence à la manière dont une situation est présentée ou interprétée, ce qui peut effectivement influencer la perception éthique des décisions. Cela pourrait correspondre à l'idée de masquer ou exposer des aspects éthiques.

3. **Embellissement de la vitrine éthique** : Cette expression pourrait suggérer une présentation trompeuse des valeurs éthiques, mais elle ne semble pas être un terme standard dans le domaine de l'éthique.

4. **Épissage moral** : Comme pour l'épissage éthique, ce terme ne semble pas être utilisé dans le contexte de la prise de décision éthique.

En considérant ces analyses, la réponse qui correspond le mieux à l'idée d'utiliser un langage pour masquer ou exposer la nature éthique des décisions est **cadrage moral**.

Ainsi, la bonne réponse est {'sol': 'b'}.",b
business_ethics/test/52,business_ethics,Business,L’état d’incapacité de prendre une décision éclairée et motivée concernant l’achat d’un produit est appelé ?,Inclusion des consommateurs,Compétence du consommateur,Exclusion des consommateurs,Vulnérabilité du consommateur,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Pour répondre à cette question, je vais analyser chaque option :

1. **Inclusion des consommateurs** : Cela fait référence à l'idée d'intégrer les consommateurs dans le processus de décision, ce qui ne correspond pas à l'incapacité de prendre une décision éclairée.

2. **Compétence du consommateur** : Cela désigne la capacité d'un consommateur à faire des choix éclairés. Si un consommateur est incapable de prendre une décision, cela signifie qu'il manque de compétence.

3. **Exclusion des consommateurs** : Cela se réfère à la situation où les consommateurs sont exclus du marché ou d'un processus, ce qui ne correspond pas à l'incapacité de prendre une décision.

4. **Vulnérabilité du consommateur** : Cela décrit une situation où les consommateurs sont dans une position faible ou désavantagée, ce qui peut les empêcher de prendre des décisions éclairées.

En considérant ces définitions, l'état d'incapacité de prendre une décision éclairée et motivée concernant l'achat d'un produit est le plus étroitement lié à la **vulnérabilité du consommateur**.

Ainsi, la bonne réponse est {'sol': 'd'}.",d
business_ethics/test/54,business_ethics,Business,_______ et _______ sont des exemples de théories basées sur _______ qui reposent sur les principes fondamentaux universels du bien et du mal.,"Éthique de la responsabilité, éthique des droits et de la justice, principe","Utilitarisme, égoïsme, principe","Éthique de la responsabilité, utilitarisme, conséquentialiste","Égoïsme, éthique des droits et de la justice, conséquentialiste",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"Pour répondre à cette question, je vais analyser chaque option étape par étape.

1. **Analyser les choix** :
   - a) Éthique de la responsabilité, éthique des droits et de la justice, principe
   - b) Utilitarisme, égoïsme, principe
   - c) Éthique de la responsabilité, utilitarisme, conséquentialiste
   - d) Égoïsme, éthique des droits et de la justice, conséquentialiste

2. **Comprendre les concepts** :
   - L'éthique de la responsabilité se concentre sur les conséquences des actions et la responsabilité individuelle.
   - L'éthique des droits et de la justice se concentre sur les droits individuels et l'équité.
   - L'utilitarisme est une théorie qui cherche à maximiser le bien-être général.
   - L'égoïsme se concentre sur l'intérêt personnel.
   - Le terme ""conséquentialiste"" fait référence à des théories qui jugent les actions par leurs conséquences.

3. **Évaluer les options** :
   - L'option a) mentionne deux théories (éthique de la responsabilité et éthique des droits) qui reposent sur des principes universels, mais le terme ""principe"" est trop vague.
   - L'option b) inclut l'égoïsme, qui ne repose pas sur des principes universels du bien et du mal.
   - L'option c) combine l'éthique de la responsabilité et l'utilitarisme, qui sont toutes deux des théories conséquentialistes, ce qui est cohérent.
   - L'option d) mélange l'égoïsme avec des théories qui reposent sur des principes universels, ce qui n'est pas correct.

En conclusion, l'option c) est la plus appropriée car elle associe des théories qui reposent sur des principes fondamentaux universels du bien et du mal, tout en étant conséquentialistes.

La bonne réponse est donc {'sol': 'c'}.",c
business_ethics/test/57,business_ethics,Business,_________ tout comme ________ aux États-Unis est un facteur principal dans la conduite de pratiques commerciales éthiques.,"Législation, loi Sarbanes-Oxley","Politique interne de la société, loi sur les pratiques des entreprises contraires à l'éthique","Politique interne des entreprises, loi Sarbanes-Oxley","Législation, loi sur les pratiques des entreprises contraires à l'éthique",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Pour résoudre cette question, je vais analyser chaque option en fonction de la structure de la phrase.

1. La phrase commence par ""_________ tout comme ________ aux États-Unis"", ce qui indique que les deux éléments doivent être comparables et pertinents dans le contexte des pratiques commerciales éthiques.

2. Je vais examiner chaque option :
   - a) ""Législation, loi Sarbanes-Oxley"" : La législation est un terme général qui peut inclure la loi Sarbanes-Oxley, ce qui fait sens.
   - b) ""Politique interne de la société, loi sur les pratiques des entreprises contraires à l'éthique"" : Bien que cela puisse être pertinent, la loi sur les pratiques des entreprises contraires à l'éthique n'est pas aussi spécifique que la loi Sarbanes-Oxley.
   - c) ""Politique interne des entreprises, loi Sarbanes-Oxley"" : Cela fonctionne également, car la loi Sarbanes-Oxley est une législation spécifique qui vise à promouvoir l'éthique dans les affaires.
   - d) ""Législation, loi sur les pratiques des entreprises contraires à l'éthique"" : Cela pourrait fonctionner, mais la loi sur les pratiques des entreprises contraires à l'éthique est moins connue que la loi Sarbanes-Oxley.

3. En considérant la pertinence et la spécificité des termes, l'option a) ""Législation, loi Sarbanes-Oxley"" semble être la plus appropriée, car elle établit un lien clair entre la législation générale et une loi spécifique qui est bien connue pour son impact sur les pratiques commerciales éthiques.

Ainsi, la bonne réponse est {'sol': 'a'}.",a
