sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,संयुक्त राज्य अमेरिका से कनाडा में उत्तर की यात्रा करते समय आपको नॉर्थ स्टार (पोलारिस) _________ होता हुआ दिखेगा।,अधिक चमकदार,अधिक धुंधला,आकाश में और ऊपर,आकाश में और नीचे,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"पहले, मुझे यह समझने की आवश्यकता है कि नॉर्थ स्टार (पोलारिस) का स्थान और उसकी चमक यात्रा के स्थान के अनुसार कैसे बदलता है। 

पहला चरण: जब आप संयुक्त राज्य अमेरिका से कनाडा की ओर उत्तर की यात्रा करते हैं, तो आप उत्तरी गोलार्ध में अधिक उत्तर की ओर बढ़ रहे हैं। 

दूसरा चरण: पोलारिस हमेशा उत्तर दिशा में होता है और यह उत्तरी ध्रुव के करीब स्थित है। इसलिए, जैसे-जैसे आप उत्तर की ओर बढ़ते हैं, पोलारिस आपके लिए आकाश में अधिक ऊँचाई पर दिखाई देगा। 

तीसरा चरण: इस जानकारी के आधार पर, जब आप कनाडा में उत्तर की यात्रा करते हैं, तो पोलारिस आकाश में और ऊपर दिखाई देगा। 

इसलिए, सही उत्तर {'SOL': 'C'} है।",c
astronomy/test/107,astronomy,STEM,चाँद पर सबसे अधिक वजन किस चीज़ का होगा?,एक किलोग्राम पंख,पृथ्वी पर मापी गई ईंटों का वजन पाँच पाउंड है,पांच किलोग्राम पंख,एक किलोग्राम ईंटें,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"चाँद पर वजन का माप चाँद की गुरुत्वाकर्षण शक्ति पर निर्भर करता है, जो पृथ्वी की तुलना में लगभग 1/6 है। 

पहला चरण: मैं सभी विकल्पों के वजन को चाँद पर मापने के लिए उनके पृथ्वी पर वजन को 1/6 से गुणा करूंगा। 

दूसरा चरण: 
A) एक किलोग्राम पंख का वजन चाँद पर होगा: 1 किलोग्राम ÷ 6 = 0.1667 किलोग्राम।
B) पाँच पाउंड ईंटों का वजन चाँद पर होगा: 5 पाउंड = 5 × 0.4536 किलोग्राम = 2.268 किलोग्राम; चाँद पर: 2.268 ÷ 6 = 0.378 किलोग्राम।
C) पांच किलोग्राम पंख का वजन चाँद पर होगा: 5 किलोग्राम ÷ 6 = 0.8333 किलोग्राम।
D) एक किलोग्राम ईंटें का वजन चाँद पर होगा: 1 किलोग्राम ÷ 6 = 0.1667 किलोग्राम।

तीसरा चरण: अब मैं सभी विकल्पों के चाँद पर वजन की तुलना करता हूँ:
A) 0.1667 किलोग्राम
B) 0.378 किलोग्राम
C) 0.8333 किलोग्राम
D) 0.1667 किलोग्राम

यह स्पष्ट है कि C) पांच किलोग्राम पंख का वजन चाँद पर सबसे अधिक होगा।

इसलिए, सही उत्तर {'SOL': 'C'} है।",c
business_ethics/test/10,business_ethics,Business,"श्नाकेनबर्ग और टॉमलिंसन (2014) के अनुसार, कॉर्पोरेट पारदर्शिता की गुणवत्ता का आकलन करने के लिए उपयोग किए जाने वाले तीन मानदंड क्या हैं?","व्यापकता, स्पष्टता, सटीकता","प्रकटीकरण, विवरण, सटीकता","प्रकटीकरण, स्पष्टता, सटीकता","प्रकटीकरण, स्पष्टता, दक्षता",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"पहले, मुझे श्नाकेनबर्ग और टॉमलिंसन (2014) द्वारा कॉर्पोरेट पारदर्शिता की गुणवत्ता के आकलन के लिए उपयोग किए जाने वाले मानदंडों को समझने की आवश्यकता है। 

चरण 1: मैं यह देखता हूँ कि कॉर्पोरेट पारदर्शिता के लिए सामान्यतः कौन से मानदंड महत्वपूर्ण होते हैं। 

चरण 2: मैं विकल्पों का विश्लेषण करता हूँ और देखता हूँ कि कौन से मानदंड पारदर्शिता के लिए सबसे उपयुक्त हैं। 

चरण 3: मुझे यह सुनिश्चित करना है कि मैं सही मानदंडों को पहचानूं और सही विकल्प का चयन करूं। 

अब, श्नाकेनबर्ग और टॉमलिंसन (2014) के अनुसार, कॉर्पोरेट पारदर्शिता की गुणवत्ता का आकलन करने के लिए उपयोग किए जाने वाले मानदंड हैं: प्रकटीकरण, स्पष्टता, और सटीकता। 

इसलिए, सही उत्तर {'SOL': 'C'} है।",c
business_ethics/test/14,business_ethics,Business,डोनाल्डसन और प्रेस्टन (1995) के अनुसार हितधारक सिद्धांत के तीन भिन्न प्रकार क्या हैं?,"मानक, वर्णनात्मक और आर्थिक","मानक, नैतिक और वाद्य","राजनीतिक, वर्णनात्मक और वाद्य","मानक, वर्णनात्मक और वाद्य",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"पहले, मुझे डोनाल्डसन और प्रेस्टन (1995) द्वारा प्रस्तावित हितधारक सिद्धांत के विभिन्न प्रकारों की पहचान करनी होगी। 

चरण 1: हितधारक सिद्धांत के तीन प्रकारों को समझना। डोनाल्डसन और प्रेस्टन ने हितधारक सिद्धांत को तीन श्रेणियों में वर्गीकृत किया है: मानक, वर्णनात्मक और वाद्य।

चरण 2: विकल्पों की तुलना करना। विकल्प A) मानक, वर्णनात्मक और आर्थिक में ""आर्थिक"" शब्द है, जो सही नहीं है। विकल्प B) मानक, नैतिक और वाद्य में ""नैतिक"" शब्द है, जो सही नहीं है। विकल्प C) राजनीतिक, वर्णनात्मक और वाद्य में ""राजनीतिक"" शब्द है, जो सही नहीं है। विकल्प D) मानक, वर्णनात्मक और वाद्य सही है।

चरण 3: सही उत्तर की पुष्टि करना। मैंने सभी विकल्पों की जांच की है और पाया है कि केवल विकल्प D) मानक, वर्णनात्मक और वाद्य सही है।

इसलिए, सही उत्तर {'sol': 'D'} है।",d
business_ethics/test/25,business_ethics,Business,"_______ शब्द का उपयोग समाज द्वारा, विशेष रूप से स्थानीय समुदायों और नागरिक समाजों के बीच कंपनी की गतिविधियों की चल रही मंजूरी और स्वीकृति का वर्णन करने के लिए किया जाता है।",प्रबुद्ध स्वार्थ,संचालन के लिए सामाजिक लाइसेंस,सामुदायिक अनुमोदन,आपूर्ति श्रृंखला जिम्मेदारी,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"पहले, मुझे यह समझने की आवश्यकता है कि प्रश्न में दिए गए शब्द का अर्थ क्या है। यह शब्द समाज द्वारा कंपनी की गतिविधियों की स्वीकृति और मंजूरी को दर्शाता है।

दूसरे, विकल्पों का विश्लेषण करते हैं:
A) प्रबुद्ध स्वार्थ - यह शब्द आमतौर पर व्यक्तिगत या समूह के स्वार्थ को दर्शाता है, जो इस संदर्भ में उपयुक्त नहीं है।
B) संचालन के लिए सामाजिक लाइसेंस - यह शब्द सही प्रतीत होता है क्योंकि यह समाज द्वारा कंपनी की गतिविधियों की स्वीकृति को दर्शाता है।
C) सामुदायिक अनुमोदन - यह भी एक संभावित विकल्प है, लेकिन यह शब्द सामान्यतः स्थानीय समुदायों के संदर्भ में उपयोग होता है।
D) आपूर्ति श्रृंखला जिम्मेदारी - यह शब्द कंपनी की आपूर्ति श्रृंखला में जिम्मेदारियों को दर्शाता है, जो इस संदर्भ में उपयुक्त नहीं है।

तीसरे, सबसे उपयुक्त विकल्प की पहचान करते हैं। ""संचालन के लिए सामाजिक लाइसेंस"" शब्द समाज द्वारा कंपनी की गतिविधियों की स्वीकृति को स्पष्ट रूप से दर्शाता है।

इसलिए, सही उत्तर {'SOL': 'B'} है।",b
business_ethics/test/27,business_ethics,Business,"_________, जैसे कि _______ और _______ ऐसी प्रक्रियाएं हैं जिनके द्वारा संगठन पर्यावरणीय लक्ष्यों, नीतियों और जिम्मेदारियों को लागू करते हैं और नियमित ऑडिटिंग और रिपोर्टिंग सुनिश्चित करते हैं, जो कानूनी अनुपालन से परे हैं।","पर्यावरण प्रबंधन प्रणाली, SA8000, EMAS","सामाजिक जवाबदेही मानक, ISO14001, SA8000","पर्यावरण प्रबंधन प्रणाली, ISO14001, EMAS","सामाजिक जवाबदेही मानक, ईएमएएस, एसए8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"पहले, मुझे यह समझने की आवश्यकता है कि प्रश्न में कौन सी प्रक्रियाएं और मानक पर्यावरणीय लक्ष्यों और नीतियों को लागू करने में मदद करते हैं। 

चरण 1: पर्यावरण प्रबंधन प्रणाली (Environmental Management System - EMS) एक ऐसी प्रक्रिया है जो संगठनों को उनके पर्यावरणीय लक्ष्यों को निर्धारित करने और उन्हें प्राप्त करने में मदद करती है। 

चरण 2: ISO 14001 एक अंतरराष्ट्रीय मानक है जो पर्यावरण प्रबंधन प्रणाली के लिए आवश्यकताओं को निर्दिष्ट करता है। 

चरण 3: EMAS (Eco-Management and Audit Scheme) एक यूरोपीय संघ का मानक है जो संगठनों को उनके पर्यावरणीय प्रदर्शन में सुधार करने में मदद करता है। 

इन तीनों प्रक्रियाओं का संबंध पर्यावरणीय लक्ष्यों और नीतियों के कार्यान्वयन से है। 

अब, विकल्पों का विश्लेषण करते हैं:
A) पर्यावरण प्रबंधन प्रणाली, SA8000, EMAS - SA8000 सामाजिक जवाबदेही से संबंधित है, जो पर्यावरण से संबंधित नहीं है।
B) सामाजिक जवाबदेही मानक, ISO14001, SA8000 - इसमें भी SA8000 है, जो पर्यावरण से संबंधित नहीं है।
C) पर्यावरण प्रबंधन प्रणाली, ISO14001, EMAS - ये सभी पर्यावरण से संबंधित हैं।
D) सामाजिक जवाबदेही मानक, ईएमएएस, एसए8000 - इसमें भी SA8000 है, जो पर्यावरण से संबंधित नहीं है।

इसलिए, सही उत्तर C) पर्यावरण प्रबंधन प्रणाली, ISO14001, EMAS है। 

अंत में, सही उत्तर {'sol': 'C'} है।",c
business_ethics/test/44,business_ethics,Business,"________ निर्णयों, कार्यों और व्यवहारों की नैतिक प्रकृति को छिपाने या उजागर करने के लिए भाषा का उपयोग है।",नैतिक जोड़,नैतिक ढाँचा,नैतिक खिड़की ड्रेसिंग,नैतिक जोड़,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"पहले, मुझे प्रश्न को समझना होगा। यह नैतिकता और भाषा के उपयोग के बारे में है, विशेष रूप से निर्णयों, कार्यों और व्यवहारों की नैतिक प्रकृति को छिपाने या उजागर करने के संदर्भ में।

दूसरे, विकल्पों का विश्लेषण करना होगा:
A) नैतिक जोड़ - यह शब्द नैतिकता से संबंधित हो सकता है, लेकिन यह स्पष्ट नहीं है कि यह छिपाने या उजागर करने के संदर्भ में है।
B) नैतिक ढाँचा - यह भी नैतिकता से संबंधित है, लेकिन यह विशेष रूप से भाषा के उपयोग को संदर्भित नहीं करता।
C) नैतिक खिड़की ड्रेसिंग - यह एक सामान्य शब्द है जो नैतिकता को छिपाने या सजाने के लिए भाषा के उपयोग को संदर्भित कर सकता है।
D) नैतिक जोड़ - यह विकल्प पहले ही देखा गया है और दोहराया गया है।

तीसरे, मुझे यह तय करना होगा कि कौन सा विकल्प सबसे उपयुक्त है। ""नैतिक खिड़की ड्रेसिंग"" शब्द का अर्थ है नैतिकता को सजाना या छिपाना, जो प्रश्न के संदर्भ में सही लगता है।

इसलिए, सही उत्तर {'SOL': 'C'} है।",c
business_ethics/test/52,business_ethics,Business,"किसी उत्पाद की खरीद के बारे में सूचित, तर्कपूर्ण निर्णय लेने में असमर्थ होने की स्थिति को क्या कहा जाता है?",उपभोक्ता समावेशन,उपभोक्ता क्षमता,उपभोक्ता बहिष्करण,उपभोक्ता भेद्यता,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"पहले, मुझे यह समझने की आवश्यकता है कि उपभोक्ता की निर्णय लेने की प्रक्रिया में क्या भूमिका होती है। 

चरण 1: उपभोक्ता समावेशन का अर्थ है उपभोक्ताओं का उत्पादों और सेवाओं में सक्रिय रूप से भाग लेना। यह निर्णय लेने की प्रक्रिया में मदद करता है, इसलिए यह सही उत्तर नहीं हो सकता।

चरण 2: उपभोक्ता क्षमता का अर्थ है उपभोक्ताओं की क्षमता और ज्ञान जो उन्हें सही निर्णय लेने में मदद करता है। यदि कोई उपभोक्ता निर्णय लेने में असमर्थ है, तो यह भी सही उत्तर नहीं हो सकता।

चरण 3: उपभोक्ता बहिष्करण का अर्थ है उपभोक्ताओं का किसी उत्पाद या सेवा से बाहर रहना। यह भी निर्णय लेने की प्रक्रिया से संबंधित नहीं है।

चरण 4: उपभोक्ता भेद्यता का अर्थ है उपभोक्ताओं की स्थिति जब वे निर्णय लेने में असमर्थ होते हैं, विशेष रूप से जब वे जानकारी की कमी या अन्य कारकों के कारण कमजोर होते हैं। 

इसलिए, सही उत्तर {'SOL': 'D'} है।",d
business_ethics/test/54,business_ethics,Business,_______ और _______ दोनों _______-आधारित सिद्धांतों के उदाहरण हैं जो सही और गलत के बुनियादी सार्वभौमिक सिद्धांतों पर आधारित हैं।,"कर्तव्य की नैतिकता, अधिकारों और न्याय की नैतिकता, सिद्धांत","उपयोगितावाद, अहंवाद, सिद्धांत","कर्तव्य की नैतिकता, उपयोगितावाद, परिणामवादी","अहंवाद, अधिकार और न्याय की नैतिकता, परिणामवादी",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"पहले, मुझे यह समझने की आवश्यकता है कि प्रश्न में क्या पूछा गया है। यहाँ पर सही और गलत के बुनियादी सार्वभौमिक सिद्धांतों पर आधारित सिद्धांतों के उदाहरण दिए जाने हैं।

दूसरे चरण में, मैं विकल्पों का विश्लेषण करूंगा। 

A) कर्तव्य की नैतिकता और अधिकारों और न्याय की नैतिकता दोनों ही नैतिकता के सिद्धांत हैं जो सही और गलत के बुनियादी सिद्धांतों पर आधारित हैं। 

B) उपयोगितावाद और अहंवाद दोनों ही नैतिकता के सिद्धांत हैं, लेकिन अहंवाद सही और गलत के बुनियादी सार्वभौमिक सिद्धांतों पर आधारित नहीं है। 

C) कर्तव्य की नैतिकता और उपयोगितावाद में से केवल कर्तव्य की नैतिकता सही और गलत के बुनियादी सिद्धांतों पर आधारित है। 

D) अहंवाद और अधिकार और न्याय की नैतिकता में से केवल अधिकार और न्याय की नैतिकता सही और गलत के बुनियादी सिद्धांतों पर आधारित है। 

तीसरे चरण में, मैं निष्कर्ष पर पहुँचता हूँ। विकल्प A सही है क्योंकि यह दोनों सिद्धांतों को सही और गलत के बुनियादी सार्वभौमिक सिद्धांतों पर आधारित बताता है।

इसलिए, सही उत्तर {'sol': 'A'} है।",a
business_ethics/test/57,business_ethics,Business,संयुक्त राज्य अमेरिका में __________ जैसे ________ नैतिक व्यावसायिक प्रथाओं को चलाने में एक महत्वपूर्ण कारक है।,"विधान, सर्बनेस-ऑक्सले अधिनियम","आंतरिक कंपनी नीति, अनैतिक कॉर्पोरेट आचरण अधिनियम","आंतरिक कंपनी नीति, सर्बनेस-ऑक्सले अधिनियम","विधान, अनैतिक कॉर्पोरेट आचरण अधिनियम",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"पहले, मुझे यह समझने की आवश्यकता है कि प्रश्न में दिए गए विकल्पों में से कौन सा संयुक्त राज्य अमेरिका में नैतिक व्यावसायिक प्रथाओं को चलाने में महत्वपूर्ण कारक है। 

चरण 1: मैं यह देखता हूँ कि ""सर्बनेस-ऑक्सले अधिनियम"" एक महत्वपूर्ण कानून है जो वित्तीय रिपोर्टिंग और कॉर्पोरेट नैतिकता को बढ़ावा देने के लिए बनाया गया था। 

चरण 2: ""अनैतिक कॉर्पोरेट आचरण अधिनियम"" का कोई विशेष संदर्भ नहीं है, इसलिए यह विकल्प कम प्रासंगिक लगता है। 

चरण 3: ""आंतरिक कंपनी नीति"" भी महत्वपूर्ण है, लेकिन यह अकेले नैतिक प्रथाओं को चलाने में उतना प्रभावी नहीं हो सकता जितना कि एक कानून। 

इसलिए, सही उत्तर ""A) विधान, सर्बनेस-ऑक्सले अधिनियम"" है, क्योंकि यह नैतिक व्यावसायिक प्रथाओं को सुनिश्चित करने में एक महत्वपूर्ण कारक है। 

अंत में, सही उत्तर {'sol': 'A'} है।",a
