sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,संयुक्त राज्य अमेरिका से कनाडा में उत्तर की यात्रा करते समय आपको नॉर्थ स्टार (पोलारिस) _________ होता हुआ दिखेगा।,अधिक चमकदार,अधिक धुंधला,आकाश में और ऊपर,आकाश में और नीचे,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"पहले, मुझे यह समझने की आवश्यकता है कि नॉर्थ स्टार (पोलारिस) का स्थान आकाश में कैसे बदलता है जब हम संयुक्त राज्य अमेरिका से कनाडा की ओर यात्रा करते हैं। 

1. पोलारिस हमेशा उत्तर दिशा में स्थित होता है, और यह उत्तरी गोलार्ध में स्थिर रहता है। 
2. जब हम उत्तर की ओर यात्रा करते हैं, तो पोलारिस हमारे लिए आकाश में अधिक ऊँचाई पर दिखाई देता है। 
3. इसलिए, कनाडा में यात्रा करते समय, पोलारिस आकाश में और ऊपर दिखाई देगा।

इसलिए, सही उत्तर {'sol': 'c'} है।",c
astronomy/test/107,astronomy,STEM,चाँद पर सबसे अधिक वजन किस चीज़ का होगा?,एक किलोग्राम पंख,पृथ्वी पर मापी गई ईंटों का वजन पाँच पाउंड है,पांच किलोग्राम पंख,एक किलोग्राम ईंटें,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"चाँद पर वजन का माप चाँद की गुरुत्वाकर्षण शक्ति पर निर्भर करता है, जो पृथ्वी की तुलना में लगभग 1/6 है। 

पहले, मैं प्रत्येक विकल्प के वजन की गणना करूंगा:

a) एक किलोग्राम पंख: चाँद पर इसका वजन 1 किलोग्राम * (1/6) = 0.167 किलोग्राम होगा।

b) पृथ्वी पर मापी गई ईंटों का वजन पाँच पाउंड है: 1 पाउंड लगभग 0.4536 किलोग्राम होता है, इसलिए 5 पाउंड = 5 * 0.4536 = 2.268 किलोग्राम। चाँद पर इसका वजन 2.268 किलोग्राम * (1/6) = 0.378 किलोग्राम होगा।

c) पांच किलोग्राम पंख: चाँद पर इसका वजन 5 किलोग्राम * (1/6) = 0.833 किलोग्राम होगा।

d) एक किलोग्राम ईंटें: चाँद पर इसका वजन 1 किलोग्राम * (1/6) = 0.167 किलोग्राम होगा।

अब, मैं सभी विकल्पों के चाँद पर वजन की तुलना करता हूँ:
- a) 0.167 किलोग्राम
- b) 0.378 किलोग्राम
- c) 0.833 किलोग्राम
- d) 0.167 किलोग्राम

इनमें से सबसे अधिक वजन ""पांच किलोग्राम पंख"" (विकल्प c) का होगा।

इसलिए, सही उत्तर {'sol': 'c'} है।",c
business_ethics/test/10,business_ethics,Business,"श्नाकेनबर्ग और टॉमलिंसन (2014) के अनुसार, कॉर्पोरेट पारदर्शिता की गुणवत्ता का आकलन करने के लिए उपयोग किए जाने वाले तीन मानदंड क्या हैं?","व्यापकता, स्पष्टता, सटीकता","प्रकटीकरण, विवरण, सटीकता","प्रकटीकरण, स्पष्टता, सटीकता","प्रकटीकरण, स्पष्टता, दक्षता",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"पहले, मुझे श्नाकेनबर्ग और टॉमलिंसन (2014) द्वारा कॉर्पोरेट पारदर्शिता की गुणवत्ता के आकलन के लिए उपयोग किए जाने वाले मानदंडों की पहचान करनी होगी। 

चरण 1: मैं यह देखता हूँ कि कॉर्पोरेट पारदर्शिता के लिए सामान्यतः कौन से मानदंड महत्वपूर्ण होते हैं। 

चरण 2: मैं विकल्पों का विश्लेषण करता हूँ और देखता हूँ कि कौन से मानदंड पारदर्शिता के लिए सबसे उपयुक्त हैं। 

चरण 3: मैं यह सुनिश्चित करता हूँ कि सही उत्तर उन मानदंडों को शामिल करता है जो पारदर्शिता की गुणवत्ता को सही तरीके से दर्शाते हैं।

विकल्पों का विश्लेषण करने पर, मुझे पता चलता है कि ""प्रकटीकरण, स्पष्टता, सटीकता"" मानदंड कॉर्पोरेट पारदर्शिता के लिए महत्वपूर्ण हैं। 

इसलिए, सही उत्तर {'sol': 'c'} है।",c
business_ethics/test/14,business_ethics,Business,डोनाल्डसन और प्रेस्टन (1995) के अनुसार हितधारक सिद्धांत के तीन भिन्न प्रकार क्या हैं?,"मानक, वर्णनात्मक और आर्थिक","मानक, नैतिक और वाद्य","राजनीतिक, वर्णनात्मक और वाद्य","मानक, वर्णनात्मक और वाद्य",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"पहले, मुझे डोनाल्डसन और प्रेस्टन (1995) द्वारा हितधारक सिद्धांत के विभिन्न प्रकारों को समझने की आवश्यकता है। 

चरण 1: हितधारक सिद्धांत के तीन प्रकारों को पहचानना। डोनाल्डसन और प्रेस्टन ने हितधारक सिद्धांत को मानक, वर्णनात्मक और वाद्य के रूप में वर्गीकृत किया है।

चरण 2: विकल्पों की तुलना करना। विकल्प (a) मानक, वर्णनात्मक और आर्थिक है, (b) मानक, नैतिक और वाद्य है, (c) राजनीतिक, वर्णनात्मक और वाद्य है, और (d) मानक, वर्णनात्मक और वाद्य है।

चरण 3: सही विकल्प की पहचान करना। चूंकि डोनाल्डसन और प्रेस्टन के अनुसार हितधारक सिद्धांत के तीन प्रकार मानक, वर्णनात्मक और वाद्य हैं, इसलिए सही उत्तर विकल्प (d) है।

इसलिए, सही उत्तर {'sol': 'd'} है।",d
business_ethics/test/25,business_ethics,Business,"_______ शब्द का उपयोग समाज द्वारा, विशेष रूप से स्थानीय समुदायों और नागरिक समाजों के बीच कंपनी की गतिविधियों की चल रही मंजूरी और स्वीकृति का वर्णन करने के लिए किया जाता है।",प्रबुद्ध स्वार्थ,संचालन के लिए सामाजिक लाइसेंस,सामुदायिक अनुमोदन,आपूर्ति श्रृंखला जिम्मेदारी,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"इस प्रश्न में, हमें उस शब्द का चयन करना है जो समाज द्वारा कंपनी की गतिविधियों की मंजूरी और स्वीकृति का वर्णन करता है। 

चरण 1: पहले विकल्प ""प्रबुद्ध स्वार्थ"" पर विचार करते हैं। यह शब्द आमतौर पर व्यक्तिगत या समूह के हितों के संदर्भ में उपयोग होता है, लेकिन यह सीधे तौर पर समाज की मंजूरी को नहीं दर्शाता।

चरण 2: दूसरे विकल्प ""संचालन के लिए सामाजिक लाइसेंस"" पर ध्यान दें। यह शब्द विशेष रूप से स्थानीय समुदायों और नागरिक समाजों के बीच कंपनी की गतिविधियों की स्वीकृति को दर्शाता है। यह सही दिशा में प्रतीत होता है।

चरण 3: तीसरे विकल्प ""सामुदायिक अनुमोदन"" पर विचार करें। यह भी समाज की स्वीकृति को दर्शाता है, लेकिन यह शब्द ""सामाजिक लाइसेंस"" के मुकाबले कम सामान्य है।

चरण 4: चौथे विकल्प ""आपूर्ति श्रृंखला जिम्मेदारी"" पर विचार करें। यह शब्द आमतौर पर व्यापारिक प्रक्रियाओं और जिम्मेदारियों के संदर्भ में उपयोग होता है, लेकिन यह समाज की मंजूरी को नहीं दर्शाता।

इन सभी चरणों के विश्लेषण के बाद, ""संचालन के लिए सामाजिक लाइसेंस"" सबसे उपयुक्त विकल्प है।

इसलिए, सही उत्तर {'sol': 'b'} है।",b
business_ethics/test/27,business_ethics,Business,"_________, जैसे कि _______ और _______ ऐसी प्रक्रियाएं हैं जिनके द्वारा संगठन पर्यावरणीय लक्ष्यों, नीतियों और जिम्मेदारियों को लागू करते हैं और नियमित ऑडिटिंग और रिपोर्टिंग सुनिश्चित करते हैं, जो कानूनी अनुपालन से परे हैं।","पर्यावरण प्रबंधन प्रणाली, SA8000, EMAS","सामाजिक जवाबदेही मानक, ISO14001, SA8000","पर्यावरण प्रबंधन प्रणाली, ISO14001, EMAS","सामाजिक जवाबदेही मानक, ईएमएएस, एसए8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"इस प्रश्न में, हमें उन प्रक्रियाओं की पहचान करनी है जो संगठन पर्यावरणीय लक्ष्यों, नीतियों और जिम्मेदारियों को लागू करने के लिए उपयोग करते हैं। 

चरण 1: पहले विकल्पों का विश्लेषण करें। 
- विकल्प (a) में ""पर्यावरण प्रबंधन प्रणाली"" और ""EMAS"" शामिल हैं, जो पर्यावरण से संबंधित हैं, लेकिन ""SA8000"" सामाजिक जवाबदेही से संबंधित है।
- विकल्प (b) में ""सामाजिक जवाबदेही मानक"" और ""SA8000"" शामिल हैं, जो पर्यावरणीय लक्ष्यों से संबंधित नहीं हैं।
- विकल्प (c) में ""पर्यावरण प्रबंधन प्रणाली"", ""ISO14001"" और ""EMAS"" शामिल हैं, जो सभी पर्यावरण प्रबंधन से संबंधित हैं।
- विकल्प (d) में ""सामाजिक जवाबदेही मानक"", ""EMAS"" और ""SA8000"" शामिल हैं, जो पर्यावरणीय लक्ष्यों से संबंधित नहीं हैं।

चरण 2: सही विकल्प की पहचान करें। 
विकल्प (c) ""पर्यावरण प्रबंधन प्रणाली"", ""ISO14001"" और ""EMAS"" सभी पर्यावरणीय लक्ष्यों और नीतियों के कार्यान्वयन से संबंधित हैं।

चरण 3: निष्कर्ष निकालें। 
इसलिए, सही उत्तर विकल्प (c) है।

अंत में, सही उत्तर {'sol': 'c'} है।",c
business_ethics/test/44,business_ethics,Business,"________ निर्णयों, कार्यों और व्यवहारों की नैतिक प्रकृति को छिपाने या उजागर करने के लिए भाषा का उपयोग है।",नैतिक जोड़,नैतिक ढाँचा,नैतिक खिड़की ड्रेसिंग,नैतिक जोड़,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"इस प्रश्न में, हमें यह समझना है कि दिए गए विकल्पों में से कौन सा विकल्प निर्णयों, कार्यों और व्यवहारों की नैतिक प्रकृति को छिपाने या उजागर करने के लिए भाषा के उपयोग को दर्शाता है।

पहला चरण: मैं प्रत्येक विकल्प का विश्लेषण करूंगा। 

- विकल्प (a) ""नैतिक जोड़"" का अर्थ है नैतिकता को जोड़ने का कार्य, लेकिन यह स्पष्ट नहीं करता कि यह छिपाने या उजागर करने के लिए है।
- विकल्प (b) ""नैतिक ढाँचा"" का अर्थ है नैतिकता का एक ढाँचा या संरचना, लेकिन यह भी स्पष्ट नहीं है।
- विकल्प (c) ""नैतिक खिड़की ड्रेसिंग"" का अर्थ है नैतिकता को एक आकर्षक तरीके से प्रस्तुत करना, जो छिपाने या उजागर करने के संदर्भ में सही हो सकता है।
- विकल्प (d) ""नैतिक जोड़"" फिर से वही है जो पहले बताया गया है।

दूसरा चरण: मैं यह देखता हूँ कि ""नैतिक खिड़की ड्रेसिंग"" का उपयोग अक्सर उन स्थितियों में किया जाता है जहाँ किसी चीज़ को बेहतर या अधिक नैतिक रूप में प्रस्तुत किया जाता है, जबकि वास्तविकता में यह ऐसा नहीं होता। 

तीसरा चरण: इस प्रकार, ""नैतिक खिड़की ड्रेसिंग"" सही उत्तर प्रतीत होता है क्योंकि यह निर्णयों और कार्यों की नैतिकता को छिपाने या उजागर करने के लिए भाषा के उपयोग को दर्शाता है।

अंत में, सही उत्तर {'sol': 'c'} है।",c
business_ethics/test/52,business_ethics,Business,"किसी उत्पाद की खरीद के बारे में सूचित, तर्कपूर्ण निर्णय लेने में असमर्थ होने की स्थिति को क्या कहा जाता है?",उपभोक्ता समावेशन,उपभोक्ता क्षमता,उपभोक्ता बहिष्करण,उपभोक्ता भेद्यता,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"इस प्रश्न का उत्तर देने के लिए, मैं पहले विकल्पों का विश्लेषण करूंगा:

1. **उपभोक्ता समावेशन (Consumer Inclusion)**: यह शब्द आमतौर पर उन उपभोक्ताओं को संदर्भित करता है जो बाजार में शामिल होते हैं, इसलिए यह सही उत्तर नहीं है।
  
2. **उपभोक्ता क्षमता (Consumer Capacity)**: यह उपभोक्ताओं की क्षमता को संदर्भित करता है, लेकिन यह निर्णय लेने की असमर्थता को नहीं दर्शाता।

3. **उपभोक्ता बहिष्करण (Consumer Exclusion)**: यह उन उपभोक्ताओं को संदर्भित करता है जो बाजार से बाहर हैं, लेकिन यह निर्णय लेने की असमर्थता को नहीं दर्शाता।

4. **उपभोक्ता भेद्यता (Consumer Vulnerability)**: यह स्थिति उन उपभोक्ताओं को संदर्भित करती है जो निर्णय लेने में असमर्थ होते हैं, विशेष रूप से जब वे जानकारी की कमी या अन्य कारकों के कारण कमजोर होते हैं।

इन विश्लेषणों के आधार पर, सही उत्तर ""उपभोक्ता भेद्यता"" है, क्योंकि यह उन उपभोक्ताओं की स्थिति को दर्शाता है जो सूचित और तर्कपूर्ण निर्णय लेने में असमर्थ होते हैं।

इसलिए, सही उत्तर {'sol': 'd'} है।",d
business_ethics/test/54,business_ethics,Business,_______ और _______ दोनों _______-आधारित सिद्धांतों के उदाहरण हैं जो सही और गलत के बुनियादी सार्वभौमिक सिद्धांतों पर आधारित हैं।,"कर्तव्य की नैतिकता, अधिकारों और न्याय की नैतिकता, सिद्धांत","उपयोगितावाद, अहंवाद, सिद्धांत","कर्तव्य की नैतिकता, उपयोगितावाद, परिणामवादी","अहंवाद, अधिकार और न्याय की नैतिकता, परिणामवादी",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"इस प्रश्न में, हमें सही और गलत के बुनियादी सार्वभौमिक सिद्धांतों पर आधारित सिद्धांतों के उदाहरणों को भरना है। 

पहले, मैं विकल्पों का विश्लेषण करता हूँ:
- विकल्प (a) ""कर्तव्य की नैतिकता, अधिकारों और न्याय की नैतिकता, सिद्धांत"" में कर्तव्य की नैतिकता और अधिकारों की नैतिकता दोनों ही सही और गलत के बुनियादी सिद्धांतों पर आधारित हैं।
- विकल्प (b) ""उपयोगितावाद, अहंवाद, सिद्धांत"" में उपयोगितावाद एक परिणाम आधारित सिद्धांत है, जबकि अहंवाद व्यक्तिगत स्वार्थ पर आधारित है, जो सार्वभौमिक सिद्धांत नहीं है।
- विकल्प (c) ""कर्तव्य की नैतिकता, उपयोगितावाद, परिणामवादी"" में उपयोगितावाद और परिणामवाद दोनों ही परिणामों पर ध्यान केंद्रित करते हैं, जबकि कर्तव्य की नैतिकता एक अलग दृष्टिकोण है।
- विकल्प (d) ""अहंवाद, अधिकार और न्याय की नैतिकता, परिणामवादी"" में अहंवाद सार्वभौमिक सिद्धांत नहीं है।

अब, सही विकल्प का चयन करते समय, मुझे यह ध्यान में रखना होगा कि कर्तव्य की नैतिकता और अधिकारों और न्याय की नैतिकता दोनों ही सही और गलत के बुनियादी सिद्धांतों पर आधारित हैं। 

इसलिए, सही उत्तर {'sol': 'a'} है।",a
business_ethics/test/57,business_ethics,Business,संयुक्त राज्य अमेरिका में __________ जैसे ________ नैतिक व्यावसायिक प्रथाओं को चलाने में एक महत्वपूर्ण कारक है।,"विधान, सर्बनेस-ऑक्सले अधिनियम","आंतरिक कंपनी नीति, अनैतिक कॉर्पोरेट आचरण अधिनियम","आंतरिक कंपनी नीति, सर्बनेस-ऑक्सले अधिनियम","विधान, अनैतिक कॉर्पोरेट आचरण अधिनियम",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"इस प्रश्न में हमें एक वाक्य को पूरा करना है जिसमें संयुक्त राज्य अमेरिका में नैतिक व्यावसायिक प्रथाओं को चलाने में महत्वपूर्ण कारक का उल्लेख किया गया है। 

चरण 1: पहले विकल्पों का विश्लेषण करें। 
- विकल्प (a) ""विधान, सर्बनेस-ऑक्सले अधिनियम"" में ""सर्बनेस-ऑक्सले अधिनियम"" एक महत्वपूर्ण कानून है जो वित्तीय रिपोर्टिंग में पारदर्शिता और नैतिकता को बढ़ावा देता है।
- विकल्प (b) ""आंतरिक कंपनी नीति, अनैतिक कॉर्पोरेट आचरण अधिनियम"" में ""अनैतिक कॉर्पोरेट आचरण अधिनियम"" का कोई स्पष्ट संदर्भ नहीं है।
- विकल्प (c) ""आंतरिक कंपनी नीति, सर्बनेस-ऑक्सले अधिनियम"" में ""आंतरिक कंपनी नीति"" भी महत्वपूर्ण है, लेकिन यह अकेले नैतिक प्रथाओं को चलाने में पर्याप्त नहीं है।
- विकल्प (d) ""विधान, अनैतिक कॉर्पोरेट आचरण अधिनियम"" में ""विधान"" का उपयोग किया गया है, लेकिन ""अनैतिक कॉर्पोरेट आचरण अधिनियम"" का कोई स्पष्ट संदर्भ नहीं है।

चरण 2: सही विकल्प का चयन करें। 
सर्बनेस-ऑक्सले अधिनियम एक महत्वपूर्ण कानून है जो नैतिक व्यावसायिक प्रथाओं को सुनिश्चित करने में मदद करता है। इसलिए, विकल्प (a) सबसे उपयुक्त है।

चरण 3: वाक्य को पूरा करें। 
संयुक्त राज्य अमेरिका में ""विधान"" जैसे ""सर्बनेस-ऑक्सले अधिनियम"" नैतिक व्यावसायिक प्रथाओं को चलाने में एक महत्वपूर्ण कारक है।

अंत में, सही उत्तर {'sol': 'a'} है।",a
