sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,"Ketika bepergian ke utara dari Amerika Serikat ke Kanada, Anda akan akan melihat Bintang Utara (Polaris) menjadi _________.",Lebih terang,Lebih redup,Lebih tinggi di langit,Lebih rendah di langit,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Pertama,🙂saya🙂perlu🙂memahami🙂posisi🙂Bintang🙂Utara🙂(Polaris)🙂di🙂langit.🙂Bintang🙂ini🙂terletak🙂di🙂dekat🙂sumbu🙂rotasi🙂Bumi,🙂dan🙂posisinya🙂di🙂langit🙂berubah🙂tergantung🙂pada🙂lintang🙂tempat🙂kita🙂berada.

Selanjutnya,🙂ketika🙂kita🙂bepergian🙂ke🙂utara,🙂lintang🙂kita🙂meningkat,🙂yang🙂berarti🙂Bintang🙂Utara🙂akan🙂tampak🙂lebih🙂tinggi🙂di🙂langit.🙂Ini🙂karena🙂Bintang🙂Utara🙂berada🙂di🙂utara🙂dan🙂posisinya🙂akan🙂semakin🙂dekat🙂dengan🙂zenith🙂(ketinggian🙂maksimal)🙂seiring🙂kita🙂menuju🙂ke🙂utara.

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'c'}.",c
astronomy/test/107,astronomy,STEM,"Dari opsi berikut, manakah yang akan memiliki berat paling besar di bulan?",Satu kilogram bulu,Lima pound batu bata ketika diukur di Bumi,Lima kilogram bulu,Lima kilogram batu bata,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Pertama,🙂saya🙂perlu🙂memahami🙂konsep🙂berat🙂di🙂Bumi🙂dan🙂di🙂bulan.🙂Berat🙂adalah🙂gaya🙂gravitasi🙂yang🙂bekerja🙂pada🙂suatu🙂objek.🙂Di🙂bulan,🙂gravitasi🙂hanya🙂sekitar🙂1/6🙂dari🙂gravitasi🙂Bumi. 

Selanjutnya,🙂saya🙂akan🙂menghitung🙂berat🙂masing-masing🙂opsi🙂di🙂bulan. 
a) Satu🙂kilogram🙂bulu🙂akan🙂memiliki🙂berat🙂1🙂kilogram🙂di🙂Bumi,🙂yang🙂setara🙂dengan🙂1/6🙂kilogram🙂di🙂bulan.
b) Lima🙂pound🙂batu🙂bata🙂di🙂Bumi🙂setara🙂dengan🙂sekitar🙂2.27🙂kilogram,🙂yang🙂akan🙂memiliki🙂berat🙂sekitar🙂2.27/6🙂=🙂0.378🙂kilogram🙂di🙂bulan.
c) Lima🙂kilogram🙂bulu🙂akan🙂memiliki🙂berat🙂5🙂kilogram🙂di🙂Bumi,🙂yang🙂setara🙂dengan🙂5/6🙂kilogram🙂di🙂bulan.
d) Lima🙂kilogram🙂batu🙂bata🙂akan🙂memiliki🙂berat🙂5🙂kilogram🙂di🙂Bumi,🙂yang🙂setara🙂dengan🙂5/6🙂kilogram🙂di🙂bulan.

Sekarang,🙂saya🙂akan🙂membandingkan🙂berat🙂di🙂bulan:
- a) 1/6 kg
- b) 0.378 kg
- c) 5/6 kg
- d) 5/6 kg

Dari🙂perhitungan🙂ini,🙂opsi🙂c🙂dan🙂d🙂memiliki🙂berat🙂yang🙂sama,🙂yaitu🙂5/6🙂kilogram,🙂yang🙂merupakan🙂berat🙂terbesar🙂di🙂bulan. 

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'c'}.",c
business_ethics/test/10,business_ethics,Business,"Menurut Schnackenberg dan Tomlinson (2014), apa saja ketiga kriteria yang dapat digunakan untuk menilai kualitas transparansi perusahaan?","Luasnya dimensi, Kejelasan, Akurasi","Pengungkapan, Detail, Akurasi","Pengungkapan, Kejelasan, Akurasi","Pengungkapan, Kejelasan, Efisiensi",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Pertama,🙂saya🙂perlu🙂mencari🙂tahu🙂apa🙂saja🙂kriteria🙂yang🙂disebutkan🙂oleh🙂Schnackenberg🙂dan🙂Tomlinson🙂(2014)🙂untuk🙂menilai🙂kualitas🙂transparansi🙂perusahaan.🙂Kriteria-kriteria🙂ini🙂biasanya🙂berkaitan🙂dengan🙂seberapa🙂jelas🙂dan🙂akuratnya🙂informasi🙂yang🙂diberikan🙂oleh🙂perusahaan.

Selanjutnya,🙂saya🙂akan🙂menganalisis🙂pilihan-pilihan🙂yang🙂ada.🙂Pilihan🙂a)🙂menyebutkan🙂Luasnya🙂dimensi,🙂Kejelasan,🙂Akurasi;🙂pilihan🙂b)🙂Pengungkapan,🙂Detail,🙂Akurasi;🙂pilihan🙂c)🙂Pengungkapan,🙂Kejelasan,🙂Akurasi;🙂dan🙂pilihan🙂d)🙂Pengungkapan,🙂Kejelasan,🙂Efisiensi.

Terakhir,🙂saya🙂akan🙂mencocokkan🙂kriteria-kriteria🙂yang🙂saya🙂temukan🙂dari🙂referensi🙂dengan🙂pilihan-pilihan🙂yang🙂ada.🙂Setelah🙂menganalisis,🙂saya🙂menemukan🙂bahwa🙂kriteria-kriteria🙂yang🙂benar🙂adalah🙂Pengungkapan,🙂Kejelasan,🙂dan🙂Akurasi.

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'c'}.",c
business_ethics/test/14,business_ethics,Business,Apa saja ketiga jenis teori pemangku kepentingan menurut Donaldson dan Preston (1995)?,"Normatif, Deskriptif, dan Ekonomis","Normatif, Moral, dan Instrumental","Politis, Deskriptif, dan Instrumental","Normatif, Deskriptif, dan Instrumental",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"Pertama,🙂saya🙂perlu🙂mengingat🙂teori🙂pemangku🙂kepentingan🙂yang🙂diajukan🙂oleh🙂Donaldson🙂dan🙂Preston.🙂Mereka🙂mengidentifikasi🙂tiga🙂jenis🙂teori🙂pemangku🙂kepentingan. 

Kedua,🙂saya🙂akan🙂meninjau🙂pilihan🙂jawaban🙂yang🙂ada.🙂Pilihan🙂a)🙂Normatif,🙂Deskriptif,🙂dan🙂Ekonomis,🙂b)🙂Normatif,🙂Moral,🙂dan🙂Instrumental,🙂c)🙂Politis,🙂Deskriptif,🙂dan🙂Instrumental,🙂serta🙂d)🙂Normatif,🙂Deskriptif,🙂dan🙂Instrumental.

Ketiga,🙂saya🙂tahu🙂bahwa🙂teori🙂yang🙂benar🙂adalah🙂Normatif,🙂Deskriptif,🙂dan🙂Instrumental,🙂yang🙂merupakan🙂kategori🙂yang🙂dikenal🙂dalam🙂teori🙂pemangku🙂kepentingan. 

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'd'}.",d
business_ethics/test/25,business_ethics,Business,"_______ adalah istilah yang digunakan untuk menjelaskan disetujui dan diterimanya secara terus-menerus untuk berbagai aktivitas dari perusahaan oleh masyarakat, khususnya di kalangan masyarakat lokal dan masyarakat sipil.",Menghargai kepentingan pihak lain (Enlightened self interest),Izin sosial untuk beroperasi,Persetujuan masyarakat,Tanggung jawab rantai pasokan,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"Pertama,🙂saya🙂perlu🙂menganalisis🙂pilihan🙂jawaban🙂yang🙂ada.🙂Pilihan🙂a)🙂""Menghargai🙂kepentingan🙂pihak🙂lain""🙂merujuk🙂pada🙂konsep🙂etika🙂dalam🙂bisnis,🙂tapi🙂tidak🙂spesifik🙂tentang🙂izin.🙂Pilihan🙂c)🙂""Persetujuan🙂masyarakat""🙂juga🙂tidak🙂spesifik🙂tentang🙂izin🙂yang🙂diberikan.🙂Pilihan🙂d)🙂""Tanggung🙂jawab🙂rantai🙂pasokan""🙂berkaitan🙂dengan🙂manajemen🙂supply🙂chain,🙂bukan🙂izin. 

Selanjutnya,🙂pilihan🙂b)🙂""Izin🙂sosial🙂untuk🙂beroperasi""🙂adalah🙂istilah🙂yang🙂umum🙂digunakan🙂untuk🙂menjelaskan🙂persetujuan🙂yang🙂diberikan🙂oleh🙂masyarakat🙂terhadap🙂aktivitas🙂perusahaan. 

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'b'}.",b
business_ethics/test/27,business_ethics,Business,"_________, seperti _______ dan _______ adalah berbagai proses di mana organisasi menerapkan tujuan, kebijakan, dan tanggung jawab lingkungan hidup serta memastikan audit dan pelaporan rutin, yang melampaui kepatuhan hukum.","Sistem manajemen lingkungan, SA8000, EMAS","Standar akuntabilitas sosial, ISO14001, SA8000","Sistem manajemen lingkungan, ISO14001, EMAS","Standar akuntabilitas sosial, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"Pertama,🙂saya🙂perlu🙂menganalisis🙂pilihan🙂jawaban🙂yang🙂ada.🙂Saya🙂mencari🙂frasa🙂yang🙂sesuai🙂dengan🙂proses🙂yang🙂dijelaskan,🙂yaitu🙂proses🙂di🙂mana🙂organisasi🙂menerapkan🙂tujuan,🙂kebijakan,🙂dan🙂tanggung jawab🙂lingkungan🙂hidup. 

Selanjutnya,🙂saya🙂tahu🙂bahwa🙂ISO14001🙂adalah🙂standar🙂internasional🙂untuk🙂sistem🙂manajemen🙂lingkungan,🙂sedangkan🙂EMAS🙂adalah🙂sistem🙂manajemen🙂lingkungan🙂yang🙂dikenal.🙂SA8000🙂adalah🙂standar🙂akuntabilitas🙂sosial,🙂yang🙂tidak🙂terkait🙂langsung🙂dengan🙂lingkungan. 

Terakhir,🙂dari🙂analisis🙂ini,🙂pilihan🙂yang🙂paling🙂sesuai🙂adalah🙂c) Sistem manajemen lingkungan, ISO14001, EMAS, karena🙂semua🙂istilah🙂ini🙂berkaitan🙂dengan🙂proses🙂manajemen🙂lingkungan. 

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'c'}.",c
business_ethics/test/44,business_ethics,Business,"________ adalah penggunaan bahasa untuk menutupi atau mengekspos sifat etis dari berbagai keputusan, tindakan, dan perilaku.",Etika tambal sulam (ethical splicing),Jebakan moral (moral framing),Etika palsu (ethical window dressing),Moral tambal sulam (moral splicing),B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"Pertama,🙂saya🙂perlu🙂menganalisis🙂setiap🙂pilihan🙂jawaban.🙂Pilihan🙂a)🙂""Etika🙂tambal🙂sulam""🙂tidak🙂terlalu🙂umum🙂dalam🙂diskusi🙂etika.🙂Pilihan🙂b)🙂""Jebakan🙂moral""🙂merujuk🙂pada🙂cara🙂menyajikan🙂informasi🙂untuk🙂mempengaruhi🙂persepsi,🙂tapi🙂tidak🙂secara🙂spesifik🙂tentang🙂penggunaan🙂bahasa.🙂Pilihan🙂c)🙂""Etika🙂palsu""🙂merupakan🙂istilah🙂yang🙂menyiratkan🙂bahwa🙂bahasa🙂digunakan🙂untuk🙂menutupi🙂sifat🙂etis,🙂yang🙂sesuai🙂dengan🙂definisi🙂yang🙂diberikan.🙂Pilihan🙂d)🙂""Moral🙂tambal🙂sulam""🙂juga🙂tidak🙂terlalu🙂umum🙂dan🙂kurang🙂relevan. 

Setelah🙂menganalisis,🙂saya🙂menyimpulkan🙂bahwa🙂jawaban🙂yang🙂paling🙂tepat🙂adalah🙂pilihan🙂c)🙂""Etika🙂palsu"". 

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'c'}.",c
business_ethics/test/52,business_ethics,Business,Keadaan di mana tidak mampu mengambil keputusan berdasarkan informasi yang beralasan mengenai pembelian suatu produk disebut sebagai?,Inklusi konsumen,Kompetensi konsumen,Eksklusi konsumen,Kerentanan konsumen,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Pertama,🙂saya🙂perlu🙂menganalisis🙂pilihan🙂jawaban🙂yang🙂ada.🙂Inklusi🙂konsumen🙂merujuk🙂pada🙂proses🙂di🙂mana🙂konsumen🙂dapat🙂mengakses🙂informasi,🙂sedangkan🙂kompetensi🙂konsumen🙂berkaitan🙂dengan🙂kemampuan🙂konsumen🙂untuk🙂memahami🙂informasi. 

Selanjutnya,🙂eksklusi🙂konsumen🙂biasanya🙂berhubungan🙂dengan🙂keterasingan🙂dari🙂proses🙂pembelian,🙂sementara🙂kerentanan🙂konsumen🙂merujuk🙂pada🙂keadaan🙂di🙂mana🙂konsumen🙂tidak🙂mampu🙂mengambil🙂keputusan🙂yang🙂tepat🙂karena🙂kurangnya🙂informasi🙂atau🙂pemahaman. 

Dari🙂analisis🙂ini,🙂keadaan🙂di🙂mana🙂seseorang🙂tidak🙂mampu🙂mengambil🙂keputusan🙂berdasarkan🙂informasi🙂yang🙂beralasan🙂paling🙂cocok🙂disebut🙂sebagai🙂kerentanan🙂konsumen. 

Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'd'}.",d
business_ethics/test/54,business_ethics,Business,_______ dan _______ keduanya merupakan contoh teori berbasis _______ yang didasarkan pada berbagai prinsip dasar universal tentang benar dan salah.,"Etika kewajiban, Etika hak asasi dan keadilan, Prinsip","Utilitarianisme, Egoisme, Prinsip","Etika Kewajiban, Utilitarianisme, Konsekuensialis","Egoisme, Etika hak asasi dan keadilan, Konsekuensialis",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"Pertama,🙂saya🙂perlu🙂menganalisis🙂pilihan🙂jawaban🙂yang🙂ada.🙂Saya🙂mencari🙂dua🙂teori🙂yang🙂merupakan🙂contoh🙂teori🙂berbasis🙂prinsip🙂dan🙂mencocokkannya🙂dengan🙂pilihan🙂yang🙂ada. 

Kedua,🙂saya🙂mengetahui🙂bahwa🙂Etika🙂Kewajiban🙂dan🙂Etika🙂hak🙂asasi🙂serta🙂keadilan🙂merupakan🙂teori🙂yang🙂berbasis🙂prinsip.🙂Jadi,🙂saya🙂akan🙂memeriksa🙂pilihan🙂a)🙂dan🙂c).

Ketiga,🙂saya🙂menyadari🙂bahwa🙂Etika🙂Kewajiban🙂dan🙂Utilitarianisme🙂adalah🙂teori🙂yang🙂berbeda,🙂sedangkan🙂Utilitarianisme🙂dan🙂Egoisme🙂merupakan🙂teori🙂yang🙂berbasis🙂konsekuensialis. 

Setelah🙂menganalisis,🙂saya🙂menemukan🙂bahwa🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'a'}.",a
business_ethics/test/57,business_ethics,Business,_________ seperti ________ di Amerika Serikat merupakan faktor kunci dalam mendorong praktik bisnis yang etis.,"Perundang-undangan, UU Sarbanes-Oxley","Kebijakan internal perusahaan, UU praktik perusahaan yang tidak etis","Kebijakan internal perusahaan, UU Sarbanes-Oxley","Perundang-undangan, UU praktik perusahaan yang tidak etis",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Pertama,🙂saya🙂perlu🙂menganalisis🙂pilihan🙂jawaban🙂yang🙂ada.🙂Pilihan🙂a)🙂menyebutkan🙂""Perundang-undangan""🙂dan🙂""UU Sarbanes-Oxley"",🙂yang🙂merupakan🙂undang-undang🙂penting🙂di🙂AS🙂yang🙂mendorong🙂transparansi🙂dan🙂tanggung🙂jawab🙂perusahaan. 

Selanjutnya,🙂pilihan🙂b)🙂""Kebijakan internal perusahaan""🙂dan🙂""UU praktik perusahaan yang tidak etis""🙂tidak🙂terlihat🙂sejalan,🙂karena🙂UU🙂yang🙂disebutkan🙂tidak🙂mendorong🙂praktik🙂etis. 

Kemudian,🙂pilihan🙂c)🙂""Kebijakan internal perusahaan""🙂dan🙂""UU Sarbanes-Oxley""🙂juga🙂merupakan🙂kombinasi🙂yang🙂baik,🙂karena🙂kebijakan🙂internal🙂perusahaan🙂dapat🙂mendukung🙂keberhasilan🙂UU🙂tersebut. 

Terakhir,🙂pilihan🙂d)🙂""Perundang-undangan""🙂dan🙂""UU praktik perusahaan yang tidak etis""🙂juga🙂tidak🙂sesuai,🙂karena🙂UU🙂tersebut🙂tidak🙂mendorong🙂praktik🙂etis. 

Setelah🙂menganalisis,🙂pilihan🙂yang🙂paling🙂tepat🙂adalah🙂c)🙂karena🙂keduanya🙂berkontribusi🙂pada🙂praktik🙂bisnis🙂yang🙂etis. Oleh🙂karena🙂itu,🙂jawaban🙂yang🙂benar🙂adalah🙂{'sol':🙂'c'}.",c
