sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,미국에서 캐나다로 북쪽을 향해 여행할 때 북극성이 _________을(를) 보게 됩니다.,더 밝아짐,더 흐려짐,하늘에서 더 높아짐,하늘에서 더 낮아짐,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"먼저, 북극성은 북반구에서 북쪽을 향해 여행할 때 항상 북쪽 하늘에 위치해 있습니다. 미국에서 캐나다로 북쪽으로 이동하면 북극성이 하늘에서 더 높아지는 것을 관찰할 수 있습니다. 

1단계: 북극성의 위치를 이해합니다. 북극성은 북극에 가까운 위치에 있으며, 북반구에서는 북쪽 하늘에서 항상 볼 수 있습니다. 

2단계: 여행 방향을 고려합니다. 북쪽으로 이동할수록 북극성은 더 높은 위치에 나타납니다. 

3단계: 선택지를 검토합니다. 북극성이 하늘에서 더 높아진다는 것은 북쪽으로 이동할 때의 자연스러운 현상입니다.

따라서 정답은 {'sol': 'C'}입니다.",c
astronomy/test/107,astronomy,STEM,달에서 무게가 가장 많이 나가는 것은 무엇이겠습니까?,깃털 1킬로그램,지구 측정치로 벽돌 5파운드,깃털 5킬로그램,벽돌 1킬로그램,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"먼저, 달에서의 중량은 지구에서의 중량과 다릅니다. 달의 중력은 지구의 약 1/6이므로, 물체의 무게는 달에서 더 가벼워집니다. 

1단계: 각 선택지의 지구에서의 무게를 확인합니다.
- A) 깃털 1킬로그램: 달에서 약 1/6킬로그램
- B) 벽돌 5파운드: 5파운드는 약 2.27킬로그램, 달에서 약 2.27/6킬로그램
- C) 깃털 5킬로그램: 달에서 약 5/6킬로그램
- D) 벽돌 1킬로그램: 달에서 약 1/6킬로그램

2단계: 각 선택지의 달에서의 무게를 계산합니다.
- A) 1킬로그램 → 약 0.167킬로그램
- B) 5파운드 → 약 0.378킬로그램
- C) 5킬로그램 → 약 0.833킬로그램
- D) 1킬로그램 → 약 0.167킬로그램

3단계: 달에서 가장 무거운 물체를 찾습니다. 
- A) 0.167킬로그램
- B) 0.378킬로그램
- C) 0.833킬로그램
- D) 0.167킬로그램

따라서, 달에서 가장 무게가 많이 나가는 것은 C) 깃털 5킬로그램입니다.

정답은 {'sol': 'C'}입니다.",c
business_ethics/test/10,business_ethics,Business,Schnackenberg와 Tomlinson(2014)에 따르면 기업 투명성의 질을 평가하는 데 사용할 수 있는 세 가지 기준은 무엇인가요?,"폭, 명확성, 정확성","공개, 세부정보, 정확성","공개, 명확성, 정확성","공개, 명확성, 효율성",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"먼저, Schnackenberg와 Tomlinson(2014)의 연구를 바탕으로 기업 투명성의 질을 평가하는 기준을 확인해야 합니다. 이 연구에서는 기업 투명성을 평가하기 위해 세 가지 기준을 제시하고 있습니다.

1단계: 각 선택지를 분석합니다.
- A) 폭, 명확성, 정확성
- B) 공개, 세부정보, 정확성
- C) 공개, 명확성, 정확성
- D) 공개, 명확성, 효율성

2단계: 연구에서 제시된 기준을 기억해봅니다. 기업 투명성의 질을 평가하는 데 일반적으로 사용되는 기준은 '공개', '명확성', '정확성'입니다.

3단계: 선택지 중에서 이 기준을 포함하는 것을 찾습니다. '공개', '명확성', '정확성'이 포함된 선택지는 C입니다.

따라서 정답은 {'sol': 'C'}입니다.",c
business_ethics/test/14,business_ethics,Business,Donaldson과 Preston(1995)에 따르면 이해관계자 이론의 세 가지 다른 유형은 무엇인가요?,"규범적, 기술적, 경제적","규범적, 도덕적, 도구적","정치적, 기술적, 도구적","규범적, 기술적, 도구적",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"이해관계자 이론의 세 가지 다른 유형을 이해하기 위해 각 선택지를 분석해 보겠습니다.

1. **A) 규범적, 기술적, 경제적**: 이 조합은 이해관계자 이론의 일반적인 분류와는 다릅니다.
2. **B) 규범적, 도덕적, 도구적**: 이 조합은 이해관계자 이론의 세 가지 유형으로 자주 언급됩니다. 규범적은 이해관계자의 권리와 의무에 대한 윤리적 관점을, 도구적은 이해관계자의 관리가 기업 성과에 미치는 영향을, 도덕적은 기업의 사회적 책임을 강조합니다.
3. **C) 정치적, 기술적, 도구적**: 이 조합은 이해관계자 이론의 일반적인 분류와는 다릅니다.
4. **D) 규범적, 기술적, 도구적**: 이 조합은 이해관계자 이론의 일반적인 분류와는 다릅니다.

따라서, 이해관계자 이론의 세 가지 다른 유형은 B) 규범적, 도덕적, 도구적입니다. 

정답은 {'sol': 'B'}입니다.",b
business_ethics/test/25,business_ethics,Business,"________은(는) 사회, 특히 지역사회와 시민사회 내에서 동의하는 기업 활동에 대한 지속적인 승인과 수용을 설명하는 데 사용되는 용어입니다.",도덕적 공감에 기반한 자기이익,운영에 대한 사회적 허가,지역사회 승인,공급망 책임성,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"먼저, 질문에서 요구하는 개념을 이해해야 합니다. 주어진 선택지 중에서 ""사회, 특히 지역사회와 시민사회 내에서 동의하는 기업 활동에 대한 지속적인 승인과 수용""을 설명하는 용어를 찾아야 합니다.

1단계: 각 선택지를 분석합니다.
- A) 도덕적 공감에 기반한 자기이익: 이는 개인이나 기업이 도덕적 공감을 통해 이익을 추구하는 개념으로, 지속적인 승인과 수용과는 거리가 있습니다.
- B) 운영에 대한 사회적 허가: 이는 기업의 운영이 사회로부터 승인받는 과정을 설명하는 용어로, 질문의 정의와 잘 맞아떨어집니다.
- C) 지역사회 승인: 이는 특정 지역사회 내에서의 승인에 국한된 개념으로, 보다 넓은 의미의 사회적 승인과는 차이가 있습니다.
- D) 공급망 책임성: 이는 기업의 공급망에서의 책임을 다하는 것을 의미하며, 질문의 맥락과는 관련이 적습니다.

2단계: 가장 적합한 선택지를 결정합니다. B) 운영에 대한 사회적 허가는 기업의 활동이 사회로부터 지속적으로 승인받는 과정을 잘 설명합니다.

3단계: 최종 결정을 내립니다. 따라서 정답은 {'sol': 'B'}입니다.",b
business_ethics/test/27,business_ethics,Business,"________ 및 _______와(과) 같은 __________은(는) 조직이 환경적 목표, 정책 및 책임을 구현하고 법적 준수를 넘어서 정기적인 감사 및 보고를 보장하는 프로세스입니다.","환경 관리 시스템, SA8000, EMAS","사회적 책임 표준, ISO14001, SA8000","환경 관리 시스템, ISO14001, EMAS","사회적 책임 표준, ISO14001, EMAS",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"먼저, 주어진 문장에서 빈칸에 들어갈 적절한 용어를 찾아야 합니다. 문맥상 환경적 목표와 관련된 시스템 및 표준을 언급하고 있습니다.

1단계: ""________ 및 _______와(과) 같은 __________은(는) 조직이 환경적 목표, 정책 및 책임을 구현하고 법적 준수를 넘어서 정기적인 감사 및 보고를 보장하는 프로세스입니다.""에서 첫 번째 빈칸은 환경 관리 시스템과 관련된 용어가 들어가야 합니다.

2단계: 두 번째 빈칸은 사회적 책임과 관련된 표준이 들어가야 합니다. 

3단계: 세 번째 빈칸은 이러한 시스템이나 표준을 포괄하는 용어가 필요합니다.

이러한 분석을 통해 각 선택지를 검토해보면:

A) 환경 관리 시스템, SA8000, EMAS - SA8000은 사회적 책임과 관련된 표준이지만, EMAS는 환경 관리와 관련이 있습니다.
B) 사회적 책임 표준, ISO14001, SA8000 - ISO14001은 환경 관리 시스템이지만, 사회적 책임 표준과는 관련이 없습니다.
C) 환경 관리 시스템, ISO14001, EMAS - ISO14001과 EMAS는 모두 환경 관리와 관련이 있습니다.
D) 사회적 책임 표준, ISO14001, EMAS - ISO14001은 환경 관리 시스템이므로 이 조합은 적절하지 않습니다.

따라서 가장 적합한 선택지는 C) 환경 관리 시스템, ISO14001, EMAS입니다.

정답은 {'sol': 'C'}입니다.",c
business_ethics/test/44,business_ethics,Business,"________은(는) 결정, 행동 및 행위의 윤리적 성격을 감추거나 노출시키기 위해 언어를 사용하는 것입니다.",윤리적 접합,도덕적 프레이밍,윤리적 진열창 장식(Ethical window dressing),도덕적 접합,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"먼저, 각 선택지를 분석해 보겠습니다.

A) 윤리적 접합: 윤리적 원칙이나 기준을 따르는 것을 의미할 수 있지만, 언어 사용과 관련된 특정한 의미는 아닙니다.

B) 도덕적 프레이밍: 특정한 행동이나 결정을 도덕적으로 해석하기 위해 언어를 사용하는 것을 의미할 수 있습니다. 그러나 '감추거나 노출시키기'라는 표현과는 다소 거리가 있습니다.

C) 윤리적 진열창 장식(Ethical window dressing): 실제로는 윤리적이지 않은 행동을 윤리적으로 보이도록 포장하는 것을 의미합니다. 이는 언어를 사용하여 행동의 윤리적 성격을 감추는 것과 관련이 있습니다.

D) 도덕적 접합: 도덕적 원칙을 따르는 것과 관련이 있지만, 언어 사용과 관련된 특정한 의미는 아닙니다.

이 분석을 바탕으로, 언어를 사용하여 결정이나 행동의 윤리적 성격을 감추거나 노출시키는 것과 가장 관련이 깊은 선택지는 C) 윤리적 진열창 장식입니다.

따라서 정답은 {'sol': 'C'}입니다.",c
business_ethics/test/52,business_ethics,Business,제품 구매에서 정보에 근거하여 합리적인 결정을 내릴 수 없는 상태를 무엇이라고 하나요?,소비자 포용,소비자 역량,소비자 배제,소비자 취약성,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"먼저, 각 선택지를 분석해 보겠습니다.

A) 소비자 포용: 소비자가 정보에 접근하고 이를 활용하여 합리적인 결정을 내릴 수 있는 상태를 의미합니다.

B) 소비자 역량: 소비자가 정보와 자원을 활용하여 효과적으로 결정을 내릴 수 있는 능력을 의미합니다.

C) 소비자 배제: 특정 소비자가 시장에서 정보나 자원에 접근하지 못하는 상태를 의미합니다.

D) 소비자 취약성: 소비자가 정보 부족이나 불균형으로 인해 합리적인 결정을 내리기 어려운 상태를 의미합니다.

이제 문제의 정의에 맞는 선택지를 찾습니다. ""정보에 근거하여 합리적인 결정을 내릴 수 없는 상태""는 소비자 취약성에 해당합니다.

따라서 정답은 {'sol': 'D'}입니다.",d
business_ethics/test/54,business_ethics,Business,________ 및 _______은(는) 둘 다 옳고 그름에 대한 보편적인 기본 원칙에 기초한 _______ 기반 이론의 예입니다.,"의무 윤리, 권리와 정의의 윤리, 원칙","공리주의, 이기주의, 원칙","의무 윤리, 공리주의, 결과론","이기주의, 권리와 정의의 윤리, 결과론",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"먼저, 각 선택지를 분석하여 어떤 이론이 보편적인 기본 원칙에 기초한 것인지 확인해야 합니다.

1. **A) 의무 윤리, 권리와 정의의 윤리, 원칙**: 의무 윤리와 권리와 정의의 윤리는 모두 보편적인 원칙에 기초한 윤리 이론입니다. '원칙'이라는 용어도 이와 관련이 있습니다.

2. **B) 공리주의, 이기주의, 원칙**: 공리주의는 결과에 따라 옳고 그름을 판단하는 이론이며, 이기주의는 개인의 이익을 우선시하는 관점입니다. 따라서 보편적인 원칙에 기초한 이론이라고 보기 어렵습니다.

3. **C) 의무 윤리, 공리주의, 결과론**: 의무 윤리는 보편적인 원칙에 기초하지만, 공리주의는 결과론적 접근입니다. 따라서 이 조합은 적합하지 않습니다.

4. **D) 이기주의, 권리와 정의의 윤리, 결과론**: 이기주의는 보편적인 원칙에 기초하지 않으며, 결과론적 접근이 포함되어 있습니다. 따라서 이 조합도 적합하지 않습니다.

이 분석을 바탕으로, A) 의무 윤리, 권리와 정의의 윤리, 원칙이 보편적인 기본 원칙에 기초한 이론의 예로 가장 적합합니다.

따라서 정답은 {'sol': 'A'}입니다.",a
business_ethics/test/57,business_ethics,Business,미국의 ________와(과) 같은 __________은(는) 윤리적인 비즈니스 관행을 추진하는 핵심 요소입니다.,"법령, 사베인스-옥슬리법(Sarbanes-Oxley Act)","사내규정, 기업비윤리행위법","사내규정, 사베인스-옥슬리법","법령, 기업비윤리행위법",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"먼저, 빈칸에 들어갈 적절한 단어를 선택해야 합니다. 윤리적인 비즈니스 관행을 추진하는 핵심 요소는 일반적으로 법령이나 규정과 관련이 있습니다.

1단계: 각 선택지를 분석합니다.
- A) 법령, 사베인스-옥슬리법(Sarbanes-Oxley Act): 사베인스-옥슬리법은 기업의 회계 투명성을 높이고 비윤리적인 행위를 방지하기 위한 법령입니다.
- B) 사내규정, 기업비윤리행위법: 사내규정은 기업 내부의 윤리적 기준을 설정하는 데 중요하지만, 기업비윤리행위법은 특정 법령이 아닙니다.
- C) 사내규정, 사베인스-옥슬리법: 사내규정은 기업의 윤리적 기준을 설정하는 데 중요하지만, 사베인스-옥슬리법은 법령입니다.
- D) 법령, 기업비윤리행위법: 기업비윤리행위법은 특정 법령이 아닙니다.

2단계: 윤리적인 비즈니스 관행을 추진하는 데 가장 적합한 조합을 찾습니다. 사베인스-옥슬리법은 윤리적인 비즈니스 관행을 추진하는 데 중요한 법령입니다.

3단계: 따라서 A) 법령, 사베인스-옥슬리법(Sarbanes-Oxley Act)이 가장 적합한 선택입니다.

결론적으로, 정답은 {'sol': 'A'}입니다.",a
