sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,미국에서 캐나다로 북쪽을 향해 여행할 때 북극성이 _________을(를) 보게 됩니다.,더 밝아짐,더 흐려짐,하늘에서 더 높아짐,하늘에서 더 낮아짐,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"먼저,🙂북극성은🙂북반구에서🙂항상🙂북쪽을🙂가리키는🙂별입니다.🙂미국에서🙂캐나다로🙂여행할🙂때,🙂북극성의🙂위치는🙂여행하는🙂위치에🙂따라🙂변화합니다.🙂캐나다는🙂미국보다🙂북쪽에🙂위치하므로,🙂북극성은🙂하늘에서🙂더🙂높은🙂위치에🙂있게🙂됩니다. 

따라서🙂정답은🙂{'sol':🙂'c'}입니다.",c
astronomy/test/107,astronomy,STEM,달에서 무게가 가장 많이 나가는 것은 무엇이겠습니까?,깃털 1킬로그램,지구 측정치로 벽돌 5파운드,깃털 5킬로그램,벽돌 1킬로그램,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"먼저,🙂달에서의🙂무게는🙂중력의🙂차이로🙂인해🙂달의🙂중력이🙂지구보다🙂약🙂1/6로🙂줄어듭니다.🙂따라서🙂각각의🙂물체의🙂무게를🙂달에서의🙂무게로🙂변환해야🙂합니다.

a)🙂깃털🙂1킬로그램의🙂달에서의🙂무게는🙂1kg🙂*🙂(1/6)🙂=🙂약🙂0.17kg입니다.
b)🙂벽돌🙂5파운드는🙂약🙂2.27kg입니다.🙂달에서의🙂무게는🙂2.27kg🙂*🙂(1/6)🙂=🙂약🙂0.38kg입니다.
c)🙂깃털🙂5킬로그램의🙂달에서의🙂무게는🙂5kg🙂*🙂(1/6)🙂=🙂약🙂0.83kg입니다.
d)🙂벽돌🙂1킬로그램의🙂달에서의🙂무게는🙂1kg🙂*🙂(1/6)🙂=🙂약🙂0.17kg입니다.

이제🙂각각의🙂달에서의🙂무게를🙂비교해보면:
- a) 0.17kg
- b) 0.38kg
- c) 0.83kg
- d) 0.17kg

따라서,🙂달에서🙂무게가🙂가장🙂많이🙂나가는 것은🙂깃털🙂5킬로그램입니다.🙂정답은🙂{'sol':🙂'c'}입니다.",c
business_ethics/test/10,business_ethics,Business,Schnackenberg와 Tomlinson(2014)에 따르면 기업 투명성의 질을 평가하는 데 사용할 수 있는 세 가지 기준은 무엇인가요?,"폭, 명확성, 정확성","공개, 세부정보, 정확성","공개, 명확성, 정확성","공개, 명확성, 효율성",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"먼저,🙂Schnackenberg와🙂Tomlinson(2014)의🙂연구를🙂검토하여🙂기업🙂투명성의🙂질을🙂평가하는🙂기준을🙂확인해야🙂합니다.🙂이들은🙂기업이🙂정보를🙂어떻게🙂제공하는지에🙂대한🙂기준을🙂제시합니다.

첫째,🙂""공개""는🙂정보가🙂얼마나🙂자주🙂제공되는지를🙂나타냅니다.🙂둘째,🙂""명확성""은🙂정보가🙂이해하기🙂쉬운지에🙂대한🙂기준입니다.🙂셋째,🙂""정확성""은🙂제공된🙂정보가🙂사실에🙂부합하는지를🙂나타냅니다.

이러한🙂기준을🙂종합하면,🙂정답은🙂""공개,🙂명확성,🙂정확성""입니다.🙂따라서🙂정답은🙂{'sol':🙂'c'}입니다.",c
business_ethics/test/14,business_ethics,Business,Donaldson과 Preston(1995)에 따르면 이해관계자 이론의 세 가지 다른 유형은 무엇인가요?,"규범적, 기술적, 경제적","규범적, 도덕적, 도구적","정치적, 기술적, 도구적","규범적, 기술적, 도구적",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"먼저,🙂이해관계자🙂이론의🙂세🙂가지🙂유형을🙂정확히🙂파악해야🙂합니다.🙂Donaldson과🙂Preston(1995)은🙂이론을🙂규범적,🙂도구적,🙂기술적🙂유형으로🙂구분했습니다. 

규범적🙂유형은🙂이해관계자의🙂권리와🙂의무에🙂대한🙂윤리적🙂기준을🙂다룹니다.🙂도구적🙂유형은🙂조직의🙂성과와🙂이해관계자와의🙂관계의🙂상관관계를🙂분석합니다.🙂기술적🙂유형은🙂이해관계자와의🙂관계가🙂조직의🙂운영에🙂어떻게🙂영향을🙂미치는지를🙂고려합니다.

따라서,🙂정답은🙂{'sol':🙂'a'}입니다.",a
business_ethics/test/25,business_ethics,Business,"________은(는) 사회, 특히 지역사회와 시민사회 내에서 동의하는 기업 활동에 대한 지속적인 승인과 수용을 설명하는 데 사용되는 용어입니다.",도덕적 공감에 기반한 자기이익,운영에 대한 사회적 허가,지역사회 승인,공급망 책임성,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"먼저,🙂주어진🙂선택지들을🙂검토해보겠습니다.🙂각각의🙂선택지가🙂어떤🙂의미를🙂가지는지🙂분석해보겠습니다.

a)🙂도덕적🙂공감에🙂기반한🙂자기이익:🙂이것은🙂기업이🙂도덕적🙂가치를🙂중시하여🙂자기이익을🙂추구하는🙂것을🙂의미합니다.🙂하지만,🙂사회적🙂승인과는🙂거리가🙂있습니다.

b)🙂운영에🙂대한🙂사회적🙂허가:🙂이것은🙂기업이🙂사회와🙂지역사회로부터🙂지속적인🙂승인과🙂수용을🙂받는다는🙂의미로,🙂주어진🙂문맥에🙂가장🙂부합합니다.

c)🙂지역사회🙂승인:🙂이것은🙂지역사회에서의🙂승인을🙂의미하지만,🙂보다🙂포괄적인🙂개념인🙂사회적🙂허가와는🙂차이가🙂있습니다.

d)🙂공급망🙂책임성:🙂이것은🙂기업의🙂공급망에서의🙂책임을🙂의미하며,🙂사회적🙂승인과는🙂관련이🙂적습니다.

따라서,🙂주어진🙂문맥에🙂가장🙂적합한🙂답변은🙂b)🙂운영에🙂대한🙂사회적🙂허가입니다.🙂정답은🙂{'sol':🙂'b'}입니다.",b
business_ethics/test/27,business_ethics,Business,"________ 및 _______와(과) 같은 __________은(는) 조직이 환경적 목표, 정책 및 책임을 구현하고 법적 준수를 넘어서 정기적인 감사 및 보고를 보장하는 프로세스입니다.","환경 관리 시스템, SA8000, EMAS","사회적 책임 표준, ISO14001, SA8000","환경 관리 시스템, ISO14001, EMAS","사회적 책임 표준, ISO14001, EMAS",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"먼저,🙂문장에서🙂빈칸에🙂들어갈🙂단어들을🙂고려해야🙂합니다.🙂조직이🙂환경적🙂목표와🙂정책을🙂구현하고🙂법적🙂준수를🙂넘어서기🙂위한🙂프로세스에🙂대해🙂설명하고🙂있습니다. 

첫 번째🙂빈칸은🙂'환경 관리 시스템'이🙂적합합니다.🙂이는🙂조직이🙂환경적🙂목표를🙂달성하기🙂위한🙂체계적인🙂접근을🙂의미합니다. 

두 번째🙂빈칸은🙂'ISO14001'이🙂적합합니다.🙂이는🙂환경 관리 시스템에🙂대한🙂국제적인🙂표준입니다. 

세 번째🙂빈칸은🙂'EMAS'가🙂적합합니다.🙂이는🙂유럽연합의🙂환경 관리 및 감사 제도입니다. 

따라서,🙂정답은🙂{'sol':🙂'c'}입니다.",c
business_ethics/test/44,business_ethics,Business,"________은(는) 결정, 행동 및 행위의 윤리적 성격을 감추거나 노출시키기 위해 언어를 사용하는 것입니다.",윤리적 접합,도덕적 프레이밍,윤리적 진열창 장식(Ethical window dressing),도덕적 접합,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"먼저,🙂주어진🙂선택지의🙂의미를🙂분석해야🙂합니다.🙂'윤리적🙂접합'은🙂윤리적🙂문제를🙂다루는🙂방식에🙂관한🙂것이고,🙂'도덕적🙂프레이밍'은🙂어떤🙂상황을🙂특정한🙂관점에서🙂보이도록🙂하는🙂것입니다.🙂'윤리적🙂진열창🙂장식'은🙂윤리적🙂문제를🙂미화하거나🙂감추는🙂행위를🙂의미합니다.🙂마지막으로,🙂'도덕적🙂접합'은🙂도덕적🙂문제를🙂다루는🙂방식입니다.

다음으로,🙂문장에서🙂언급된🙂'결정,🙂행동 및🙂행위의🙂윤리적🙂성격을🙂감추거나🙂노출시키기 위해🙂언어를🙂사용하는'것은🙂윤리적🙂문제를🙂미화하거나🙂감추는🙂행위와🙂가장🙂관련이🙂깊습니다. 

따라서,🙂정답은🙂{'sol':🙂'c'}입니다.",c
business_ethics/test/52,business_ethics,Business,제품 구매에서 정보에 근거하여 합리적인 결정을 내릴 수 없는 상태를 무엇이라고 하나요?,소비자 포용,소비자 역량,소비자 배제,소비자 취약성,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"먼저,🙂주어진🙂선택지를🙂검토해🙂보겠습니다.🙂각각의🙂용어가🙂의미하는🙂바를🙂이해하는 것이🙂중요합니다. 

a) 소비자 포용: 소비자가 시장에서의 선택과 참여를 통해 긍정적인 경험을 하는 상태를 의미합니다. 

b) 소비자 역량: 소비자가 정보에 기반하여 합리적인 결정을 내릴 수 있는 능력을 의미합니다. 

c) 소비자 배제: 특정 소비자가 시장에서의 선택이나 기회에서 제외되는 상태를 의미합니다. 

d) 소비자 취약성: 소비자가 정보 부족이나 불리한 조건으로 인해 합리적인 결정을 내리기 어려운 상태를 의미합니다. 

이제,🙂정보에🙂근거하여🙂합리적인🙂결정을🙂내릴🙂수🙂없는🙂상태는🙂소비자 취약성에🙂가장🙂가까운🙂개념입니다. 

따라서🙂정답은🙂{'sol':🙂'd'}입니다.",d
business_ethics/test/54,business_ethics,Business,________ 및 _______은(는) 둘 다 옳고 그름에 대한 보편적인 기본 원칙에 기초한 _______ 기반 이론의 예입니다.,"의무 윤리, 권리와 정의의 윤리, 원칙","공리주의, 이기주의, 원칙","의무 윤리, 공리주의, 결과론","이기주의, 권리와 정의의 윤리, 결과론",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"먼저,🙂주어진🙂선택지에서🙂각각의🙂윤리적🙂이론을🙂분석해보겠습니다.🙂의무🙂윤리는🙂행위의🙂옳고🙂그름을🙂행위의🙂결과가🙂아니라🙂행위의🙂본질에🙂따라🙂판단하는🙂이론입니다.🙂권리와🙂정의의🙂윤리는🙂개인의🙂권리와🙂정의를🙂중시하는🙂이론입니다.🙂공리주의는🙂행위의🙂결과가🙂가장🙂많은🙂사람에게🙂행복을🙂가져오는지를🙂중요시하는🙂이론입니다.🙂이기주의는🙂자신의🙂이익을🙂우선시하는🙂관점입니다.🙂결과론은🙂행위의🙂결과에🙂따라🙂옳고🙂그름을🙂판단하는🙂이론입니다.

이제🙂각각의🙂선택지를🙂검토해보면:
a) 의무 윤리, 권리와 정의의 윤리, 원칙 - 두 가지 윤리가 모두 옳고 그름에 대한 보편적인 원칙에 기초하고 있습니다.
b) 공리주의, 이기주의, 원칙 - 이기주의는 보편적인 원칙에 기초하지 않습니다.
c) 의무 윤리, 공리주의, 결과론 - 의무 윤리는 결과론과는 다릅니다.
d) 이기주의, 권리와 정의의 윤리, 결과론 - 이기주의는 보편적인 원칙에 기초하지 않습니다.

따라서,🙂정답은🙂{'sol':🙂'a'}입니다.",a
business_ethics/test/57,business_ethics,Business,미국의 ________와(과) 같은 __________은(는) 윤리적인 비즈니스 관행을 추진하는 핵심 요소입니다.,"법령, 사베인스-옥슬리법(Sarbanes-Oxley Act)","사내규정, 기업비윤리행위법","사내규정, 사베인스-옥슬리법","법령, 기업비윤리행위법",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"먼저,🙂문장에서🙂비즈니스🙂관행을🙂추진하는🙂핵심🙂요소에🙂대해🙂고려해야🙂합니다.🙂사베인스-옥슬리법(Sarbanes-Oxley Act)은🙂기업의🙂재무보고와🙂윤리를🙂강화하기🙂위한🙂법령이므로🙂적합합니다. 

다음으로,🙂'법령'이라는🙂단어는🙂사베인스-옥슬리법과🙂함께🙂사용될🙂수🙂있습니다.🙂따라서,🙂'법령'과🙂'사베인스-옥슬리법'이🙂조합된🙂선택지(a)가🙂가장🙂적합합니다.

결론적으로,🙂정답은🙂{'sol':🙂'a'}입니다.",a
