sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,Unapotembea kaskazini kutoka Marekani kwenda Canada utaona Nyota ya Kaskazini (kaskazini) inavyoongezeka _______________.,Mwangaza zaid,Kidogo chenyewe,Juukwa zaidi angani,Chini zaidi angani,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"KWANZA, NINAHITAJI KUJUA MAANA YA NYOTA YA KASKAZINI. NYOTA YA KASKAZINI INAJULIKANA KAMA POLARIS NA INAPATIKANA KATIKA KANDA YA KASKAZINI. 

PILI, KWA KUENDELEA KUSAFIRI KASKAZINI, NYOTA HII ITAONEKANA KATIKA KIWANGO CHA JUU ZAIDI ANGANI KWA SABABU YA KUONGEZEKA KWA KASI YA KUSAFIRI KWENDA KASKAZINI.

TATU, KWA HIVYO, JIBU SAHIHI NI KUPATA KIWANGO CHA NYOTA HII KATIKA ANGANI KWA KUONGEZEKA KWA UFAFANUZI WAKE KATIKA KANDA YA KASKAZINI.

KWA HIVYO, JIBU SAHIHI NI {'SOL': 'C'}.",c
astronomy/test/107,astronomy,STEM,Nini kingepata uzito zaidi kwenye Mwezi?,Kilogramu moja ya manyoya,Pound tano za matofali kama ilivyopimwa Duniani,Kilogramu tano za manyoya,Kilogramu moja ya matofali,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"KWANZA, NINAHITAJI KUFIKIRIA KUHUSU UZITO KATIKA MAHALI MBALIMBALI. UZITO UNATEGEMEA KUVUTIO YA GRAVITY, NA KATIKA MWEZI, GRAVITY NI NDOGO KULIKO DUNIANI.

PILI, NITAHESABU UZITO WA KILA KIPENGELE KATIKA MWEZI. KILA KILOGRAMU INAPIMWA KWA UZITO WAKE KATIKA GRAVITY YA DUNIA, LAKINI KATIKA MWEZI, UZITO WA KILOGRAMU MOJA UNAPUNGUKA KWA KIASI KIDOGO.

TATU, NITAFIKIRIA KILA CHAGUO:
A) KILOGRAMU MOJA YA MANYOYA ITAENDELEA KUWA KILOGRAMU MOJA KATIKA MWEZI, LAKINI UZITO WAKE UTAPUNGUKA.
B) POUND TANO ZA MATOFALI KATIKA DUNIA NI KIASI KIKUBWA, LAKINI KATIKA MWEZI, UZITO WAKE UTAPUNGUKA KULINGANA NA GRAVITY.
C) KILOGRAMU TANO ZA MANYOYA ZITAPUNGUKA KATIKA MWEZI KAMA KILOGRAMU MOJA.
D) KILOGRAMU MOJA YA MATOFALI ITAPUNGUKA KATIKA MWEZI KAMA KILOGRAMU MOJA.

KWA HIVYO, KATIKA MWEZI, KILA KITU KITAENDELEA KUWA NA UZITO WAKE KAMA KILOGRAMU MOJA, LAKINI KIASI KIKUBWA KITAENDELEA KUWA NA UZITO MKUBWA KULINGANA NA KIASI CHAKE KATIKA DUNIA.

KWA HII, JIBU SAHIHI NI {'SOL': 'B'}.",b
business_ethics/test/10,business_ethics,Business,"Vipi, kwa mujibu wa Schnackenberg na Tomlinson (2014), ni vigezo vitatu vinavyoweza kutumika kutathmini ubora wa uwazi wa shirika?","Upana, Uwazi, Usahihi","Ufichuzi, Maelezo, Usahihi","Ufichuzi, Uwazi, Usahihi","Ufichuzi, Uwazi, Ufanisi",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"KWANZA, NINAHITAJI KUKUMBUKA VIGEZO VYA KUTATHMINI UBORA WA UWAZI KAMA ILIVYOTAJWA NA SCHNACKENBERG NA TOMLINSON (2014). NINAHITAJI KUTAFUTA MANENO MUHIMU KATIKA CHAGUO ZOTE.

PILI, NITATAFUTA KILA CHAGUO KWA KUANGALIA KAMA KINA VIGEZO VINAVYOJULIKANA KATIKA KAZI HIYO. 

TATU, NITACHAGUA JIBU LINALOFANANA NA VIGEZO VILIVYOTAJWA KATIKA KAZI HIYO.

BAADA YA KUFANYA HATUA HIZI, NITAGUNDUA KWAMBA JIBU SAHIHI NI {'SOL': 'C'}.",c
business_ethics/test/14,business_ethics,Business,"Je, ni aina gani tatu ya kutofautiana za nadharia ya mshikadau kulingana na Donaldson na Preston (1995)?","Kikanuni, Maelezo na Kiuchumi","Kikanuni, Maadili na Muhimu","Kisiasa, Maelezo na Muhimu","Kikanuni, Maelezo na Muhimu",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"KWANZA, NINAHITAJI KUKUMBUKA KUSIANA NA NAFASI YA Nadharia ya Mshikadau KULIKONI NA DONALDSON NA PRESTON (1995). Nadharia hii INAHUSISHA KUTAFUTIA KATIKA KUPATA MAELEZO YA KUTOFAUTIANA KATIKA MSHIKADAU.

PILI, NINAHITAJI KUTAFUTA AINA TATU ZA KUTOFAUTIANA KULIKONI NA Nadharia HII. KATIKA MAREJELEO YAO, WAMEELEZA AINA TATU KAMA VIFUATAVYO: KIKANUNI, MAELEZO, NA MUHIMU.

TATU, NINAHITAJI KUTHIBITISHA KAMA KUNA JIBU LILILO SAHIHI KATIKA CHAGUO ZILIZOTOLEWA. KATIKA HILI, CHAGUO B) KIKANUNI, MAELEZO NA MUHIMU NDIO JIBU SAHIHI.

KWA HIVYO, JIBU SAHIHI NI {'SOL': 'B'}.",b
business_ethics/test/25,business_ethics,Business,"_______ ni neno linalotumiwa kuelezea uidhinishaji na ukubaliaji unaoendelea wa shughuli za kampuni na jamii, hasa miongoni mwa jumuiya za mitaa na jamii za kiraia.",Maslahi ya binafsi ulioelimika,Leseni ya kijamii ya kufanya kazi,Idhini ya jumuiya,Wajibu wa mnyororo wa ugavi,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"KWANZA, NINAHITAJI KUFIKIRIA MAANA YA MANENO YOTE YALIYOTOLEWA KATIKA CHAGUO. NENO LINALOTUMIKA KUELEZEA UIDHINISHAJI NA UKUBALIAJI UNAOENDELEA WA SHUGHULI ZA KAMPUNI NA JAMII NI MUHIMU KATIKA MAFUNZO YA KIJAMII NA KISIASA.

PILI, NINAHITAJI KUANGALIA KILA CHAGUO NA KUJUA NI NINI KINAFAA KULINGANISHA NA MAANA YA NENO HILO. 

TATU, NINAHITAJI KUTAFUTA NENO LINALOAKISI KAZI YA KAMPUNI KATIKA JAMII NA KUPATA IDHINI YA JAMII KATIKA SHUGHULI ZAKE.

BAADA YA KUFANYA HATUA HIZO, NINAONA KWAMBA JIBU SAHIHI NI B) LESENI YA KIJAMII YA KUFANYA KAZI, KWA SABABU INAHUSISHA UDHINISHAJI NA UKUBALIAJI KATIKA MIKAKATI YA KAMPUNI NA JAMII.

KWA HIVYO, JIBU SAHIHI NI {'sol': 'B'}.",b
business_ethics/test/27,business_ethics,Business,"_________, kama vile _______ na _______ ni michakato ambayo mashirika hutekeleza malengo ya mazingira, sera na majukumu na kuhakikisha ukaguzi wa mara kwa mara na ripoti, ambayo huenda zaidi ya kufuata sheria.","Mifumo ya usimamizi wa mazingira, SA8000, EMAS","Viwango vya uwajibikaji kwa jamii, ISO14001, SA8000","Mifumo ya usimamizi wa mazingira, ISO14001, EMAS","Viwango vya uwajibikaji kwa jamii, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"KWANZA, NINAHITAJI KUTAFUTA MIFUMO AU VIWANGO VINAVYOHUSIANA NA USIMAMIZI WA MAZINGIRA NA UWajibikaji KWA JAMII. MIFUMO YA USIMAMIZI WA MAZINGIRA KAMA ISO14001 NA EMAS NI MUHIMU KATIKA KUTIMIZA MALENGO YA MAZINGIRA.

PILI, NINAHITAJI KUANGALIA KAMA KILA CHAGUO KINA MIFUMO AU VIWANGO VINAVYOJULIKANA KATIKA KAZI YA USIMAMIZI WA MAZINGIRA NA UWajibikaji KWA JAMII. 

TATU, NINAHITAJI KUTHIBITISHA KAMA KILA CHAGUO KINA MAANA YA KISAYANSI NA KISIASA KATIKA MAFUNZO YA USIMAMIZI WA MAZINGIRA.

BAADA YA KUFANYA HATUA HIZI, NINAONA KWAMBA CHAGUO C) ""MIFUMO YA USIMAMIZI WA MAZINGIRA, ISO14001, EMAS"" NDIO JIBU SAHIHI KWA SABABU INAJUMUISHA MIFUMO INAYOHUSIKA KATIKA MALENGO YA MAZINGIRA.

KWA HIVYO, JIBU SAHIHI NI {'sol': 'C'}.",c
business_ethics/test/44,business_ethics,Business,"________ ni matumizi ya lugha ya kuficha au kufichua asili ya maadili ya maamuzi, vitendo na tabia.",Upangaji upya wa kimaadili,Kuweka wazi maadili,Maadili ya kuwekwa tu,Maadili uliopangwa upya,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"KWANZA, NINAHITAJI KUFIKIRIA MAANA YA KILA CHAGUO. 
A) Upangaji upya wa kimaadili - Hii inaashiria mabadiliko ya maadili lakini si matumizi ya lugha ya kuficha.
B) Kuweka wazi maadili - Hii inaashiria kufichua maadili, lakini si matumizi ya lugha ya kuficha.
C) Maadili ya kuwekwa tu - Hii inaonekana kuwa haifai kwa maana ya matumizi ya lugha.
D) Maadili uliopangwa upya - Hii inaweza kuashiria mabadiliko ya maadili lakini si matumizi ya lugha ya kuficha.

BAADA YA KUFIKIRIA, NINAONA KUA JIBU SAHIHI NI A) UPANGAJI UPYA WA KIMAADILI KWA SABABU INAHUSISHA NA MABADILIKO YA MAADILI KATIKA MAMBO YA KUFICHA AU KUFICHUA.

KWA HIVYO, JIBU SAHIHI NI {'sol': 'A'}.",a
business_ethics/test/52,business_ethics,Business,"Je, hali ya kutoweza kufanya uamuzi kwa kujua, uliofikiriwa kuhusu ununuzi wa bidhaa inajulikana kama?",Ujumuishaji wa mtumiaji,Uwezo wa mtumiaji,Kutengwa kwa mtumiaji,Ugumu wa mazingira ya mtumiaji,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"KWANZA, NINAHITAJI KUFIKIRIA MAANA YA KILA CHAGUO. 
A) UJUMUISHI WA MTUMIAJI HAUHUSIANI NA KUTOA MAAMUZI. 
B) UWEZO WA MTUMIAJI UNAWEZA KUHUSIANA NA UWEZO WA KUFANYA MAAMUZI, LAKINI SI KUTOWEZA KUFANYA MAAMUZI. 
C) KUTENGWA KWA MTUMIAJI HAIHUSIANI NA KUTOA MAAMUZI KATIKA UNUNUZI. 
D) UGUMU WA ENVIRONMENT YA MTUMIAJI UNAWEZA KUHUSIANA NA KUTOA MAAMUZI KATIKA KUNUNUA BIDHAA.

BAADA YA KUFIKIRIA, NINAONA KWAMBA JIBU SAHIHI NI D) UGUMU WA MAZINGIRA YA MTUMIAJI KWA SABABU INAHUSIANA NA KUTOA MAAMUZI KATIKA UNUNUZI. 

KWA HIVYO, JIBU SAHIHI NI {'SOL': 'D'}.",d
business_ethics/test/54,business_ethics,Business,_______ na _______ zote ni mifano ya nadharia egemezi kwa _______ ambazo zimeegemezwa kwenye kanuni za kimsingi za jumla za mema na mabaya.,"Maadili ya wajibu, Maadili ya haki na haki, Kanuni","Utumishi, Ubinafsi, Kanuni","Maadili ya wajibu, Utumishi, Mfuata Maadili tegemezi katika matokeo","Ubinafsi, Maadili za haki na haki, Mfuata Maadili tegemezi katika matokeo",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"KWANZA, NINAHITAJI KUTAFUTA MANENO YANAYOFANANA NA MAANA YA NAFASI ZILIZOACHWA. NAFASI YA KWANZA INAHITAJI KUPATIKANA NA MANENO YANAYOHUSIANA NA MAADILI YA WAJIBU, NAFASI YA PILI INAHITAJI KUPATIKANA NA MANENO YANAYOHUSIANA NA MAADILI YA HAKI NA HAKI, NA NAFASI YA TATU INAHITAJI KUPATIKANA NA MANENO YANAYOHUSIANA NA KANUNI AU MAFUNZO YA KIMSINGI.

PILI, NINAHITAJI KUTAFUTA MCHANGANYIKO WA MANENO HAYO KATIKA CHAGUO ZILIZOTOLEWA. NINAONA KWAMBA CHAGUO A) ""Maadili ya wajibu, Maadili ya haki na haki, Kanuni"" KINAENDELEA NA MAANA YA NAFASI ZOTE TATU KWA SABABU YANAHUSIANA NA NAFASI ZILIZOACHWA.

MWISHO, NINAHITAJI KUTHIBITISHA KAMA CHAGUO HIKI KINA MAANA YENYE MAFANIKIO KATIKA MAFUNZO YA KIMSINGI YA MAADILI. KWA HIVYO, JIBU SAHIHI NI {'SOL': 'A'}.",a
business_ethics/test/57,business_ethics,Business,_________ kama vile ________ Marekani ni jambo muhimu katika kuendesha mazoea ya kimaadili ya biashara.,"Udhibiti wa Kisheria, Sheria ya Sarbanes-Oxley","Sera ya ndani ya kampuni, Sheria ya mazoea yasiyo ya kimaadili ya kampuni","Sera ya ndani ya kampuni, Sheria ya Sarbanes-Oxley","Udhibiti wa Kisheria, Sera ya ndani ya kampuni",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"KWANZA, NINAHITAJI KUTAFUTA MANENO YANAYOFANANA KATIKA KONTEXTE YA MAZOEA YA KIMAADILI YA BIASHARA. KATIKA HILI, ""UDHIBITI WA KISHERIA"" NA ""SHERIA YA SARBANES-OXLEY"" NI MANENO YANAYOHUSIANA NA KANUNI NA MASHARTI YANAYOONGOZA BIASHARA KATIKA MAREKANI.

PILI, NINAHITAJI KUANGALIA KAMA KILA CHAGUO KINA MAANA YENYE MSHIKAMANO KATIKA MADA YA MAZOEA YA KIMAADILI. ""UDHIBITI WA KISHERIA"" UNAHUSISHA NA KANUNI ZINAZOONGOZA BIASHARA, NA ""SHERIA YA SARBANES-OXLEY"" NI MOJA YA SHERIA HIZO.

TATU, NINAHITAJI KUTHIBITISHA KAMA KILA CHAGUO KINA MSHIKAMANO WA KIMAANA KATIKA KONTEXTE YA BIASHARA. CHAGUO A) ""UDHIBITI WA KISHERIA, SHERIA YA SARBANES-OXLEY"" KINA MSHIKAMANO MZURI KATIKA KUTENDEKA KWA MAZOEA YA KIMAADILI YA BIASHARA.

KWA HIVYO, JIBU SAHIHI NI {'SOL': 'A'}.",a
