sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,Unapotembea kaskazini kutoka Marekani kwenda Canada utaona Nyota ya Kaskazini (kaskazini) inavyoongezeka _______________.,Mwangaza zaid,Kidogo chenyewe,Juukwa zaidi angani,Chini zaidi angani,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Kwanza, ni muhimu kuelewa kwamba Nyota ya Kaskazini, pia inajulikana kama Polaris, inapatikana karibu na ncha ya kaskazini ya dunia. Hii ina maana kwamba kadri unavyosafiri kuelekea kaskazini, Nyota ya Kaskazini inakuwa juu zaidi angani.

Pili, tunapaswa kuzingatia jinsi Nyota ya Kaskazini inavyoonekana kutoka maeneo tofauti. Wakati unaposafiri kutoka Marekani kuelekea Canada, unakaribia ncha ya kaskazini, na hivyo Nyota ya Kaskazini inakuwa inaonekana juu zaidi angani.

Hatimaye, kwa kuzingatia maelezo haya, jibu sahihi ni kwamba Nyota ya Kaskazini inavyoongezeka inakuwa juu zaidi angani.

Kwa hivyo, jibu sahihi ni {'sol': 'c'}.",c
astronomy/test/107,astronomy,STEM,Nini kingepata uzito zaidi kwenye Mwezi?,Kilogramu moja ya manyoya,Pound tano za matofali kama ilivyopimwa Duniani,Kilogramu tano za manyoya,Kilogramu moja ya matofali,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Kwanza, ninahitaji kuelewa jinsi uzito unavyofanya kazi kwenye Mwezi. Uzito ni nguvu inayotolewa na mvutano, na mvutano kwenye Mwezi ni takriban 1/6 ya mvutano wa Dunia. Hii inamaanisha kuwa uzito wa vitu utapungua kwenye Mwezi.

Sasa, hebu tuhesabu uzito wa kila chaguo kwenye Mwezi:

a) Kilogramu moja ya manyoya: Uzito wake kwenye Mwezi ni 1 kg * (1/6) = 0.167 kg.

b) Pound tano za matofali: Kwanza, tunahitaji kubadilisha pauni kuwa kilogramu. 1 pound ni takriban 0.453592 kg, hivyo 5 pounds ni 5 * 0.453592 = 2.26796 kg. Uzito wake kwenye Mwezi ni 2.26796 kg * (1/6) = 0.378 kgs.

c) Kilogramu tano za manyoya: Uzito wake kwenye Mwezi ni 5 kg * (1/6) = 0.833 kg.

d) Kilogramu moja ya matofali: Uzito wake kwenye Mwezi ni 1 kg * (1/6) = 0.167 kg.

Sasa, tukiangalia uzito wa kila chaguo kwenye Mwezi:
- a) 0.167 kg
- b) 0.378 kg
- c) 0.833 kg
- d) 0.167 kg

Kwa hivyo, chaguo kinachopata uzito zaidi kwenye Mwezi ni c) Kilogramu tano za manyoya.

Kwa hivyo, jibu sahihi ni {'sol': 'c'}.",c
business_ethics/test/10,business_ethics,Business,"Vipi, kwa mujibu wa Schnackenberg na Tomlinson (2014), ni vigezo vitatu vinavyoweza kutumika kutathmini ubora wa uwazi wa shirika?","Upana, Uwazi, Usahihi","Ufichuzi, Maelezo, Usahihi","Ufichuzi, Uwazi, Usahihi","Ufichuzi, Uwazi, Ufanisi",C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Kwanza, ninahitaji kukumbuka vigezo vinavyohusiana na ubora wa uwazi wa shirika kama ilivyoelezwa na Schnackenberg na Tomlinson (2014). 

Pili, vigezo vinavyohusiana na uwazi wa shirika vinapaswa kuzingatia jinsi taarifa zinavyotolewa, kiwango cha ufichuzi wa habari, na usahihi wa taarifa hizo.

Hatimaye, baada ya kuchambua chaguo zote, naona kuwa chaguo sahihi ni ""Ufichuzi, Uwazi, Usahihi"" kwani vigezo hivi vinahusiana moja kwa moja na ubora wa uwazi wa shirika.

Kwa hivyo, jibu sahihi ni {'sol': 'c'}.",c
business_ethics/test/14,business_ethics,Business,"Je, ni aina gani tatu ya kutofautiana za nadharia ya mshikadau kulingana na Donaldson na Preston (1995)?","Kikanuni, Maelezo na Kiuchumi","Kikanuni, Maadili na Muhimu","Kisiasa, Maelezo na Muhimu","Kikanuni, Maelezo na Muhimu",D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"Kwanza, ninahitaji kukumbuka nadharia ya mshikadau kama ilivyoelezwa na Donaldson na Preston (1995). Nadharia hii inasisitiza umuhimu wa kuzingatia maslahi ya wadau mbalimbali katika uendeshaji wa biashara.

Pili, nadharia hii inatofautisha aina tatu za kutofautiana ambazo zinahusiana na jinsi wadau wanavyohusiana na biashara. Aina hizi zinajumuisha mtazamo wa kikanuni, maelezo, na umuhimu.

Tatu, ninahitaji kuangalia chaguo zilizotolewa ili kubaini ni ipi inafanana na aina hizi tatu. Chaguo sahihi ni ile inayojumuisha ""Kikanuni, Maelezo na Muhimu"".

Kwa hivyo, jibu sahihi ni {'sol': 'd'}.",d
business_ethics/test/25,business_ethics,Business,"_______ ni neno linalotumiwa kuelezea uidhinishaji na ukubaliaji unaoendelea wa shughuli za kampuni na jamii, hasa miongoni mwa jumuiya za mitaa na jamii za kiraia.",Maslahi ya binafsi ulioelimika,Leseni ya kijamii ya kufanya kazi,Idhini ya jumuiya,Wajibu wa mnyororo wa ugavi,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"Kwanza, ninahitaji kuelewa maana ya kila chaguo lililotolewa. 

a) Maslahi ya binafsi ulioelimika - hii inahusiana na faida za mtu binafsi na elimu, siyo uidhinishaji wa shughuli za kampuni.

b) Leseni ya kijamii ya kufanya kazi - hii inahusisha idhini kutoka kwa jamii ili kampuni iweze kufanya kazi, ambayo inafanana na uidhinishaji wa shughuli.

c) Idhini ya jumuiya - hii inahusisha kukubaliwa na jamii, lakini siyo neno sahihi linalotumiwa katika muktadha wa kampuni na jamii.

d) Wajibu wa mnyororo wa ugavi - hii inahusisha majukumu ya usambazaji wa bidhaa, siyo uidhinishaji wa shughuli.

Baada ya kuchambua chaguo zote, chaguo sahihi ni b) Leseni ya kijamii ya kufanya kazi, kwani inahusisha uidhinishaji na ukubaliaji wa shughuli za kampuni na jamii.

Kwa hivyo, jibu sahihi ni {'sol': 'b'}.",b
business_ethics/test/27,business_ethics,Business,"_________, kama vile _______ na _______ ni michakato ambayo mashirika hutekeleza malengo ya mazingira, sera na majukumu na kuhakikisha ukaguzi wa mara kwa mara na ripoti, ambayo huenda zaidi ya kufuata sheria.","Mifumo ya usimamizi wa mazingira, SA8000, EMAS","Viwango vya uwajibikaji kwa jamii, ISO14001, SA8000","Mifumo ya usimamizi wa mazingira, ISO14001, EMAS","Viwango vya uwajibikaji kwa jamii, EMAS, SA8000",C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"Kwanza, ninahitaji kuelewa muktadha wa maswali haya. Masuala yanayohusiana na mazingira na uwajibikaji wa kijamii yanahitaji mifumo na viwango ambavyo vinasaidia mashirika kufikia malengo yao.

Pili, ninahitaji kutathmini chaguzi zilizotolewa. Mifumo ya usimamizi wa mazingira kama ISO14001 na EMAS ni maarufu katika kusaidia mashirika kutekeleza malengo ya mazingira. SA8000 ni kiwango kinachohusiana na uwajibikaji wa kijamii.

Tatu, ninahitaji kuangalia ni ipi kati ya chaguzi hizo inafaa zaidi kwa muktadha wa maswali. Chaguo c) ""Mifumo ya usimamizi wa mazingira, ISO14001, EMAS"" linaonekana kuwa sahihi kwa sababu linajumuisha mifumo inayohusiana moja kwa moja na malengo ya mazingira.

Kwa hivyo, jibu sahihi ni {'sol': 'c'}.",c
business_ethics/test/44,business_ethics,Business,"________ ni matumizi ya lugha ya kuficha au kufichua asili ya maadili ya maamuzi, vitendo na tabia.",Upangaji upya wa kimaadili,Kuweka wazi maadili,Maadili ya kuwekwa tu,Maadili uliopangwa upya,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"Kwanza, ninahitaji kuelewa maana ya matumizi ya lugha ya kuficha au kufichua asili ya maadili. Hii inahusisha jinsi maadili yanavyoweza kuwasilishwa au kufichwa kupitia lugha. 

Pili, ni muhimu kutathmini chaguo zote zilizotolewa. 
a) Upangaji upya wa kimaadili - hii inaweza kumaanisha kubadilisha maadili, lakini si lazima inahusishe na lugha ya kuficha.
b) Kuweka wazi maadili - hii inaonekana kuwa kinyume na matumizi ya lugha ya kuficha.
c) Maadili ya kuwekwa tu - hii haionekani kuwa na maana wazi katika muktadha huu.
d) Maadili uliopangwa upya - hii inaweza kumaanisha kuwasilisha maadili kwa njia tofauti, lakini si wazi kama inahusisha lugha ya kuficha.

Hatimaye, chaguo bora ni ""Upangaji upya wa kimaadili"" kwani linaweza kumaanisha matumizi ya lugha ya kuficha au kufichua maadili. 

Kwa hivyo, jibu sahihi ni {'sol': 'a'}.",a
business_ethics/test/52,business_ethics,Business,"Je, hali ya kutoweza kufanya uamuzi kwa kujua, uliofikiriwa kuhusu ununuzi wa bidhaa inajulikana kama?",Ujumuishaji wa mtumiaji,Uwezo wa mtumiaji,Kutengwa kwa mtumiaji,Ugumu wa mazingira ya mtumiaji,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"Kwanza, ninahitaji kuelewa maana ya hali ya kutoweza kufanya uamuzi. Hali hii inahusiana na changamoto au ugumu wa kufanya maamuzi sahihi kuhusu ununuzi wa bidhaa. 

Pili, ni muhimu kuangalia chaguzi zilizotolewa. 
a) Ujumuishaji wa mtumiaji - hii inahusisha jinsi mtumiaji anavyoshiriki katika mchakato wa ununuzi.
b) Uwezo wa mtumiaji - hii inahusisha uwezo wa mtumiaji kufanya maamuzi.
c) Kutengwa kwa mtumiaji - hii inaweza kumaanisha kutengwa au kutengwa na mchakato wa ununuzi.
d) Ugumu wa mazingira ya mtumiaji - hii inahusisha changamoto zinazokabili mtumiaji katika mazingira ya ununuzi.

Tatu, kutokana na maelezo haya, chaguo linalofaa zaidi ni ""uwezo wa mtumiaji"" kwani linahusisha hali ya kutoweza kufanya maamuzi. 

Kwa hivyo, jibu sahihi ni {'sol': 'b'}.",b
business_ethics/test/54,business_ethics,Business,_______ na _______ zote ni mifano ya nadharia egemezi kwa _______ ambazo zimeegemezwa kwenye kanuni za kimsingi za jumla za mema na mabaya.,"Maadili ya wajibu, Maadili ya haki na haki, Kanuni","Utumishi, Ubinafsi, Kanuni","Maadili ya wajibu, Utumishi, Mfuata Maadili tegemezi katika matokeo","Ubinafsi, Maadili za haki na haki, Mfuata Maadili tegemezi katika matokeo",A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"Kwanza, ninahitaji kuelewa muktadha wa maswali haya. Nadharia egemezi ni zile zinazotegemea kanuni za kimsingi za maadili. 

Pili, ninahitaji kuangalia chaguo zote na kuona ni zipi zinaweza kuunganishwa na nadharia egemezi. 

Tatu, nitaangalia ni ipi kati ya chaguo hizo inatoa muunganiko mzuri wa nadharia egemezi na kanuni za maadili.

Baada ya kuchambua, chaguo sahihi ni: a) Maadili ya wajibu, Maadili ya haki na haki, Kanuni. Hii inatoa muunganiko mzuri wa nadharia egemezi na kanuni za maadili.

Kwa hivyo, jibu sahihi ni {'sol': 'a'}.",a
business_ethics/test/57,business_ethics,Business,_________ kama vile ________ Marekani ni jambo muhimu katika kuendesha mazoea ya kimaadili ya biashara.,"Udhibiti wa Kisheria, Sheria ya Sarbanes-Oxley","Sera ya ndani ya kampuni, Sheria ya mazoea yasiyo ya kimaadili ya kampuni","Sera ya ndani ya kampuni, Sheria ya Sarbanes-Oxley","Udhibiti wa Kisheria, Sera ya ndani ya kampuni",A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"Kwanza, ninahitaji kuelewa muktadha wa sentensi. Sentensi inazungumzia umuhimu wa udhibiti na sheria katika kuendesha mazoea ya kimaadili ya biashara. 

Pili, ni muhimu kutambua kwamba Sheria ya Sarbanes-Oxley inahusiana na udhibiti wa kisheria katika biashara, hasa katika kuhakikisha uwazi na uaminifu katika taarifa za kifedha.

Tatu, nikichambua chaguo zote, chaguo (a) kinatoa uhusiano mzuri kati ya udhibiti wa kisheria na Sheria ya Sarbanes-Oxley, ambayo ni muhimu katika kuendesha mazoea ya kimaadili ya biashara.

Kwa hivyo, jibu sahihi ni {'sol': 'a'}.",a
