sample_id,subject,subject_category,question,option_a,option_b,option_c,option_d,answer,required_knowledge,time_sensitive,reference,culture,region,country,cultural_sensitivity_label,is_annotated,gpt4o-mini_rawtext,gpt4o-mini
astronomy/test/58,astronomy,STEM,从美国向北进入加拿大时，您会看到北星（北极星）越来越_________。,亮,暗,在天空中更高,在天空中更低,C,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}, {'end': 55, 'label': 'Geographic', 'score': None, 'start': 5}, {'end': 43, 'label': 'Geographic', 'score': None, 'start': 30}]",[],"['North America', 'North America', 'North America', 'North America']","['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂北🙂星🙂的🙂位🙂置🙂随🙂着🙂地🙂理🙂位🙂置🙂的🙂变🙂化。🙂北星（北极星）位于北半球，🙂其🙂位🙂置🙂与🙂观🙂者的🙂纬🙂度🙂有🙂关。🙂
🙂接🙂下🙂来🙂，🙂当🙂从🙂美🙂国🙂向🙂北🙂进🙂入🙂加🙂拿时，🙂观🙂者的🙂纬🙂度🙂增🙂加，🙂这🙂意🙂味🙂着🙂北星🙂在🙂天🙂空🙂中🙂的🙂角🙂度🙂会🙂变🙂化。🙂
🙂最🙂后🙂，🙂北星🙂会🙂在🙂天🙂空中🙂显🙂得🙂更🙂高，🙂因🙂为🙂它🙂的🙂角🙂度🙂与🙂观🙂者的🙂纬🙂度🙂成🙂正🙂比🙂例。🙂因🙂此🙂，🙂正🙂确🙂答🙂案🙂是{'sol': 'c'}。",c
astronomy/test/107,astronomy,STEM,在月球上，最重的是什么？,一千克羽毛,在地球上测量重五磅的砖,五千克羽毛,一千克砖,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂重🙂量🙂的🙂概念。🙂在月球上，物体的重🙂量会比在地球上轻，因🙂为月球的重🙂力较小。🙂

🙂接🙂下🙂来🙂，我🙂需🙂要🙂考🙂虑🙂每🙂个🙂选🙂项🙂的🙂重🙂量。🙂一千克羽毛在月球上仍然是1千克，但它的重🙂量会比在地球上轻。🙂

🙂对🙂于🙂选🙂项b，五磅的砖在地球上重五磅，换算成千克大约是2.27千克，月球上也会比在地球上轻。🙂

🙂选🙂项c，五千克羽毛在月球上仍然是5千克，但同样会比在地球上轻。🙂

🙂选🙂项d，一千克砖在月球上仍然是1千克，但它的重🙂量会比在地球上轻。🙂

🙂综🙂合🙂考🙂虑，月球上最重的物体是选🙂项b，因为它在地球上重五磅，换算后在月球上仍然是相对较重的。🙂

🙂因🙂此，正🙂确🙂答🙂案🙂是{'sol': 'b'}。",b
business_ethics/test/10,business_ethics,Business,根据 Schnackenberg 和 Tomlinson（2014 年）的观点，可以用来评估企业透明度质量的三个标准是什么？,广度、清晰度、准确性,披露、详情、准确性,披露、清晰度、准确性,披露、清晰度、效率,C,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂查🙂找🙂Schnackenberg🙂和🙂Tomlinson🙂（2014🙂年）对🙂企业🙂透明度🙂质🙂量的🙂评🙂估🙂标🙂准。🙂
🙂接🙂下🙂来🙂，🙂我🙂会🙂回🙂顾🙂他🙂们🙂的🙂文🙂献，🙂以🙂确🙂认🙂这🙂三🙂个🙂标🙂准。🙂
🙂最🙂后，🙂我🙂将🙂比🙂较🙂选🙂项，🙂找🙂出🙂正🙂确🙂的🙂答🙂案。🙂

根据文献，Schnackenberg 和 Tomlinson 提出的三个标准是：披露、清晰度和准确性。因此，正确答案是{'sol': 'c'}。",c
business_ethics/test/14,business_ethics,Business,Donaldson 和 Preston（1995 年）认为的利益相关者理论的三种不同类型是什么？,规范性、描述性和经济,规范性、道德和工具性,政治、描述性和工具性,规范性、描述性和工具性,D,"['regional', 'cultural', 'cultural', 'none']","['Yes', 'No', 'No', 'No']","[{'end': 91, 'label': 'Geographic', 'score': None, 'start': 70}, {'end': 91, 'label': 'Cultural', 'score': None, 'start': 38}, '-', '-']","['Western Culture', 'Western Culture']",['North America'],['United States of America (USA)'],CS,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂道🙂尔🙂顿🙂和🙂普🙂雷🙂斯🙂顿🙂（1995 年）提🙂出的🙂利🙂益🙂相🙂关🙂者🙂理🙂论🙂的🙂三🙂种🙂不🙂同🙂类🙂型。🙂
🙂接🙂下🙂来🙂，🙂我🙂会🙂考🙂虑🙂选🙂项🙂中🙂的🙂关🙂键🙂词，🙂以🙂找🙂出🙂正🙂确🙂的🙂类🙂型。🙂
🙂最🙂后🙂，🙂我🙂将🙂比🙂较🙂各🙂个🙂选🙂项，🙂以🙂确🙂定🙂哪🙂个🙂是🙂正🙂确🙂的。🙂
🙂根🙂据🙂我🙂的🙂分🙂析，🙂正🙂确🙂答🙂案🙂是{'sol': 'd'}。",d
business_ethics/test/25,business_ethics,Business,_______一词是指社会（特别是当地社区和民间团体）对公司活动的持续认可和接受。,理性的利己主义,社会许可经营,社区许可,供应链责任,B,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'Yes']","['-', '-', '-', '-']",[],['North America'],['United States of America (USA)'],CS,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂题🙂目🙂中🙂提🙂到🙂的🙂概念。🙂在🙂这🙂里，🙂“社🙂会（特🙂别是🙂当🙂地社🙂区和🙂民🙂间团体）对公🙂司活🙂动的持🙂续认🙂可和接🙂受”🙂指的🙂是🙂公🙂司在社🙂会中所🙂获🙂得的🙂一🙂种认🙂可，🙂这🙂与公🙂司的社🙂会责🙂任和公🙂共关🙂系有🙂关。

🙂接🙂下🙂来，🙂我🙂需🙂要🙂分🙂析选🙂项。 
a) 理性的利己主义：这指的是个体或公司在追求自身利益时的理性行为，似乎与社会认可无关。
b) 社会许可经营：这个术语通常指的是公司在其运营中获得的来自社会的认可和接受，符合题目描述。
c) 社区许可：虽然与社区相关，但通常不如“社会许可经营”广泛。
d) 供应链责任：这涉及到公司在其供应链中的责任，主要关注的是道德和可持续性，而不是社会认可。

🙂综🙂合🙂考🙂虑，最合适的选🙂项是b) 社会许可经营。🙂
因此，正🙂确🙂答🙂案🙂是{'sol': 'b'}。",b
business_ethics/test/27,business_ethics,Business,_________（例如_______和_______）是组织实现环境目标、实施环境政策和履行环境责任，并确保定期审计和报告的流程，这些流程超出了法律合规的范围。,环境管理体系，SA8000，EMAS,社会责任标准，ISO14001，EMAS,环境管理体系，ISO14001，EMAS,社会责任标准，EMAS，SA8000,C,"['regional', 'none', 'none', 'regional']","['No', 'No', 'No', 'No']","['-', '-', '-', '-', '-']",['Western Culture'],[],[],CS,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂题🙂目🙂中🙂提🙂到🙂的🙂概🙂念。🙂题🙂目🙂中🙂提🙂到🙂的🙂是🙂组🙂织🙂实🙂现🙂环🙂境🙂目🙂标、实🙂施🙂环🙂境🙂政🙂策、履🙂行🙂环🙂境🙂责🙂任、定🙂期🙂审🙂计🙂和🙂报🙂告的🙂流🙂程。🙂这🙂些🙂流🙂程🙂超🙂出🙂了🙂法🙂律🙂合🙂规🙂的🙂范🙂围。

🙂接🙂下🙂来🙂，我🙂需🙂要🙂分🙂析🙂选🙂项。🙂选🙂项中🙂提🙂到🙂的🙂环🙂境🙂管🙂理🙂体🙂系、社🙂会🙂责🙂任🙂标🙂准、ISO14001、EMAS、SA8000。🙂我🙂需🙂要🙂找🙂到🙂与🙂环🙂境🙂管🙂理、环🙂境🙂政🙂策、环🙂境🙂责🙂任、审🙂计和报🙂告🙂相🙂关的🙂选🙂项。

🙂最🙂后，🙂我🙂会🙂比🙂较🙂各🙂个选🙂项。🙂选🙂项c) 环境管理体系，ISO14001，EMAS 提到的内容与题目中的要求最为契合，因为ISO14001是一个国际标准，专注于环境管理体系，而EMAS是一个自愿的环境管理工具。

因此，正🙂确🙂答🙂案🙂是{'sol': 'c'}。",c
business_ethics/test/44,business_ethics,Business,________是使用语言来掩盖或揭露决策、行动和行为的伦理本性。,伦理拼接,道德框架,伦理粉饰,道德拼接,B,"['none', 'none', 'cultural', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', {'end': 108, 'label': 'Cultural', 'score': None, 'start': 53}, {'end': 71, 'label': 'Cultural', 'score': None, 'start': 57}]",['Western Culture'],[],[],CS,True,"🙂首先🙂，🙂我🙂需🙂要🙂理🙂解🙂题🙂目🙂中🙂提🙂到🙂的🙂概念。🙂这🙂里🙂提🙂到🙂的🙂是🙂用🙂于🙂掩🙂盖🙂或🙂揭🙂露🙂决🙂策、行动和行为的伦理本性。🙂
🙂接🙂下🙂来🙂，🙂我🙂需🙂要🙂考🙂虑🙂选🙂项。🙂选🙂项a) 伦理拼接，b) 道德框架，c) 伦理粉饰，d) 道德拼接。🙂
🙂最后🙂，🙂在🙂这🙂些选🙂项中，c) 伦理粉饰最🙂能🙂表🙂达🙂用🙂语🙂言🙂来🙂掩🙂盖或揭🙂露决策的伦理本性。🙂
🙂因🙂此🙂，正🙂确🙂答🙂案🙂是{'sol': 'c'}。",c
business_ethics/test/52,business_ethics,Business,无法对产品购买做出明智、合理决策的状态被称为什么？,消费者包容,消费能力,消费者排斥,消费者脆弱性,D,"['none', 'none', 'none', 'none']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']",[],[],[],CA,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂题🙂目🙂中🙂提🙂到🙂的🙂“无🙂法对🙂产🙂品购🙂买做🙂出明🙂智、合🙂理决🙂策”的🙂含🙂义。🙂这表🙂示消🙂费者在购🙂买时缺乏信🙂息或能🙂力，因🙂此无🙂法做出合🙂理的决🙂策。🙂

🙂接🙂下🙂来，我🙂需🙂要考🙂虑选🙂项。选🙂项a) 消费者包容，意🙂思是消🙂费者对某些产🙂品的接🙂受度，似乎不太合适。选🙂项b) 消费能力，指的是消🙂费者的财🙂务状况，也不太相关。选🙂项c) 消费者排斥，意🙂思是消🙂费者对某些产🙂品的拒绝，似乎也不符合题意。选🙂项d) 消费者脆弱性，指的是消🙂费者在购🙂买时的脆弱状况，可能与缺乏决策能力相关。

🙂综🙂合考🙂虑，最合适的选🙂项是d) 消费者脆弱性。因🙂此，正🙂确答🙂案是{'sol': 'd'}。",d
business_ethics/test/54,business_ethics,Business,_______和_______都是以_______为基础的理论示例，它们基于是非的基本普遍原则。,责任伦理，权力与正义伦理，原则,功利主义，利己主义，原则,责任伦理，功利主义，结果主义,利己主义，权力与正义伦理，结果主义,A,"['none', 'cultural', 'none', 'cultural']","['No', 'No', 'No', 'No']","['-', '-', '-', '-']","['Western Culture', 'Western Culture']",[],[],CS,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂每🙂个🙂选🙂项🙂的🙂内🙂容🙂。🙂
🙂选🙂项🙂a)🙂提🙂到🙂责🙂任🙂伦理🙂和🙂权🙂力🙂与🙂正🙂义🙂伦理，🙂这🙂两🙂者🙂都🙂是🙂基于🙂原🙂则🙂的🙂理🙂论。🙂
🙂选🙂项🙂b)🙂功🙂利主🙂义和🙂利🙂己主🙂义，🙂这🙂两🙂者🙂的🙂基🙂础🙂不🙂同，🙂功🙂利主🙂义🙂更🙂注🙂重结🙂果。🙂
🙂选🙂项🙂c)🙂责🙂任🙂伦理和🙂功🙂利主🙂义，🙂这🙂两🙂者🙂的🙂基🙂础🙂也🙂不🙂同，🙂而且🙂结果主🙂义不🙂是基于是非的基本普遍原则。🙂
🙂选🙂项🙂d)🙂利🙂己主🙂义和权🙂力与正义伦理，🙂这🙂两🙂者的基🙂础也不相同。🙂
🙂综🙂合考🙂虑，选🙂项a)是最合适的，因为它们都基于是非的基本普遍原则。🙂
🙂因🙂此，正🙂确答🙂案是{'sol': 'a'}。",a
business_ethics/test/57,business_ethics,Business,_________（例如美国的________）是推动道德商业行为的关键因素。,立法，《萨班斯-奥克斯利法案》,公司内部政策，《不道德企业行为法》,公司内部政策，《萨班斯-奥克斯利法案》,立法，《不道德企业行为法》,A,"['regional', 'regional', 'regional', 'regional']","['No', 'No', 'No', 'No']","[{'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 34}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}, {'end': 51, 'label': 'Geographic', 'score': None, 'start': 38}]","['Western Culture', 'Western Culture']",['North America'],"['United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)', 'United States of America (USA)']",CS,True,"🙂首🙂先🙂，🙂我🙂需🙂要🙂理🙂解🙂每🙂个🙂选🙂项🙂的🙂内🙂容🙂。🙂
🙂选🙂项🙂a)🙂提🙂到🙂立🙂法，🙂并🙂举🙂出🙂《萨🙂班🙂斯-🙂奥🙂克🙂斯🙂利法案》作为例子。🙂
🙂选🙂项🙂b)🙂提🙂到🙂公司内部政策，🙂并🙂提🙂到《不道德企业行为法》。🙂
🙂选🙂项🙂c)🙂提🙂到公司内部政策，🙂并🙂提🙂到《萨班斯-奥克斯利法案》。🙂
🙂选🙂项🙂d)🙂提🙂到立法，🙂并🙂提🙂到《不道德企业行为法》。🙂
🙂接🙂下🙂来🙂，🙂我🙂需🙂要🙂考🙂虑🙂哪🙂个选项最符合“推动道德商业行为的关键因素”。🙂
🙂《萨班斯-奥克斯利法案》是针对公司财务报告和审计的立法，旨在提高透明度和道德标准。🙂
🙂而《不道德企业行为法》则更侧重于公司内部的道德行为。🙂
🙂综🙂合考🙂虑，立法通常被视为推动道德商业行为的重要因素。🙂
🙂因🙂此，正🙂确答🙂案是{'sol': 'a'}。",a
